STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0003 5.0-6.9','`0004 7.0-8.9','`0005 9.0-10.9','`0006 11.0-12.9','`0007 13.0-14.9','`0008 15.0-16.9','`0009 17.0-18.9','`0010 19.0-20.9','`0011 21.0-22.9','`0012 23.0-24.9','`0013 25.0-26.9','`0014 27.0-28.9','`0015 29.0-30.9','`0016 31.0-32.9','`0017 33.0-34.9','`0018 35.0-36.9','`0019 37.0-38.9','`0020 39.0-40.9','`0021 41.0+'
Georgia,13,Appling,1,1,Longleaf and slash pines,Softwood,1,0,132101,359796454,912060316.2,1251258810,980803650,175631631.3,270276368,101982528.2,113855895.4,60216860.15,200037454.8,,,,,,,,,
Georgia,13,Coffee,1,1,Longleaf and slash pines,Softwood,1,0,132101,359796454,912060316.2,1251258810,980803650,175631631.3,270276368,101982528.2,113855895.4,60216860.15,200037454.8,,,,,,,,,
Georgia,13,Appling,1,2,Loblolly and shortleaf pines,Softwood,1,0,132101,63537206.78,233442885.6,451644845.9,402151990.8,109710662.4,381251178.1,250217498.7,43874348.46,74722303.57,,,,,,,,,,
Georgia,13,Coffee,1,2,Loblolly and shortleaf pines,Softwood,1,0,132101,63537206.78,233442885.6,451644845.9,402151990.8,109710662.4,381251178.1,250217498.7,43874348.46,74722303.57,,,,,,,,,,
Georgia,13,Appling,1,8,Cypress,Softwood,1,0,132101,9834722.617,34304122.57,58333636.78,67838477.52,62150495.35,68432496.63,30725798.91,,,,,,,,,,,,
Georgia,13,Coffee,1,8,Cypress,Softwood,1,0,132101,9834722.617,34304122.57,58333636.78,67838477.52,62150495.35,68432496.63,30725798.91,,,,,,,,,,,,
Georgia,13,Appling,1,27,Other white oaks,Hardwood,1,0,132101,14441206.67,2636014.813,14310432.6,,,,,61814301.35,,,,,,,,,,,
Georgia,13,Coffee,1,27,Other white oaks,Hardwood,1,0,132101,14441206.67,2636014.813,14310432.6,,,,,61814301.35,,,,,,,,,,,
Georgia,13,Appling,1,28,Other red oaks,Hardwood,1,0,132101,86169772.73,148632004.8,130386509.7,127234547,109148965.6,88104239.37,104528778.1,,,84362184.13,,,139716733.9,171816586.8,,,,,
Georgia,13,Coffee,1,28,Other red oaks,Hardwood,1,0,132101,86169772.73,148632004.8,130386509.7,127234547,109148965.6,88104239.37,104528778.1,,,84362184.13,,,139716733.9,171816586.8,,,,,
