STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0001 1.0-1.9','`0002 2.0-2.9','`0003 3.0-3.9','`0004 4.0-4.9'
Georgia,13,Appling,1,1,Longleaf and slash pines,Softwood,1,0,132101,865373.1968,24231408.28,35861777.84,82313859.17
Georgia,13,Coffee,1,1,Longleaf and slash pines,Softwood,1,0,132101,865373.1968,24231408.28,35861777.84,82313859.17
Georgia,13,Appling,1,2,Loblolly and shortleaf pines,Softwood,1,0,132101,10999899.37,9468577.744,34063539.88,
Georgia,13,Coffee,1,2,Loblolly and shortleaf pines,Softwood,1,0,132101,10999899.37,9468577.744,34063539.88,
Georgia,13,Appling,1,8,Cypress,Softwood,1,0,132101,,5311858.485,26426546.85,44157457.11
Georgia,13,Coffee,1,8,Cypress,Softwood,1,0,132101,,5311858.485,26426546.85,44157457.11
Georgia,13,Appling,1,9,Other eastern softwoods,Softwood,1,0,132101,,2571150.654,,
Georgia,13,Coffee,1,9,Other eastern softwoods,Softwood,1,0,132101,,2571150.654,,
Georgia,13,Appling,1,27,Other white oaks,Hardwood,1,0,132101,686833.3966,,,
Georgia,13,Coffee,1,27,Other white oaks,Hardwood,1,0,132101,686833.3966,,,
Georgia,13,Appling,1,28,Other red oaks,Hardwood,1,0,132101,7950731.613,9620654,11889924.47,57265679.52
Georgia,13,Coffee,1,28,Other red oaks,Hardwood,1,0,132101,7950731.613,9620654,11889924.47,57265679.52
Georgia,13,Appling,1,32,Soft maple,Hardwood,1,0,132101,25813050.37,17084898.36,41357770.38,17892635.24
Georgia,13,Coffee,1,32,Soft maple,Hardwood,1,0,132101,25813050.37,17084898.36,41357770.38,17892635.24
Georgia,13,Appling,1,34,Sweetgum,Hardwood,1,0,132101,2519362.379,8063055.108,,17550959.64
Georgia,13,Coffee,1,34,Sweetgum,Hardwood,1,0,132101,2519362.379,8063055.108,,17550959.64
Georgia,13,Appling,1,35,Tupelo and blackgum,Hardwood,1,0,132101,23985980.11,83026823.94,83999012.53,100742152
Georgia,13,Coffee,1,35,Tupelo and blackgum,Hardwood,1,0,132101,23985980.11,83026823.94,83999012.53,100742152
Georgia,13,Appling,1,41,Other eastern soft hardwoods,Hardwood,1,0,132101,4371984.821,8740050.617,9335235.813,34727745.03
Georgia,13,Coffee,1,41,Other eastern soft hardwoods,Hardwood,1,0,132101,4371984.821,8740050.617,9335235.813,34727745.03
Georgia,13,Appling,1,42,Other eastern hard hardwoods,Hardwood,1,0,132101,3118671.374,7441956.17,,
Georgia,13,Coffee,1,42,Other eastern hard hardwoods,Hardwood,1,0,132101,3118671.374,7441956.17,,
Georgia,13,Appling,1,43,Eastern noncommercial hardwoods,Hardwood,1,0,132101,21468578.39,14644977.02,36417377.25,28202590.82
Georgia,13,Coffee,1,43,Eastern noncommercial hardwoods,Hardwood,1,0,132101,21468578.39,14644977.02,36417377.25,28202590.82
Georgia,13,Appling,1,54,Tropical and subtropical hardwoods,Hardwood,1,0,132101,362191.8717,,,
Georgia,13,Coffee,1,54,Tropical and subtropical hardwoods,Hardwood,1,0,132101,362191.8717,,,
Georgia,13,Appling,1,55,Urban-specific hardwoods,Hardwood,1,0,132101,,,13818621.59,
Georgia,13,Coffee,1,55,Urban-specific hardwoods,Hardwood,1,0,132101,,,13818621.59,
Georgia,13,Atkinson,3,1,Longleaf and slash pines,Softwood,1,0,132101,1258968.648,20420734.45,47425273.97,149169616.5
Georgia,13,Colbert,3,1,Longleaf and slash pines,Softwood,1,0,132101,1258968.648,20420734.45,47425273.97,149169616.5
Georgia,13,Atkinson,3,2,Loblolly and shortleaf pines,Softwood,1,0,132101,1823952.713,1238067.887,12876697.43,45465029.63
Georgia,13,Colbert,3,2,Loblolly and shortleaf pines,Softwood,1,0,132101,1823952.713,1238067.887,12876697.43,45465029.63
