statecd,fortypcd,spgrpcd,trtcd1,trtcd2,trtcd3,harvest_type1_srs,harvest_type2_srs,harvest_type3_srs,areatot,area20,area40,area60,area80,area100,area100plus
1,105,2,0,0,0,,,,123332.7376230526593390222664265,65,65,6872.1301143705343466222664265,65,116590.6075086821249924,65
1,105,3,0,0,0,,,,105568.033738912171218268788472,25,72725.153462676368637868788472,29133.989711439605,25,3783.8905647961975804,25
1,105,7,0,0,0,,,,103651.479450814465105424255619,33,54558.115097007276478401591354,41641.583224214793466222664265,33,7550.7811295923951608,33
1,105,25,0,0,0,,,,42757.287031202174545956262824,17,12133.692243779394772978131412,30657.594787422779772978131412,17,17,17
1,105,26,0,0,0,,,,3029.173060944848693244532853,2,2,3031.173060944848693244532853,2,2,2
1,105,27,0,0,0,,,,15127.8227876541242165558649855,9,9,13257.3775052560254263558649855,9,1888.4452823980987902,9
1,105,28,0,0,0,,,,6058.346121889697386489065706,1,6059.346121889697386489065706,1,1,1,1
1,105,29,0,0,0,,,,6807.1301143705343466222664265,3,3,6810.1301143705343466222664265,3,3,3
1,105,32,0,0,0,,,,22335.8966880905715060894635445,5,18180.038365669092159467197118,4165.8583224214793466222664265,5,5,5
1,105,33,0,0,0,,,,8321.716644842958693244532853,4,4,8325.716644842958693244532853,4,4,4
1,105,34,0,0,0,,,,3758.8905647961975804,2,2,2,2,3760.8905647961975804,2
1,105,35,0,0,0,,,,3029.173060944848693244532853,2,2,3031.173060944848693244532853,2,2,2
1,105,36,0,0,0,,,,2646.271791949055,1,1,2647.271791949055,1,1,1
1,105,39,0,0,0,,,,24928.040928829268757089065706,9,6067.346121889697386489065706,13240.358959745275,9,5647.3358471942963706,9
1,105,41,0,0,0,,,,5292.54358389811,2,2,5294.54358389811,2,2,2
1,105,42,0,0,0,,,,24233.384487558789545956262824,4,24237.384487558789545956262824,4,4,4,4
1,105,43,0,0,0,,,,76442.0254819618157919129234865,23,48489.768975117579091912525648,24239.3659420480391196003978385,23,3781.8905647961975804,23
1,141,1,20,30,40,,,,35229.536935367563339171135266,35235.536935367563339171135266,6,6,6,6,6
1,141,1,30,0,0,,,,1444.978589383425,1445.978589383425,1,1,1,1,1
1,141,1,40,0,0,,,,18071.2402611322911687097100724,3,3,3,3,18074.2402611322911687097100724,3
1,141,1,10,0,0,15,,,31755.26150338866,31761.26150338866,6,6,6,6,6
1,141,1,0,0,0,,,,12785118.3787532562734904332485407098934,5080335.2243936388209327849718730441692,4124950.3809163341109533265522969760162,1222060.9069008550539787995512002,1691430.7966238207452060057707313594328,657086.6586817322007409589932762802752,25166.41123687534167855740916285
1,141,1,10,0,0,12,,,10014.31523329215499209,3,3,3,3,10017.31523329215499209,3
1,141,1,10,50,0,12,,,91350.890162864757420228686256,15,15,91365.890162864757420228686256,15,15,15
1,141,1,10,0,0,14,,,892150.2765017985180203561701112,15306.9869643624,438673.2727817508356170976940288,303169.4523735014454437584760824,85468.3706937977369595,50477.1936883861,189
1,141,1,50,0,0,,,,545207.880052096542829345028183,545300.880052096542829345028183,93,93,93,93,93
1,141,1,20,30,0,,,,102654.829174757083091041704881,102672.829174757083091041704881,18,18,18,18,18
1,141,1,10,30,20,11,,,23486.357956911708892780756844,23490.357956911708892780756844,4,4,4,4,4
1,141,1,10,20,30,11,,,43612.2976353201656658250229286,43620.2976353201656658250229286,8,8,8,8,8
1,141,1,10,30,0,11,,,30235.9739287248,30240.9739287248,5,5,5,5,5
1,141,2,20,30,0,,,,11851.3131865754318886083409762,11853.3131865754318886083409762,2,2,2,2,2
1,141,2,40,0,0,,,,24094.9870148430548916129467632,4,4,4,4,24098.9870148430548916129467632,4
1,141,2,30,0,0,,,,247.632626476256112,250.632626476256112,3,3,3,3,3
1,141,2,50,0,0,,,,5850.34092807541,5851.34092807541,1,1,1,1,1
1,141,2,20,30,40,,,,35229.536935367563339171135266,35235.536935367563339171135266,6,6,6,6,6
1,141,2,10,20,30,11,,,1087383.64512617314633692354944235,1087582.64512617314633692354944235,199,199,199,199,199
1,141,2,10,30,20,11,,,129174.968763014398910294162642,129196.968763014398910294162642,22,22,22,22,22
1,141,2,0,0,0,,,,2642299.2969797984587921802167556508258,1275146.7324007832211629437952818272428,611568.378340629585101783682691973583,323019.6387662472761417403867966,344101.269579524401461940760922,43448.11095645252846972,48891.16693616144645405159106325
1,141,2,10,30,0,11,,,18141.58435723488,18144.58435723488,3,3,3,3,3
1,141,2,10,0,0,12,,,33381.0507776405166403,10,10,10,10,33391.0507776405166403,10
1,141,2,10,0,0,14,,,77597.4903725443157826067202528,1525.79869643624,42644.4154093368867961067202528,14,28440.4568979325789865,5042.81936883861,14
1,141,3,0,0,0,,,,89796.6586095619785200022182052849002,393.8619711288313451633779156849002,17,17,89436.7966384331471748388402896,17,17
1,141,3,10,20,30,11,,,8979.5876675566059443041704881,8982.5876675566059443041704881,3,3,3,3,3
1,141,8,0,0,0,,,,29357.947446139636115975946055,5,5,29362.947446139636115975946055,5,5,5
1,141,8,10,30,0,11,,,56.3398206649922591330961948274554,57.3398206649922591330961948274554,1,1,1,1,1
1,141,8,20,30,0,,,,463.4015011721524141209379078679406,464.4015011721524141209379078679406,1,1,1,1,1
1,141,9,10,20,30,11,,,3045.0296720954919140076228752,3046.0296720954919140076228752,1,1,1,1,1
1,141,9,0,0,0,,,,21985.8879427337393639541539955698004,4532.3384688866201903267558313698004,13695.9349472181616736273981642,7,7,3778.6145266289575,7
1,141,9,20,30,0,,,,463.4015011721524141209379078679406,464.4015011721524141209379078679406,1,1,1,1,1
1,141,25,0,0,0,,,,60494.8911437485484283163292916,38469.2956822921922344427838165,1278.2048422096525,21,3792.6145266289575,10606.08716779622,6453.6889248215261938735454751
1,141,25,20,30,0,,,,463.4015011721524141209379078679406,464.4015011721524141209379078679406,1,1,1,1,1
1,141,25,10,20,30,11,,,41936.3794747369118886083409762,41943.3794747369118886083409762,7,7,7,7,7
1,141,25,10,0,0,14,,,5028.81936883861,1,1,1,1,5029.81936883861,1
1,141,25,10,30,0,11,,,56.3398206649922591330961948274554,57.3398206649922591330961948274554,1,1,1,1,1
1,141,26,0,0,0,,,,12098.9231592603656623432366908,4,4,4,11056.5661225493737229032366908,1050.35703671099193944,4
1,141,26,10,0,0,14,,,5028.81936883861,1,1,1,1,5029.81936883861,1
1,141,27,10,50,0,12,,,6090.0593441909838280152457504,1,1,6091.0593441909838280152457504,1,1,1
1,141,27,10,20,30,11,,,5941.40728406689,5942.40728406689,1,1,1,1,1
1,141,27,0,0,0,,,,379212.329738632229975687114565682622,58542.8785601074078760991147601,42153.261508773078411426916499632622,84297.5457109032831470812165298,123582.6029152569481561030940386,67869.69658118074928804,3306.34446241076309693677273755
1,141,27,10,0,0,14,,,17208.9380572205776560304915008,5,12185.1186883819676560304915008,5,5,5033.81936883861,5
1,141,28,10,20,30,11,,,251044.0896300746219213385551486,251110.0896300746219213385551486,66,66,66,66,66
1,141,28,20,30,0,,,,17250.1380468525403325469989389473466,17263.1380468525403325469989389473466,13,13,13,13,13
