STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
1,1,3,Baldwin,378010478,2002-04-23 07:29:28,2005-03-22 11:16:35
1,1,39,Covington,396010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,1,53,Escambia,403010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,1,97,Mobile,425010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,1,129,Washington,441010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,2,23,Choctaw,388010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,2,25,Clarke,389010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,2,35,Conecuh,394010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,2,91,Marengo,422010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,2,99,Monroe,426010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,2,119,Sumter,436010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,2,131,Wilcox,442010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,1,Autauga,377010478,2002-04-23 07:29:28,2005-03-22 11:16:35
1,3,5,Barbour,379010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,11,Bullock,382010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,13,Butler,383010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,17,Chambers,385010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,21,Chilton,387010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,31,Coffee,392010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,41,Crenshaw,397010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,45,Dale,399010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,47,Dallas,400010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,51,Elmore,402010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,61,Geneva,407010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,67,Henry,410010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,69,Houston,411010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,81,Lee,417010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,85,Lowndes,419010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,87,Macon,420010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,101,Montgomery,427010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,109,Pike,431010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,113,Russell,433010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,3,123,Tallapoosa,438010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,4,7,Bibb,380010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,4,57,Fayette,405010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,4,63,Greene,408010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,4,65,Hale,409010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,4,75,Lamar,414010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,4,93,Marion,423010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,4,105,Perry,429010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,4,107,Pickens,430010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,4,125,Tuscaloosa,439010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,9,Blount,381010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,15,Calhoun,384010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,19,Cherokee,386010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,27,Clay,390010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,29,Cleburne,391010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,37,Coosa,395010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,43,Cullman,398010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,55,Etowah,404010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,73,Jefferson,413010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,111,Randolph,432010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,115,St. Clair,434010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,117,Shelby,435010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,121,Talladega,437010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,127,Walker,440010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,5,133,Winston,443010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,6,33,Colbert,393010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,6,49,DeKalb,401010478,2002-04-23 07:29:29,
1,6,59,Franklin,406010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,6,71,Jackson,412010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,6,77,Lauderdale,415010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,6,79,Lawrence,416010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,6,83,Limestone,418010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,6,89,Madison,421010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,6,95,Marshall,424010478,2002-04-23 07:29:29,2005-03-22 11:16:35
1,6,103,Morgan,428010478,2002-04-23 07:29:29,2005-03-22 11:16:35
