STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
5,1,1,Arkansas,444010478,2002-04-23 07:29:29,2005-03-22 11:16:35
5,1,17,Chicot,452010478,2002-04-23 07:29:29,2005-03-22 11:16:35
5,1,41,Desha,464010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,1,69,Jefferson,478010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,1,77,Lee,482010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,1,79,Lincoln,483010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,1,85,Lonoke,486010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,1,95,Monroe,491010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,1,107,Phillips,497010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,1,117,Prairie,502010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,2,21,Clay,454010478,2002-04-23 07:29:29,2005-03-22 11:16:35
5,2,31,Craighead,459010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,2,35,Crittenden,461010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,2,37,Cross,462010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,2,55,Greene,471010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,2,67,Jackson,477010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,2,75,Lawrence,481010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,2,93,Mississippi,490010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,2,111,Poinsett,499010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,2,123,St. Francis,505010478,2002-04-23 07:29:33,2005-03-22 11:16:35
5,2,147,Woodruff,517010478,2002-04-23 07:29:33,2005-03-22 11:16:35
5,3,3,Ashley,445010478,2002-04-23 07:29:29,2005-03-22 11:16:35
5,3,11,Bradley,449010478,2002-04-23 07:29:29,2005-03-22 11:16:35
5,3,13,Calhoun,450010478,2002-04-23 07:29:29,2005-03-22 11:16:35
5,3,19,Clark,453010478,2002-04-23 07:29:29,2005-03-22 11:16:35
5,3,25,Cleveland,456010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,3,27,Columbia,457010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,3,39,Dallas,463010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,3,43,Drew,465010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,3,53,Grant,470010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,3,57,Hempstead,472010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,3,59,Hot Spring,473010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,3,61,Howard,474010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,3,73,Lafayette,480010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,3,81,Little River,484010478,2002-04-23 07:29:30,2005-03-22 11:16:35
5,3,91,Miller,489010478,2002-04-23 07:29:30,2005-03-22 11:16:35
