STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
12,1,1,Alachua,519010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,3,Baker,520010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,7,Bradford,522010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,19,Clay,528010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,23,Columbia,530010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,29,Dixie,533010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,31,Duval,534010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,35,Flagler,536010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,41,Gilchrist,539010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,47,Hamilton,542010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,67,Lafayette,552010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,75,Levy,556010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,79,Madison,558010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,83,Marion,560010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,89,Nassau,563010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,1,107,Putnam,572010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,1,109,St. Johns,573010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,1,121,Suwannee,579010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,1,123,Taylor,580010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,1,125,Union,581010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,1,127,Volusia,582010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,2,5,Bay,521010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,13,Calhoun,525010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,33,Escambia,535010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,37,Franklin,537010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,39,Gadsden,538010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,45,Gulf,541010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,59,Holmes,548010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,63,Jackson,550010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,65,Jefferson,551010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,73,Leon,555010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,77,Liberty,557010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,91,Okaloosa,564010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,2,113,Santa Rosa,575010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,2,129,Wakulla,583010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,2,131,Walton,584010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,2,133,Washington,585010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,3,9,Brevard,523010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,3,17,Citrus,527010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,3,27,DeSoto,532010478,2002-04-23 07:29:33,2002-04-24 05:21:05
12,3,49,Hardee,543010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,3,53,Hernando,545010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,3,55,Highlands,546010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,3,57,Hillsborough,547010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,3,61,Indian River,549010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,3,69,Lake,553010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,3,81,Manatee,559010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,3,93,Okeechobee,565010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,3,95,Orange,566010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,3,97,Osceola,567010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,3,101,Pasco,569010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,3,103,Pinellas,570010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,3,105,Polk,571010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,3,111,St. Lucie,574010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,3,115,Sarasota,576010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,3,117,Seminole,577010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,3,119,Sumter,578010478,2002-04-23 07:29:34,2005-03-22 11:16:35
12,4,11,Broward,524010478,2002-04-23 07:29:33,
12,4,15,Charlotte,526010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,4,21,Collier,529010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,4,25,Dade,531010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,4,43,Glades,540010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,4,51,Hendry,544010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,4,71,Lee,554010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,4,85,Martin,561010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,4,87,Monroe,562010478,2002-04-23 07:29:33,2005-03-22 11:16:35
12,4,99,Palm Beach,568010478,2002-04-23 07:29:34,2005-03-22 11:16:35
