STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
13,1,1,Appling,586010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,3,Atkinson,587010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,5,Bacon,588010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,25,Brantley,598010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,29,Bryan,600010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,31,Bulloch,601010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,39,Camden,605010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,43,Candler,606010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,49,Charlton,609010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,51,Chatham,610010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,65,Clinch,617010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,69,Coffee,619010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,91,Dodge,630010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,1,101,Echols,635010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,103,Effingham,636010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,107,Emanuel,638010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,109,Evans,639010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,127,Glynn,648010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,161,Jeff Davis,665010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,165,Jenkins,667010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,167,Johnson,668010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,175,Laurens,672010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,179,Liberty,674010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,183,Long,676010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,191,McIntosh,680010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,209,Montgomery,688010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,1,229,Pierce,697010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,1,251,Screven,708010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,1,267,Tattnall,716010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,1,271,Telfair,718010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,1,279,Toombs,722010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,1,283,Treutlen,724010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,1,299,Ware,732010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,1,305,Wayne,735010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,1,309,Wheeler,737010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,2,7,Baker,589010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,2,17,Ben Hill,594010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,2,19,Berrien,595010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,2,27,Brooks,599010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,2,71,Colquitt,620010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,2,75,Cook,622010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,2,81,Crisp,625010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,2,87,Decatur,628010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,2,93,Dooly,631010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,2,99,Early,634010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,2,131,Grady,650010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,2,155,Irwin,662010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,2,173,Lanier,671010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,2,185,Lowndes,677010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,2,201,Miller,685010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,2,205,Mitchell,686010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,2,253,Seminole,709010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,2,275,Thomas,720010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,2,277,Tift,721010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,2,287,Turner,726010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,2,315,Wilcox,740010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,2,321,Worth,743010478,2002-04-23 07:29:40,2005-03-22 11:16:35
13,3,9,Baldwin,590010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,21,Bibb,596010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,23,Bleckley,597010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,33,Burke,602010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,35,Butts,603010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,37,Calhoun,604010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,53,Chattahoochee,611010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,61,Clay,615010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,73,Columbia,621010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,79,Crawford,624010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,95,Dougherty,632010478,2002-04-23 07:29:34,2005-03-22 11:16:35
13,3,125,Glascock,647010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,133,Greene,651010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,141,Hancock,655010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,145,Harris,657010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,153,Houston,661010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,159,Jasper,664010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,163,Jefferson,666010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,169,Jones,669010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,171,Lamar,670010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,177,Lee,673010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,181,Lincoln,675010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,189,McDuffie,679010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,193,Macon,681010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,197,Marion,683010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,207,Monroe,687010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,211,Morgan,689010478,2002-04-23 07:29:35,2005-03-22 11:16:35
13,3,215,Muscogee,1464010478,2002-04-23 07:30:06,
