STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
22,1,25,Catahoula,11109210010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,1,29,Concordia,11109211010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,1,35,East Carroll,11109212010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,1,41,Franklin,11109213010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,1,65,Madison,11109214010661,2002-04-23 07:29:47,2008-11-05 09:07:34
22,1,67,Morehouse,11109215010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,1,83,Richland,11109216010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,1,107,Tensas,11109217010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,1,123,West Carroll,11109218010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,1,Acadia,11109219010661,2002-04-23 07:29:44,2008-11-05 09:07:33
22,2,5,Ascension,11109220010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,2,7,Assumption,11109221010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,2,9,Avoyelles,11109222010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,2,23,Cameron,4261592010478,2002-04-23 07:29:44,2008-11-05 09:07:34
22,2,45,Iberia,11109223010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,2,47,Iberville,11109224010661,2002-04-23 07:29:47,2008-11-05 09:07:34
22,2,51,Jefferson,4267087010478,2002-04-23 07:29:47,2008-11-05 09:07:34
22,2,55,Lafayette,11109225010661,2002-04-23 07:29:47,2008-11-05 09:07:34
22,2,57,Lafourche,11109226010661,2002-04-23 07:29:47,2008-11-05 09:07:34
22,2,71,Orleans,4271562010478,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,75,Plaquemines,4271923010478,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,77,Pointe Coupee,11109227010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,87,St. Bernard,4275204010478,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,89,St. Charles,11109228010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,93,St. James,11109229010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,95,St. John the Baptist,11109230010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,97,St. Landry,11109231010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,99,St. Martin,11109232010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,101,St. Mary,11109233010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,109,Terrebonne,11109234010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,113,Vermilion,11109235010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,2,121,West Baton Rouge,11109236010661,2002-04-23 07:29:47,2009-02-04 09:33:58
22,2,125,West Feliciana,11109237010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,3,3,Allen,11109238010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,3,11,Beauregard,11109239010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,3,19,Calcasieu,11109240010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,3,39,Evangeline,11109241010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,3,43,Grant,11109242010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,3,53,Jefferson Davis,11109243010661,2002-04-23 07:29:47,2008-11-05 09:07:34
22,3,59,La Salle,11109244010661,2002-04-23 07:29:47,2008-11-05 09:07:34
22,3,69,Natchitoches,11109245010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,3,79,Rapides,11109246010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,3,85,Sabine,11109247010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,3,115,Vernon,11109248010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,4,33,East Baton Rouge,11109249010661,2002-04-23 07:29:44,2009-02-04 09:33:58
22,4,37,East Feliciana,11109250010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,4,63,Livingston,11109251010661,2002-04-23 07:29:47,2008-11-05 09:07:34
22,4,91,St. Helena,11109252010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,4,103,St. Tammany,11109253010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,4,105,Tangipahoa,11109254010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,4,117,Washington,11109255010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,5,13,Bienville,11109256010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,5,15,Bossier,11109257010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,5,17,Caddo,11109258010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,5,21,Caldwell,11109259010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,5,27,Claiborne,11109260010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,5,31,De Soto,11109261010661,2002-04-23 07:29:44,2008-11-05 09:07:34
22,5,49,Jackson,11109262010661,2002-04-23 07:29:47,2008-11-05 09:07:34
22,5,61,Lincoln,11109263010661,2002-04-23 07:29:47,2008-11-05 09:07:34
22,5,73,Ouachita,11109264010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,5,81,Red River,11109265010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,5,111,Union,11109266010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,5,119,Webster,11109267010661,2002-04-23 07:29:47,2008-11-05 09:07:35
22,5,127,Winn,11109268010661,2002-04-23 07:29:47,2008-11-05 09:07:35
