STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
26,1,3,Alger,344010661,2002-04-30 10:32:02,
26,1,33,Chippewa,888010661,2002-04-30 10:32:06,
26,1,41,Delta,345010661,2002-04-30 10:32:02,
26,1,95,Luce,346010661,2002-04-30 10:32:02,
26,1,97,Mackinac,347010661,2002-04-30 10:32:02,
26,1,109,Menominee,348010661,2002-04-30 10:32:02,
26,1,153,Schoolcraft,349010661,2002-04-30 10:32:02,
26,2,13,Baraga,350010661,2002-04-30 10:32:02,
26,2,43,Dickinson,889010661,2002-04-30 10:32:06,
26,2,53,Gogebic,351010661,2002-04-30 10:32:02,
26,2,61,Houghton,352010661,2002-04-30 10:32:02,
26,2,71,Iron,353010661,2002-04-30 10:32:02,
26,2,83,Keweenaw,354010661,2002-04-30 10:32:02,
26,2,103,Marquette,355010661,2002-04-30 10:32:02,
26,2,131,Ontonagon,356010661,2002-04-30 10:32:02,
26,3,1,Alcona,890010661,2002-04-30 10:32:06,
26,3,7,Alpena,357010661,2002-04-30 10:32:02,
26,3,9,Antrim,358010661,2002-04-30 10:32:02,
26,3,11,Arenac,359010661,2002-04-30 10:32:02,
26,3,17,Bay,360010661,2002-04-30 10:32:02,
26,3,19,Benzie,361010661,2002-04-30 10:32:02,
26,3,29,Charlevoix,362010661,2002-04-30 10:32:02,
26,3,31,Cheboygan,891010661,2002-04-30 10:32:06,
26,3,35,Clare,363010661,2002-04-30 10:32:02,
26,3,39,Crawford,364010661,2002-04-30 10:32:02,
26,3,47,Emmet,365010661,2002-04-30 10:32:02,
26,3,51,Gladwin,366010661,2002-04-30 10:32:02,
26,3,55,Grand Traverse,367010661,2002-04-30 10:32:02,
26,3,69,Iosco,368010661,2002-04-30 10:32:02,
26,3,73,Isabella,369010661,2002-04-30 10:32:02,
26,3,79,Kalkaska,892010661,2002-04-30 10:32:06,
26,3,85,Lake,370010661,2002-04-30 10:32:02,
26,3,89,Leelanau,371010661,2002-04-30 10:32:02,
26,3,101,Manistee,372010661,2002-04-30 10:32:02,
26,3,105,Mason,373010661,2002-04-30 10:32:02,
26,3,107,Mecosta,374010661,2002-04-30 10:32:02,
26,3,111,Midland,375010661,2002-04-30 10:32:02,
26,3,113,Missaukee,893010661,2002-04-30 10:32:06,
26,3,119,Montmorency,376010661,2002-04-30 10:32:02,
26,3,123,Newaygo,377010661,2002-04-30 10:32:02,
26,3,127,Oceana,378010661,2002-04-30 10:32:02,
26,3,129,Ogemaw,379010661,2002-04-30 10:32:02,
26,3,133,Osceola,380010661,2002-04-30 10:32:02,
26,3,135,Oscoda,381010661,2002-04-30 10:32:02,
26,3,137,Otsego,382010661,2002-04-30 10:32:02,
26,3,141,Presque Isle,383010661,2002-04-30 10:32:02,
26,3,143,Roscommon,384010661,2002-04-30 10:32:02,
26,3,165,Wexford,385010661,2002-04-30 10:32:02,
26,4,5,Allegan,386010661,2002-04-30 10:32:02,
26,4,15,Barry,387010661,2002-04-30 10:32:02,
26,4,21,Berrien,388010661,2002-04-30 10:32:02,
26,4,23,Branch,389010661,2002-04-30 10:32:03,
26,4,25,Calhoun,390010661,2002-04-30 10:32:03,
26,4,27,Cass,391010661,2002-04-30 10:32:03,
26,4,37,Clinton,392010661,2002-04-30 10:32:03,
26,4,45,Eaton,393010661,2002-04-30 10:32:03,
26,4,49,Genesee,394010661,2002-04-30 10:32:03,
26,4,57,Gratiot,395010661,2002-04-30 10:32:03,
26,4,59,Hillsdale,396010661,2002-04-30 10:32:03,
26,4,63,Huron,397010661,2002-04-30 10:32:03,
26,4,65,Ingham,398010661,2002-04-30 10:32:03,
26,4,67,Ionia,399010661,2002-04-30 10:32:03,
26,4,75,Jackson,400010661,2002-04-30 10:32:03,
26,4,77,Kalamazoo,401010661,2002-04-30 10:32:03,
26,4,81,Kent,402010661,2002-04-30 10:32:03,
26,4,87,Lapeer,403010661,2002-04-30 10:32:03,
26,4,91,Lenawee,404010661,2002-04-30 10:32:03,
26,4,93,Livingston,405010661,2002-04-30 10:32:03,
26,4,99,Macomb,406010661,2002-04-30 10:32:03,
26,4,115,Monroe,407010661,2002-04-30 10:32:03,
26,4,117,Montcalm,408010661,2002-04-30 10:32:03,
26,4,121,Muskegon,409010661,2002-04-30 10:32:03,
26,4,125,Oakland,410010661,2002-04-30 10:32:03,
26,4,139,Ottawa,411010661,2002-04-30 10:32:03,
26,4,145,Saginaw,412010661,2002-04-30 10:32:03,
26,4,147,St. Clair,413010661,2002-04-30 10:32:03,
26,4,149,St. Joseph,414010661,2002-04-30 10:32:03,
26,4,151,Sanilac,415010661,2002-04-30 10:32:03,
26,4,155,Shiawassee,894010661,2002-04-30 10:32:06,
26,4,157,Tuscola,416010661,2002-04-30 10:32:03,
26,4,159,Van Buren,417010661,2002-04-30 10:32:03,
26,4,161,Washtenaw,418010661,2002-04-30 10:32:03,
26,4,163,Wayne,419010661,2002-04-30 10:32:03,
