STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
27,1,17,Carlton,420010661,2002-04-30 10:32:03,
27,1,31,Cook,421010661,2002-04-30 10:32:03,
27,1,71,Koochiching,895010661,2002-04-30 10:32:06,
27,1,75,Lake,422010661,2002-04-30 10:32:03,
27,1,137,St. Louis,423010661,2002-04-30 10:32:03,
27,2,1,Aitkin,424010661,2002-04-30 10:32:03,
27,2,5,Becker,425010661,2002-04-30 10:32:03,
27,2,7,Beltrami,426010661,2002-04-30 10:32:03,
27,2,21,Cass,896010661,2002-04-30 10:32:06,
27,2,29,Clearwater,427010661,2002-04-30 10:32:03,
27,2,35,Crow Wing,428010661,2002-04-30 10:32:03,
27,2,57,Hubbard,429010661,2002-04-30 10:32:03,
27,2,61,Itasca,430010661,2002-04-30 10:32:03,
27,2,77,Lake of the Woods,897010661,2002-04-30 10:32:06,
27,2,87,Mahnomen,431010661,2002-04-30 10:32:03,
27,2,135,Roseau,432010661,2002-04-30 10:32:03,
27,2,159,Wadena,433010661,2002-04-30 10:32:03,
27,3,3,Anoka,434010661,2002-04-30 10:32:03,
27,3,9,Benton,435010661,2002-04-30 10:32:03,
27,3,19,Carver,436010661,2002-04-30 10:32:03,
27,3,25,Chisago,898010661,2002-04-30 10:32:06,
27,3,37,Dakota,437010661,2002-04-30 10:32:03,
27,3,41,Douglas,438010661,2002-04-30 10:32:03,
27,3,45,Fillmore,439010661,2002-04-30 10:32:03,
27,3,49,Goodhue,440010661,2002-04-30 10:32:03,
27,3,53,Hennepin,441010661,2002-04-30 10:32:03,
27,3,55,Houston,899010661,2002-04-30 10:32:06,
27,3,59,Isanti,442010661,2002-04-30 10:32:03,
27,3,65,Kanabec,443010661,2002-04-30 10:32:03,
27,3,79,Le Sueur,444010661,2002-04-30 10:32:03,
27,3,95,Mille Lacs,445010661,2002-04-30 10:32:03,
27,3,97,Morrison,446010661,2002-04-30 10:32:03,
27,3,109,Olmsted,900010661,2002-04-30 10:32:06,
27,3,111,Otter Tail,447010661,2002-04-30 10:32:03,
27,3,115,Pine,448010661,2002-04-30 10:32:03,
27,3,123,Ramsey,449010661,2002-04-30 10:32:03,
27,3,131,Rice,450010661,2002-04-30 10:32:03,
27,3,139,Scott,451010661,2002-04-30 10:32:03,
27,3,141,Sherburne,901010661,2002-04-30 10:32:06,
27,3,145,Stearns,452010661,2002-04-30 10:32:03,
27,3,153,Todd,453010661,2002-04-30 10:32:03,
27,3,157,Wabasha,454010661,2002-04-30 10:32:03,
27,3,163,Washington,455010661,2002-04-30 10:32:03,
27,3,169,Winona,456010661,2002-04-30 10:32:03,
27,3,171,Wright,457010661,2002-04-30 10:32:03,
27,4,11,Big Stone,458010661,2002-04-30 10:32:03,
27,4,13,Blue Earth,459010661,2002-04-30 10:32:03,
27,4,15,Brown,460010661,2002-04-30 10:32:03,
27,4,23,Chippewa,461010661,2002-04-30 10:32:03,
27,4,27,Clay,462010661,2002-04-30 10:32:03,
27,4,33,Cottonwood,463010661,2002-04-30 10:32:03,
27,4,39,Dodge,464010661,2002-04-30 10:32:03,
27,4,43,Faribault,465010661,2002-04-30 10:32:03,
27,4,47,Freeborn,466010661,2002-04-30 10:32:03,
27,4,51,Grant,467010661,2002-04-30 10:32:03,
27,4,63,Jackson,468010661,2002-04-30 10:32:03,
27,4,67,Kandiyohi,469010661,2002-04-30 10:32:03,
27,4,69,Kittson,470010661,2002-04-30 10:32:03,
27,4,73,Lac qui Parle,471010661,2002-04-30 10:32:03,
27,4,81,Lincoln,472010661,2002-04-30 10:32:03,
27,4,83,Lyon,473010661,2002-04-30 10:32:03,
27,4,85,McLeod,474010661,2002-04-30 10:32:03,
27,4,89,Marshall,475010661,2002-04-30 10:32:03,
27,4,91,Martin,476010661,2002-04-30 10:32:03,
27,4,93,Meeker,477010661,2002-04-30 10:32:03,
27,4,99,Mower,478010661,2002-04-30 10:32:03,
27,4,101,Murray,479010661,2002-04-30 10:32:03,
27,4,103,Nicollet,480010661,2002-04-30 10:32:03,
27,4,105,Nobles,481010661,2002-04-30 10:32:03,
27,4,107,Norman,482010661,2002-04-30 10:32:03,
27,4,113,Pennington,483010661,2002-04-30 10:32:03,
27,4,117,Pipestone,484010661,2002-04-30 10:32:03,
27,4,119,Polk,485010661,2002-04-30 10:32:03,
27,4,121,Pope,486010661,2002-04-30 10:32:03,
27,4,125,Red Lake,487010661,2002-04-30 10:32:03,
27,4,127,Redwood,488010661,2002-04-30 10:32:03,
27,4,129,Renville,489010661,2002-04-30 10:32:03,
27,4,133,Rock,490010661,2002-04-30 10:32:03,
27,4,143,Sibley,491010661,2002-04-30 10:32:03,
27,4,147,Steele,902010661,2002-04-30 10:32:06,
27,4,149,Stevens,492010661,2002-04-30 10:32:03,
27,4,151,Swift,493010661,2002-04-30 10:32:03,
27,4,155,Traverse,494010661,2002-04-30 10:32:03,
27,4,161,Waseca,903010661,2002-04-30 10:32:06,
27,4,165,Watonwan,495010661,2002-04-30 10:32:03,
27,4,167,Wilkin,496010661,2002-04-30 10:32:03,
27,4,173,Yellow Medicine,497010661,2002-04-30 10:32:03,
