STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
28,1,11,Bolivar,934010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,1,27,Coahoma,942010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,1,51,Holmes,954010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,1,53,Humphreys,955010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,1,55,Issaquena,956010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,1,83,Leflore,970010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,1,119,Quitman,988010478,2002-04-23 07:29:50,2005-03-22 11:16:35
28,1,125,Sharkey,991010478,2002-04-23 07:29:50,2005-03-22 11:16:35
28,1,133,Sunflower,995010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,1,135,Tallahatchie,996010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,1,143,Tunica,1000010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,1,149,Warren,1003010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,1,151,Washington,1004010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,1,163,Yazoo,1010010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,2,3,Alcorn,930010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,9,Benton,933010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,13,Calhoun,935010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,15,Carroll,936010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,17,Chickasaw,937010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,19,Choctaw,938010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,25,Clay,941010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,33,DeSoto,945010478,2002-04-23 07:29:47,2002-04-24 05:27:40
28,2,43,Grenada,950010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,57,Itawamba,957010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,71,Lafayette,964010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,81,Lee,969010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,87,Lowndes,972010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,93,Marshall,975010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,95,Monroe,976010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,97,Montgomery,977010478,2002-04-23 07:29:47,2005-03-22 11:16:35
28,2,105,Oktibbeha,981010478,2002-04-23 07:29:48,2005-03-22 11:16:35
28,2,107,Panola,982010478,2002-04-23 07:29:48,2005-03-22 11:16:35
28,2,115,Pontotoc,986010478,2002-04-23 07:29:50,2005-03-22 11:16:35
28,2,117,Prentiss,987010478,2002-04-23 07:29:50,2005-03-22 11:16:35
28,2,137,Tate,997010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,2,139,Tippah,998010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,2,141,Tishomingo,999010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,2,145,Union,1001010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,2,155,Webster,1006010478,2002-04-23 07:29:51,2005-03-22 11:16:35
28,2,161,Yalobusha,1009010478,2002-04-23 07:29:51,2005-03-22 11:16:35
