STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
37,1,17,Bladen,1019010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,19,Brunswick,1020010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,47,Columbus,1034010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,51,Cumberland,1036010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,61,Duplin,1041010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,79,Greene,1050010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,85,Harnett,1053010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,93,Hoke,1057010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,101,Johnston,1061010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,103,Jones,1062010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,105,Lee,1063010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,107,Lenoir,1064010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,125,Moore,1073010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,129,New Hanover,1075010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,133,Onslow,1077010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,1,141,Pender,1081010478,2002-04-23 07:29:52,2005-03-22 11:16:34
37,1,153,Richmond,1087010478,2002-04-23 07:29:52,2005-03-22 11:16:34
37,1,155,Robeson,1088010478,2002-04-23 07:29:52,2005-03-22 11:16:34
37,1,163,Sampson,1092010478,2002-04-23 07:29:52,2005-03-22 11:16:34
37,1,165,Scotland,1093010478,2002-04-23 07:29:52,2005-03-22 11:16:34
37,1,191,Wayne,1106010478,2002-04-23 07:29:52,2005-03-22 11:16:34
37,2,13,Beaufort,1017010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,15,Bertie,1018010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,29,Camden,1025010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,31,Carteret,1026010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,41,Chowan,1031010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,49,Craven,1035010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,53,Currituck,1037010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,55,Dare,1038010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,65,Edgecombe,1043010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,73,Gates,1047010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,83,Halifax,1052010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,91,Hertford,1056010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,95,Hyde,1058010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,117,Martin,1069010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,127,Nash,1074010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,131,Northampton,1076010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,137,Pamlico,1079010478,2002-04-23 07:29:51,2005-03-22 11:16:34
37,2,139,Pasquotank,1080010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,2,143,Perquimans,1082010478,2002-04-23 07:29:52,2005-03-22 11:16:35
37,2,147,Pitt,1084010478,2002-04-23 07:29:52,2005-03-22 11:16:35
37,2,177,Tyrrell,1099010478,2002-04-23 07:29:52,2005-03-22 11:16:35
37,2,187,Washington,1104010478,2002-04-23 07:29:52,2005-03-22 11:16:35
37,2,195,Wilson,1108010478,2002-04-23 07:29:52,2005-03-22 11:16:35
37,3,1,Alamance,1011010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,3,3,Alexander,1012010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,3,7,Anson,1014010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,3,25,Cabarrus,1023010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,3,33,Caswell,1027010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,3,35,Catawba,1028010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,3,37,Chatham,1029010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,3,45,Cleveland,1033010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,3,57,Davidson,1039010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,3,59,Davie,1040010478,2002-04-23 07:29:51,2005-03-22 11:16:35
37,3,63,Durham,1042010478,2002-04-23 07:29:51,2005-03-22 11:16:35
