STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
47,1,17,Carroll,1234010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,1,23,Chester,1237010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,1,33,Crockett,1242010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,1,45,Dyer,1248010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,1,47,Fayette,1249010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,1,53,Gibson,1252010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,1,69,Hardeman,1260010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,1,75,Haywood,1263010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,1,77,Henderson,1264010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,1,79,Henry,1265010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,1,95,Lake,1273010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,1,97,Lauderdale,1274010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,1,109,McNairy,1280010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,1,113,Madison,1282010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,1,131,Obion,1291010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,1,157,Shelby,1304010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,1,167,Tipton,1309010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,1,183,Weakley,1317010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,2,5,Benton,1228010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,2,39,Decatur,1245010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,2,71,Hardin,1261010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,2,81,Hickman,1266010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,2,83,Houston,1267010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,2,85,Humphreys,1268010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,2,99,Lawrence,1275010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,2,101,Lewis,1276010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,2,135,Perry,1293010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,2,161,Stewart,1306010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,2,181,Wayne,1316010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,3,3,Bedford,1227010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,3,15,Cannon,1233010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,3,21,Cheatham,1236010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,3,27,Clay,1239010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,3,31,Coffee,1241010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,3,37,Davidson,1244010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,3,41,DeKalb,1246010478,2002-04-23 07:29:58,2002-04-24 05:39:33
47,3,43,Dickson,1247010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,3,55,Giles,1253010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,3,87,Jackson,1269010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,3,103,Lincoln,1277010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,3,111,Macon,1281010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,3,117,Marshall,1284010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,3,119,Maury,1285010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,3,125,Montgomery,1288010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,3,127,Moore,1289010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,3,147,Robertson,1299010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,3,149,Rutherford,1300010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,3,159,Smith,1305010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,3,165,Sumner,1308010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,3,169,Trousdale,1310010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,3,187,Williamson,1319010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,3,189,Wilson,1320010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,4,7,Bledsoe,1229010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,4,13,Campbell,1232010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,4,35,Cumberland,1243010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,4,49,Fentress,1250010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,4,51,Franklin,1251010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,4,61,Grundy,1256010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,4,115,Marion,1283010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,4,129,Morgan,1290010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,4,133,Overton,1292010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,4,137,Pickett,1294010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,4,141,Putnam,1296010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,4,151,Scott,1301010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,4,153,Sequatchie,1302010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,4,175,Van Buren,1313010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,4,177,Warren,1314010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,4,185,White,1318010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,5,1,Anderson,1226010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,5,9,Blount,1230010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,5,11,Bradley,1231010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,5,19,Carter,1235010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,5,25,Claiborne,1238010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,5,29,Cocke,1240010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,5,57,Grainger,1254010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,5,59,Greene,1255010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,5,63,Hamblen,1257010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,5,65,Hamilton,1258010478,2002-04-23 07:29:58,2005-03-22 11:16:34
47,5,67,Hancock,1259010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,5,73,Hawkins,1262010478,2002-04-23 07:29:59,2005-03-22 11:16:34
47,5,89,Jefferson,1270010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,5,91,Johnson,1271010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,5,93,Knox,1272010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,5,105,Loudon,1278010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,5,107,McMinn,1279010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,5,121,Meigs,1286010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,5,123,Monroe,1287010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,5,139,Polk,1295010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,5,143,Rhea,1297010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,5,145,Roane,1298010478,2002-04-23 07:30:01,2005-03-22 11:16:34
47,5,155,Sevier,1303010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,5,163,Sullivan,1307010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,5,171,Unicoi,1311010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,5,173,Union,1312010478,2002-04-23 07:30:02,2005-03-22 11:16:34
47,5,179,Washington,1315010478,2002-04-23 07:30:02,2005-03-22 11:16:34
