STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
48,1,5,Angelina,1322010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,71,Chambers,1326010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,185,Grimes,1330010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,199,Hardin,1331010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,201,Harris,1332010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,225,Houston,1335010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,241,Jasper,1336010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,245,Jefferson,1337010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,289,Leon,1338010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,291,Liberty,1339010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,313,Madison,1340010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,339,Montgomery,1342010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,351,Newton,1345010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,361,Orange,1346010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,373,Polk,1348010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,403,Sabine,1351010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,405,San Augustine,1352010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,407,San Jacinto,1353010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,455,Trinity,1357010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,457,Tyler,1358010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,471,Walker,1361010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,1,473,Waller,1362010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,1,Anderson,1321010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,37,Bowie,1323010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,63,Camp,1324010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,67,Cass,1325010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,73,Cherokee,1327010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,159,Franklin,1328010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,183,Gregg,1329010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,203,Harrison,1333010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,213,Henderson,1334010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,315,Marion,1341010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,343,Morris,1343010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,347,Nacogdoches,1344010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,365,Panola,1347010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,387,Red River,1349010478,2002-04-23 07:30:02,2005-03-22 11:16:34
48,2,401,Rusk,1350010478,2002-04-23 07:30:02,2005-03-22 11:16:34
