STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
55,1,37,Florence,773010661,2002-04-30 10:32:05,
55,1,41,Forest,774010661,2002-04-30 10:32:05,
55,1,67,Langlade,775010661,2002-04-30 10:32:05,
55,1,69,Lincoln,776010661,2002-04-30 10:32:05,
55,1,75,Marinette,777010661,2002-04-30 10:32:05,
55,1,78,Menominee,778010661,2002-04-30 10:32:05,
55,1,83,Oconto,779010661,2002-04-30 10:32:05,
55,1,85,Oneida,780010661,2002-04-30 10:32:05,
55,1,115,Shawano,781010661,2002-04-30 10:32:05,
55,1,125,Vilas,782010661,2002-04-30 10:32:05,
55,2,3,Ashland,783010661,2002-04-30 10:32:05,
55,2,5,Barron,784010661,2002-04-30 10:32:05,
55,2,7,Bayfield,785010661,2002-04-30 10:32:05,
55,2,13,Burnett,786010661,2002-04-30 10:32:05,
55,2,31,Douglas,956010661,2002-04-30 10:32:06,
55,2,51,Iron,787010661,2002-04-30 10:32:05,
55,2,95,Polk,788010661,2002-04-30 10:32:05,
55,2,99,Price,789010661,2002-04-30 10:32:05,
55,2,107,Rusk,790010661,2002-04-30 10:32:05,
55,2,113,Sawyer,957010661,2002-04-30 10:32:06,
55,2,119,Taylor,791010661,2002-04-30 10:32:05,
55,2,129,Washburn,792010661,2002-04-30 10:32:05,
55,3,1,Adams,793010661,2002-04-30 10:32:05,
55,3,17,Chippewa,794010661,2002-04-30 10:32:05,
55,3,19,Clark,795010661,2002-04-30 10:32:05,
55,3,35,Eau Claire,958010661,2002-04-30 10:32:06,
55,3,53,Jackson,796010661,2002-04-30 10:32:05,
55,3,57,Juneau,797010661,2002-04-30 10:32:05,
55,3,73,Marathon,798010661,2002-04-30 10:32:05,
55,3,77,Marquette,959010661,2002-04-30 10:32:06,
55,3,81,Monroe,799010661,2002-04-30 10:32:05,
55,3,97,Portage,800010661,2002-04-30 10:32:05,
55,3,135,Waupaca,801010661,2002-04-30 10:32:05,
55,3,137,Waushara,802010661,2002-04-30 10:32:05,
55,3,141,Wood,960010661,2002-04-30 10:32:06,
55,4,11,Buffalo,803010661,2002-04-30 10:32:05,
55,4,23,Crawford,804010661,2002-04-30 10:32:05,
55,4,33,Dunn,805010661,2002-04-30 10:32:05,
55,4,43,Grant,961010661,2002-04-30 10:32:06,
55,4,49,Iowa,806010661,2002-04-30 10:32:05,
55,4,63,La Crosse,807010661,2002-04-30 10:32:05,
55,4,65,Lafayette,808010661,2002-04-30 10:32:05,
55,4,91,Pepin,809010661,2002-04-30 10:32:05,
55,4,93,Pierce,962010661,2002-04-30 10:32:06,
55,4,103,Richland,810010661,2002-04-30 10:32:05,
55,4,109,St. Croix,811010661,2002-04-30 10:32:05,
55,4,111,Sauk,812010661,2002-04-30 10:32:05,
55,4,121,Trempealeau,813010661,2002-04-30 10:32:05,
55,4,123,Vernon,963010661,2002-04-30 10:32:06,
55,5,9,Brown,814010661,2002-04-30 10:32:05,
55,5,15,Calumet,815010661,2002-04-30 10:32:05,
55,5,21,Columbia,816010661,2002-04-30 10:32:05,
55,5,25,Dane,817010661,2002-04-30 10:32:05,
55,5,27,Dodge,964010661,2002-04-30 10:32:06,
55,5,29,Door,818010661,2002-04-30 10:32:05,
55,5,39,Fond du Lac,819010661,2002-04-30 10:32:05,
55,5,45,Green,820010661,2002-04-30 10:32:05,
55,5,47,Green Lake,821010661,2002-04-30 10:32:05,
55,5,55,Jefferson,965010661,2002-04-30 10:32:06,
55,5,59,Kenosha,822010661,2002-04-30 10:32:05,
55,5,61,Kewaunee,823010661,2002-04-30 10:32:05,
55,5,71,Manitowoc,824010661,2002-04-30 10:32:05,
55,5,79,Milwaukee,825010661,2002-04-30 10:32:05,
55,5,87,Outagamie,966010661,2002-04-30 10:32:06,
55,5,89,Ozaukee,826010661,2002-04-30 10:32:05,
55,5,101,Racine,827010661,2002-04-30 10:32:05,
55,5,105,Rock,828010661,2002-04-30 10:32:05,
55,5,117,Sheboygan,829010661,2002-04-30 10:32:05,
55,5,127,Walworth,830010661,2002-04-30 10:32:05,
55,5,131,Washington,967010661,2002-04-30 10:32:06,
55,5,133,Waukesha,831010661,2002-04-30 10:32:05,
55,5,139,Winnebago,832010661,2002-04-30 10:32:05,
