FOREST_TYPE_GROUP,DIAMETER_CLASS:_2_INCH_CLASS_TO_29,DISTURBANCE_1,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Total,Total,Total,4491151779.82683,1119097046464723.9,5528,33452907.892509494,0.7448625549190273
White / red / jack pine group,Total,Total,25851127.080741324,15628587327675.986,41,3953300.8142153798,15.29256655567844
Longleaf / slash pine group,Total,Total,496572761.35489726,236089581094026.9,865,15365206.835380606,3.0942508391835037
Loblolly / shortleaf pine group,Total,Total,1301434992.5639808,593624204921455.9,1956,24364404.464740276,1.8721184387965102
Other eastern softwoods group,Total,Total,728286.0968652377,181442080592.57275,3,425960.1866284838,58.48802942441775
Oak / pine group,Total,Total,494912251.1137635,305792492364006.94,789,17486923.467665974,3.533338168193037
Oak / hickory group,Total,Total,1356256673.3121514,709989083545808.0,1900,26645620.344548333,1.9646443677564616
Oak / gum / cypress group,Total,Total,735860076.5712478,566560985695699.1,895,23802541.58058965,3.23465592691181
Elm / ash / cottonwood group,Total,Total,68005392.02021378,34718282139294.766,161,5892222.1732801935,8.66434557355217
Other hardwoods group,Total,Total,1959647.7443997485,513699127275.11566,8,716728.0706621694,36.57433192829803
Tropical hardwoods group,Total,Total,2256127.4870306645,2415046747349.9717,1,1554042.0674325298,68.88095093765452
Exotic hardwoods group,Total,Total,5699540.997260281,1533151902033.044,22,1238205.1130701422,21.724646136686033
Nonstocked,Total,Total,1614903.4842789331,152860858387.3582,31,390974.2426137024,24.210378293181737
Total,Total,No visible disturbance,3682796697.488013,1241590387916222.0,4543,35236208.47815812,0.9567785401293607
Total,Total,Insect damage,14303778.231092086,12426203298665.14,18,3525082.0272250604,24.64441191882155
Total,Total,Insect damage to trees including seedlings and saplings,112900445.71162283,72955082255571.42,154,8541374.72867052,7.565403905036316
Total,Total,Disease damage,8063470.925811284,3759844725132.7275,12,1939031.9041038824,24.047112241665236
Total,Total,Disease damage to understory vegetation,1500119.9274337625,505374678910.3005,4,710897.0944590366,47.38935077511835
Total,Total,"Disease damage to trees, including seedlings and saplings",105407319.11613975,59946679590447.01,150,7742524.10977499,7.345338231441151
Total,Total,"Fire (from crown and ground fire, either prescribed or natural)",8802276.499699794,7041281921399.338,20,2653541.392441305,30.14608087500779
Total,Total,Ground fire damage,357826191.23896796,186475743022618.62,584,13655612.143826384,3.816269596293113
Total,Total,Crown fire damage,1002029.9233999238,251394491359.59143,2,501392.55215807847,50.03768255311532
Total,Total,Animal damage,12850548.682564603,22320749494030.58,8,4724484.045272095,36.76484298045726
Total,Total,Beaver (includes flooding caused by beaver),17408852.56678878,9647855935139.816,31,3106099.7947812006,17.842070767528757
Total,Total,Domestic animal/livestock (includes grazing),49282434.45938536,35498645567947.39,65,5958073.981409377,12.089650291767843
Total,Total,Weather damage,302142.59280901623,32491683121.06136,3,180254.4954253884,59.65875044281722
Total,Total,Ice,2105460.182120494,753515774058.1833,5,868052.8636311174,41.22865257688541
Total,Total,"Wind (includes hurricane, tornado)",57039416.84968859,50501053999793.6,66,7106409.360555695,12.45876930909488
Total,Total,Flooding (weather induced),10793517.088170895,17031894087202.553,10,4126971.5394224073,38.23565113863898
Total,Total,Drought,4418546.058755452,3158011814881.8726,4,1777079.5747185529,40.218650005859466
Total,Total,"Vegetation (suppression,competetion,vines)",11610846.975821855,8426325047235.947,9,2902813.298721767,25.00087465424801
Total,Total,Unknown/not sure/other,2270036.876115162,2415148879395.239,2,1554074.9272140127,68.46033840091559
Total,Total,Human-caused damage,30467648.432430312,16252864797537.111,54,4031484.1928918823,13.232016254331915
Total,1.0-2.9,Total,117729031.33771783,2838788642804.6973,4229,1684870.5121773297,1.4311427632018014
Total,3.0-4.9,Total,243772743.83631453,14524915947635.38,3170,3811156.7729018154,1.563405618251105
Total,5.0-6.9,Total,373132206.7909577,17880028389602.203,4936,4228478.259327131,1.1332386168680635
Total,7.0-8.9,Total,496652647.3004709,30559288934064.555,4661,5528045.67040329,1.113060747878963
Total,9.0-10.9,Total,548733639.4980917,37738412293469.336,4304,6143159.797162152,1.1195158005587365
Total,11.0-12.9,Total,553986138.3773289,46427744545849.75,3799,6813790.761818985,1.2299569050188044
Total,13.0-14.9,Total,518035424.6972152,48303189700922.16,3141,6950049.618594255,1.341616670839927
Total,15.0-16.9,Total,423115312.94267315,48549698931474.51,2373,6967761.400297409,1.6467759939573385
Total,17.0-18.9,Total,340831389.7904228,45028184749428.42,1680,6710304.3708484955,1.9688046852065655
Total,19.0-20.9,Total,260140645.37527657,43790726228815.445,1098,6617456.175058166,2.5437993995562986
Total,21.0-28.9,Total,470603096.5357944,143857744157943.03,1177,11994071.208640669,2.548659644811409
Total,29.0+,Total,144419503.3445671,88413706818599.9,201,9402856.311706562,6.510793967538102
White / red / jack pine group,Total,No visible disturbance,10732531.051500231,4666923042230.107,21,2160306.2380667487,20.12858129830217
White / red / jack pine group,Total,Insect damage,552259.9181130627,305737684473.67957,1,552935.5156559213,100.12233325662434
White / red / jack pine group,Total,Insect damage to trees including seedlings and saplings,12302420.471946277,10295706355610.334,14,3208692.312393062,26.08179682778667
White / red / jack pine group,Total,Ground fire damage,2263915.6391817555,615519943504.9465,5,784550.7909019954,34.654594779227494
Longleaf / slash pine group,Total,No visible disturbance,330869933.6289461,172732523269772.28,614,13142774.565127878,3.9721876270168552
Longleaf / slash pine group,Total,Insect damage,2548434.755281803,1689579701810.9246,3,1299838.336798436,51.005360608288406
Longleaf / slash pine group,Total,Insect damage to trees including seedlings and saplings,4019634.082589398,3510517167111.5693,3,1873637.4161271357,46.61213875766925
Longleaf / slash pine group,Total,Disease damage,1329842.0844496107,395016708104.24744,3,628503.5466123063,47.26151728552256
Longleaf / slash pine group,Total,Disease damage to understory vegetation,551938.0165981522,160814992493.7621,1,401017.4466201715,72.65624663650212
Longleaf / slash pine group,Total,"Disease damage to trees, including seedlings and saplings",31908673.621754978,19281129587849.27,50,4391028.306427695,13.761237331513337
Longleaf / slash pine group,Total,"Fire (from crown and ground fire, either prescribed or natural)",963292.297163384,356361578882.2583,7,596960.2824998145,61.97083525506112
Longleaf / slash pine group,Total,Ground fire damage,98658346.43416955,52161437618418.86,153,7222287.561321473,7.320503355629008
Longleaf / slash pine group,Total,Crown fire damage,447554.9684086917,99417223328.26404,1,315304.968765581,70.45055714310728
