year,spgrp2,GAGB_le_6,GAGB_6_12,GAGB_12,GAGB_total
2001,Oaks,55524200.28,141182462.2,331489656.6,528196319.1
2002,Oaks,55999628.45,141342230.3,333947466.4,531289325.2
2003,Oaks,56000678.36,140021068.8,332285805.2,528307552.3
2004,Oaks,56763825.05,139665839.7,340807482.9,537237147.6
2005,Oaks,56828581.41,138495173.3,349116777.9,544440532.5
2006,Oaks,57618086.51,138115209.9,357609460.8,553342757.2
2007,Oaks,57424495.56,138175523.8,366964814.1,562564833.5
2008,Oaks,57213425.48,137204520.9,375515218.7,569933165.1
2009,Oaks,57626307.16,138090544,382665552,578382403.2
2010,Oaks,57531313.79,138821443.5,390646894,586999651.3
2011,Oaks,57834044.93,137467122.9,395410201.8,590711369.7
2012,Oaks,57107170.68,137236182.1,403053998.3,597397351.1
2013,Oaks,58108416.27,137766496.1,409380428.8,605255341.2
2014,Oaks,58393608.24,135832097.4,413685854.2,607911559.9
2015,Oaks,58029798.05,135647693.3,421681234.1,615358725.4
2016,Oaks,57664110.69,136087074.4,429943728.6,623694913.7
2017,Oaks,57232540.45,135884038.8,441742730.1,634859309.3
2018,Oaks,57200399.08,137456165,447954438.5,642611002.6
2019,Oaks,56841742.71,138422040.3,454679795.4,649943578.3
2020,Oaks,55594585.88,138848460.5,457280480,651723526.4
2021,Oaks,54975822.24,139078934.1,460887369.8,654942126.1
2001,Other hardwoods,135140385.1,217517066,280554058.8,633211510
2002,Other hardwoods,137163281.5,219814151,281834931.7,638812364.2
2003,Other hardwoods,136768386.9,218732472.4,282249358.7,637750218
2004,Other hardwoods,138411030.7,218989735.7,278868976.2,636269742.6
2005,Other hardwoods,137108522.5,218453087.2,278011604.8,633573214.5
2006,Other hardwoods,137075735.2,219001871.9,283767618.1,639845225.2
2007,Other hardwoods,138442770.3,219661537.5,287031989,645136296.8
2008,Other hardwoods,137280289.6,221457578.5,290209923.8,648947791.9
2009,Other hardwoods,135652715.7,223456672.2,292976869,652086256.9
2010,Other hardwoods,137620887.5,225609977.5,297255260.8,660486125.8
2011,Other hardwoods,138089908.2,225111816.7,302004663.2,665206388.1
2012,Other hardwoods,135644643.1,222036401.3,303500134.5,661181178.9
2013,Other hardwoods,135224720.3,221747513.8,306394476.3,663366710.4
2014,Other hardwoods,135246987.3,221795624.4,310039934,667082545.7
2015,Other hardwoods,134292967.2,222976112,314597317.1,671866396.3
2016,Other hardwoods,134540420.1,224849457.7,317154651.7,676544529.5
2017,Other hardwoods,134466735,227047117.5,323831764.8,685345617.3
2018,Other hardwoods,134506970.2,229181054,333114813.5,696802837.7
2019,Other hardwoods,135137435.6,229887679.7,336959212.1,701984327.4
2020,Other hardwoods,135810528.4,232251693.5,343640584.7,711702806.6
2021,Other hardwoods,135389006.1,234581752.9,351480194.7,721450953.7
2001,Other softwoods,8129946.404,15571138.52,17404380.88,41105465.81
2002,Other softwoods,8103333.476,15406481.98,17855226.14,41365041.6
2003,Other softwoods,7864067.285,15126571.26,17995192.05,40985830.6
2004,Other softwoods,8307880.618,15374604.72,19015144.59,42697629.93
2005,Other softwoods,8077229.363,15272729.31,19030415.24,42380373.91
2006,Other softwoods,8082510.825,14995967.95,18832869.41,41911348.18
2007,Other softwoods,8257759.34,14646013.53,18978263.73,41882036.59
2008,Other softwoods,8551339.042,15351425.25,19490851.15,43393615.44
2009,Other softwoods,8319017.558,14846292.72,20111952.37,43277262.65
2010,Other softwoods,7596847.604,14786171.75,20621111.53,43004130.89
2011,Other softwoods,7301454.377,14475620.66,20629877.16,42406952.19
2012,Other softwoods,6873402.524,14630281.53,20700346.43,42204030.48
2013,Other softwoods,6958093.801,14355225.25,20737105.63,42050424.68
2014,Other softwoods,6735929.012,14500472.95,20841446.38,42077848.34
2015,Other softwoods,7159744.196,15238282.21,21094431.95,43492458.36
2016,Other softwoods,7123874.578,15341190.11,21653673.58,44118738.27
2017,Other softwoods,7181753.576,15228392.21,21905982.4,44316128.18
2018,Other softwoods,6619089.93,15134679.51,22168516.71,43922286.15
2019,Other softwoods,6671646.701,15232474.53,22347779.58,44251900.82
2020,Other softwoods,6689311.944,15368015.71,22572127.64,44629455.3
2021,Other softwoods,6570933.762,15632485.09,22089614.67,44293033.53
2001,Pines,103718625.8,334199146,258697028.7,696614800.4
2002,Pines,106001115.3,342362551.8,261274256.4,709637923.5
2003,Pines,104838264.7,341905083,264326651.2,711069998.9
2004,Pines,105169572.5,355264987.3,269467557.7,729902117.6
2005,Pines,104631623.9,367501388.7,276015948.8,748148961.4
2006,Pines,105747082.6,372900585.4,280752668.1,759400336.1
2007,Pines,105609230,380103937,283611531.7,769324698.6
2008,Pines,107667082.8,388543577.8,289957326.4,786167987
2009,Pines,103997845.5,392015231.1,295909902.1,791922978.7
2010,Pines,99254348.32,389839206,306575141.4,795668695.7
2011,Pines,97387513.44,393876295.7,317817985.4,809081794.6
2012,Pines,91079229.48,399619770.1,330308818.5,821007818.2
2013,Pines,88532165.57,406404188.2,346812245.2,841748599
2014,Pines,84860685.27,407010409.6,359964491.5,851835586.3
2015,Pines,79894560.86,404267089,373180759.8,857342409.6
2016,Pines,78272378.16,401493660.8,387612546.3,867378585.3
2017,Pines,75941632.16,402913705.9,406660027.5,885515365.6
2018,Pines,72411586.51,401750882.9,429272932.5,903435401.9
2019,Pines,68885891.57,397219077,451015254.2,917120222.8
2020,Pines,70380161.61,391653939.9,467548333.4,929582434.9
2021,Pines,68251956.23,393176447.3,476716735,938145138.5
