year,quarter,state,region,sawp,sawh,sawm,cnsp,plpp,plph
2018,1,ga,1,22.41,44.16,33.28,16.11,9.09,10.82
2018,1,ga,2,27.96,44.13,32.52,20.81,9.09,10.82
2018,2,ga,1,21.99,45.75,31.91,15.71,9.1,9.51
2018,2,ga,2,28.28,42.85,29.39,20.23,13.88,8.6
2018,3,ga,1,21.74,46.12,35.15,15.28,8.41,7.8
2018,3,ga,2,27.19,43.88,30.87,20.5,13.24,8.58
2018,4,ga,1,23.81,44.24,34.9,15.59,9.61,9.23
2018,4,ga,2,27.16,44.17,33.05,20.58,14.15,9.92
2019,1,ga,1,24.18,47.08,35.17,17.51,10.27,10.92
2019,1,ga,2,28.07,47.35,34.18,21.85,14.4,11.13
2019,2,ga,1,22.85,47.24,36.6,15.76,9.4,9.26
2019,2,ga,2,27.53,45.08,33.82,20.81,14.98,10.75
2019,3,ga,1,21.5,49.06,34.12,16.1,8.97,8.79
2019,3,ga,2,25.61,47.43,32.31,19.67,13.72,10.42
2019,4,ga,1,22.07,43.75,33.62,15.41,9.16,8.53
2019,4,ga,2,25.25,40.86,32.15,19.3,12.74,9.71
2020,1,ga,1,21.8,42.54,31.92,15.45,8.66,8.75
2020,1,ga,2,47.17,42.36,32.63,20.51,13.16,8.39
2020,2,ga,1,20.25,40.96,31.14,15.88,6.97,7.6
2020,2,ga,2,26.95,39.92,32.38,20.46,13.24,8.77
2020,3,ga,1,20.51,40.11,30.58,15.5,6.77,7.48
2020,3,ga,2,27.62,43.7,34.13,21.18,13.41,9.09
2020,4,ga,1,22.6,46.19,31.87,15.97,9.42,7.82
2020,4,ga,2,27.16,40.93,32.51,21.27,13.8,10.55
2021,1,ga,1,23.41,41.01,32.64,17.79,9.41,9.26
2021,1,ga,2,30.45,43.55,30.74,22.91,13.56,10.4
2021,2,ga,1,25.19,44.28,30.68,17.86,9.62,8.29
2021,2,ga,2,28.96,44.13,31.97,22.34,15.13,9.45
2021,3,ga,1,22.63,41.46,27.07,18.24,8.89,8.06
2021,3,ga,2,30.09,43.87,29.46,24.48,15.74,9.67
2021,4,ga,1,22.15,41.97,29.5,19.96,9.87,9.12
2021,4,ga,2,31.21,41.56,30.05,27.84,16.19,14.15
2014,1,ga,1,26.37,44,32.35,16.35,9.95,8.92
2014,1,ga,2,31.01,45.68,28.65,21.03,14.51,11.59
2014,2,ga,1,24.82,41.53,30.5,15.65,9.28,8.29
2014,2,ga,2,30.12,43.57,28.72,20.72,14.85,11.56
2014,3,ga,1,26.73,41.83,33.69,16.81,10.02,9.2
2014,3,ga,2,29.67,44.2,31.92,20.7,14.16,11.96
2015,1,ga,1,28.46,42.3,32.43,18.07,9.6,9.53
2015,1,ga,2,30.39,46.89,32.27,21.21,14.27,10.46
2015,2,ga,1,25.4,38.27,30.86,16.47,9.26,8.59
2015,2,ga,2,28.55,41.34,32.38,21.42,14.78,9.56
2015,3,ga,1,25.16,39.74,32.68,17.03,9.5,9.19
2015,3,ga,2,28.72,41.38,34.11,21.29,13.31,10.47
2015,4,ga,1,25.67,40.3,31.49,17.42,10.71,9.05
2015,4,ga,2,28.34,41.39,31.91,20.99,15.7,11.05
2016,1,ga,1,26.65,42.95,37.02,19.25,10.86,9.94
2016,1,ga,2,28.99,44.97,31.88,21.39,16.38,10.95
2016,2,ga,1,24.32,45.55,37.76,17.88,10.59,9.32
2016,2,ga,2,26.62,42.64,35.73,20.86,14.34,11.17
2016,3,ga,1,22.22,41.94,31.12,15.56,8.98,8.54
2016,3,ga,2,28.52,45.39,32.75,21,15.22,10
2016,4,ga,1,22.97,44.52,32.53,15.87,9.4,8.69
2016,4,ga,2,26.97,47.44,33.08,20.68,13.42,8.36
2017,1,ga,1,21.48,44.21,32.95,16.15,8.87,8.35
2017,1,ga,2,25.99,46.2,30.8,21.1,14.23,8.63
2017,2,ga,1,20.41,45.89,30.21,14.68,8.79,7.85
2017,2,ga,2,26.68,41.22,32.06,20.34,13.5,8.07
2017,3,ga,1,22.59,42.77,33.14,15.8,9.42,8.27
2017,3,ga,2,27.22,37.45,33.07,20.78,14.4,8.93
2017,4,ga,1,22.42,44.09,32.17,15.36,9.29,8.71
2017,4,ga,2,27.36,43.02,33,21.12,14.5,8.37
