FOREST_TYPE_GROUP,STAND_AGE_5_YR_CLASSES_TO_200,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Total,Total,2302286442.485186,608931920392447.6,4562,24676545.957496718,1.0718277926729136
Total,0-5 years,19599218.929682173,4862696141469.273,366,2205152.181022723,11.25122480102059
Total,6-10 years,47959585.2718956,13132626443468.16,377,3623896.5828881157,7.556146622918621
Total,11-15 years,84838362.01981863,30181436990963.95,366,5493763.463324931,6.475565219000296
Total,16-20 years,116590106.86826369,50431988397769.56,396,7101548.309894791,6.09103851145698
Total,21-25 years,171168884.32935545,82396197910547.44,470,9077235.146813562,5.303087171700877
Total,26-30 years,188831770.82008243,105509476808066.02,460,10271780.605526289,5.439646390497057
Total,31-35 years,183937461.98556748,107087877639701.1,448,10348327.287040215,5.626003085685824
Total,36-40 years,135560710.76538974,84260759688104.05,313,9179365.974189287,6.7714059054143645
Total,41-45 years,109076653.15744527,72970604890644.34,249,8542283.3534509,7.831449816415483
Total,46-50 years,83434804.61538722,53022121669518.414,200,7281629.053276363,8.727327986015885
Total,51-55 years,103205274.30817263,76088922547764.88,214,8722896.454032049,8.451987083514103
Total,56-60 years,120885157.48966664,91278864702724.97,233,9553997.315402856,7.903366727399548
Total,61-65 years,142086002.75110513,112791427203301.5,258,10620330.842459735,7.474579224431824
Total,66-70 years,145442380.90352616,117165798131454.61,249,10824315.134522581,7.44233906738813
Total,71-75 years,131877438.82205862,105486042429412.34,232,10270639.825707663,7.788018873770949
Total,76-80 years,121691934.54682569,99800645227747.31,203,9990027.28863877,8.209276420693863
Total,81-85 years,126706101.39421734,128940160255439.08,189,11355182.088167459,8.961827381018047
Total,86-90 years,84032152.83272319,80112791163243.25,131,8950574.906856164,10.651369273703407
Total,91-95 years,60308560.340989314,63221343239232.92,88,7951185.021066541,13.184173152384867
Total,96-100 years,49855388.80992739,50685456237125.95,75,7119371.899060054,14.280044883818894
Total,100-105 years,28683662.62427345,25788573208605.58,42,5078245.091427311,17.704311886341408
Total,106-110 years,13166440.603886329,14691360239560.04,18,3832931.0246285466,29.11136836402986
Total,111-115 years,12208070.949939381,13692222537260.723,15,3700300.3306840817,30.310278715266275
Total,116-120 years,3372462.255159335,3173447971870.7666,5,1781417.4052901713,52.822456428233814
Total,121-125 years,7094888.8627742855,6261634577343.756,10,2502325.8335683937,35.269415518228705
Total,126-130 years,5541736.126021424,5691362240741.215,7,2385657.6118004057,43.04892108807677
Total,131-135 years,4733570.474166718,6925546829185.77,6,2631643.3704409436,55.59531404049095
Total,136-140 years,397659.6268654942,158505703463.2524,1,398127.7476680725,100.11771896641062
White / red / jack pine group,Total,12963586.554261472,7909337407503.276,33,2812354.4242330617,21.694261942568406
Longleaf / slash pine group,Total,258034756.5423909,128530906235672.31,707,11337147.182411999,4.393651202003668
Loblolly / shortleaf pine group,Total,675937206.9387372,322698339285330.56,1651,17963806.36962363,2.657614669708774
Other eastern softwoods group,Total,657403.8518986201,187624452252.1384,4,433156.3831367817,65.88893294217871
