year,quarter,sawal1,sawal2,sawar1,sawar2,sawfl1,sawfl2,sawga1,sawga2,sawla1,sawla2,sawms1,sawms2,sawnc1,sawnc2,sawsc1,sawsc2,sawtn1,sawtn2,sawtx1,sawtx2,sawva1,sawva2,plpal1,plpal2,plpar1,plpar2,plpfl1,plpfl2,plpga1,plpga2,plpla1,plpla2,plpms1,plpms2,plpnc1,plpnc2,plpsc1,plpsc2,plptn1,plptn2,plptx1,plptx2,plpva1,plpva2,preal1,preal2,prear1,prear2,prefl1,prefl2,prega1,prega2,prela1,prela2,prems1,prems2,prenc1,prenc2,presc1,presc2,pretn1,pretn2,pretx1,pretx2,preva1,preva2,,
2001,1,353.00,349.00,249.00,331.00,84.00,137.00,236.00,264.00,234.00,355.00,346.00,331.00,309.00,230.00,242.00,212.00,259.00,376.00,204.00,186.00,282.00,201.00,15.25,18.26,15.17,7.98,9.31,12.85,14.37,19.52,13.30,18.37,14.07,13.34,11.53,9.06,15.88,18.63,9.16,6.53,22.66,13.24,8.70,6.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
2001,2,272.00,376.00,408.00,263.00,95.00,130.00,212.00,254.00,318.00,359.00,338.00,268.00,277.00,238.00,241.00,249.00,245.00,350.00,169.00,206.00,302.00,269.00,17.72,24.51,20.10,10.47,14.08,15.15,15.53,21.94,15.70,16.24,18.71,13.67,11.96,6.68,16.53,19.31,8.77,8.48,20.00,13.41,7.93,6.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
2001,3,302.00,384.00,346.00,265.00,102.00,143.00,252.00,267.00,291.00,370.00,319.00,336.00,249.00,280.00,271.00,234.00,234.00,313.00,196.00,257.00,302.00,246.00,19.34,22.17,20.33,10.60,14.28,17.60,14.86,21.23,15.28,18.85,15.15,14.28,10.35,11.09,17.33,20.26,9.93,13.18,14.53,13.40,10.18,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
2001,4,300.00,357.00,339.00,257.00,100.00,143.00,217.00,239.00,278.00,359.00,321.00,341.00,304.00,313.00,254.00,233.00,226.00,357.00,189.00,252.00,354.00,270.00,16.97,23.88,17.73,10.03,10.95,15.25,15.11,22.92,16.99,16.17,16.92,12.82,11.72,8.66,19.08,19.71,9.73,12.73,20.82,11.40,10.37,9.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
2002,1,362.00,323.00,325.00,259.00,107.00,141.00,202.00,273.00,249.00,328.00,281.00,313.00,327.00,225.00,252.00,238.00,232.00,375.00,203.00,236.00,290.00,283.00,20.74,23.84,17.55,13.92,13.35,14.28,15.09,20.88,12.56,14.14,19.69,12.25,13.49,8.98,16.89,19.49,9.43,11.60,16.50,13.20,8.47,6.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
2002,2,366.00,291.00,269.00,254.00,109.00,147.00,150.00,175.00,269.00,299.00,329.00,288.00,249.00,157.00,314.00,255.00,212.00,381.00,168.00,223.00,186.00,247.00,17.91,19.68,18.18,11.96,10.47,15.96,14.36,21.26,13.24,13.92,9.96,12.41,14.07,5.95,15.56,18.01,11.53,10.80,19.14,12.70,9.40,6.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
2002,3,291.00,364.00,330.00,263.00,109.00,142.00,175.00,223.00,318.00,299.00,281.00,319.00,336.00,277.00,290.00,253.00,203.00,302.00,172.00,188.00,218.00,233.00,18.56,19.95,15.24,11.60,11.61,18.30,16.85,19.56,15.04,15.08,10.03,12.89,14.92,6.61,14.66,17.01,12.67,7.32,15.44,12.50,7.15,8.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
2002,4,284.00,337.00,329.00,263.00,110.00,149.00,241.00,302.00,275.00,287.00,282.00,323.00,284.00,317.00,299.00,286.00,221.00,277.00,169.00,189.00,282.00,257.00,21.24,24.26,14.49,11.47,11.53,19.04,18.60,22.10,21.59,18.63,17.98,14.67,12.67,9.24,16.99,18.13,14.50,10.63,15.95,12.99,11.60,9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
2003,1,370.00,387.00,331.00,267.00,149.00,158.00,328.00,313.00,249.00,284.00,301.00,303.00,268.00,261.00,273.00,271.00,326.00,358.00,225.00,184.00,263.00,245.00,26.11,34.19,14.96,11.60,15.14,18.60,19.87,28.83,18.72,18.85,25.59,19.07,18.95,21.65,19.39,21.78,19.50,20.24,15.95,15.27,15.53,11.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
2003,2,347.00,390.00,371.00,398.00,149.00,143.00,257.00,305.00,348.00,318.00,298.00,322.00,287.00,272.00,309.00,262.00,308.00,306.00,173.00,184.00,267.00,204.00,26.52,31.39,18.91,20.30,16.94,20.36,20.00,26.07,20.24,20.39,22.30,18.27,16.30,10.05,20.98,21.43,13.40,14.33,16.82,15.60,14.14,9.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
