year,quarter,sawal1,sawal2,sawar1,sawar2,sawfl1,sawfl2,sawga1,sawga2,sawla1,sawla2,sawms1,sawms2,sawnc1,sawnc2,sawsc1,sawsc2,sawtn1,sawtn2,sawtx1,sawtx2,sawva1,sawva2,plpal1,plpal2,plpar1,plpar2,plpfl1,plpfl2,plpga1,plpga2,plpla1,plpla2,plpms1,plpms2,plpnc1,plpnc2,plpsc1,plpsc2,plptn1,plptn2,plptx1,plptx2,plpva1,plpva2,preal1,preal2,prear1,prear2,prefl1,prefl2,prega1,prega2,prela1,prela2,prems1,prems2,prenc1,prenc2,presc1,presc2,pretn1,pretn2,pretx1,pretx2,preva1,preva2
2000,1,375,424,328,278,287,339,361,399,306,363,380,407,206,392,287,359,153,204,297,294,218,268,27,27,17,15,37,28,23,35,26,30,26,21,16,22,22,27,18,24,20,20,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,361,380,336,243,252,328,299,387,297,303,354,357,247,318,282,331,190,221,281,268,192,281,21,23,14,17,30,23,17,26,22,23,20,19,16,17,21,21,8,20,21,22,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,327,353,278,258,305,274,268,367,270,270,347,333,248,334,296,326,177,280,283,268,225,312,21,19,14,12,29,21,15,25,19,15,16,18,15,18,20,22,16,19,17,19,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,302,336,277,253,273,235,261,340,269,284,287,311,177,337,320,283,184,241,277,275,191,258,19,18,12,11,29,20,16,24,18,20,22,19,15,21,21,24,12,19,18,15,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,299,285,253,221,261,258,235,314,244,261,302,337,205,307,260,301,150,201,248,237,199,251,15,17,11,12,30,20,16,23,15,20,19,19,15,18,19,21,8,20,16,13,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,304,351,265,221,261,246,209,314,278,268,284,313,215,318,295,300,124,145,260,274,191,221,16,19,14,11,25,20,16,22,17,16,20,15,16,15,20,20,10,17,14,14,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,263,338,259,233,295,279,264,353,251,271,297,306,183,353,282,325,122,167,254,266,191,256,14,18,12,10,28,20,17,22,17,16,18,17,10,18,17,19,13,17,14,14,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,277,341,269,245,286,265,278,345,255,282,330,322,256,352,269,319,132,204,260,242,175,228,13,18,13,11,23,12,16,22,18,17,19,19,12,18,18,18,10,20,15,11,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,311,353,285,227,287,272,244,345,293,283,334,337,219,311,263,311,139,218,261,265,191,240,14,19,14,13,24,19,14,19,17,21,18,21,12,16,15,18,14,17,14,15,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2,302,347,289,230,279,232,228,335,272,276,311,360,230,314,295,313,139,249,279,305,186,247,14,15,13,13,21,18,12,19,14,18,13,17,12,15,15,16,13,19,15,11,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
