year,species,AL1 Sawtimber,AL2 Sawtimber,AR2 Sawtimber,AR2 Sawtimber,FL2 Sawtimber,FL2 Sawtimber,GA1 Sawtimber,GA2 Sawtimber,LA1 Sawtimber,LA2 Sawtimber,MS1 Sawtimber,MS2 Sawtimber,NC1 Sawtimber,NC2 Sawtimber,SC1 Sawtimber,SC2 Sawtimber,TN1 Sawtimber,TN2 Sawtimber,TX1 Sawtimber,TX2 Sawtimber,VA1 Sawtimber,VA2 Sawtimber,AL1 Pulpwood,AL2 Pulpwood,AR1 Pulpwood,AR2 Pulpwood,FL1 Pulpwood,FL2 Pulpwood,GA1 Pulpwood,GA2 Pulpwood,LA1 Pulpwood,LA2 Pulpwood,MS1 Pulpwood,MS2 Pulpwood,NC1 Pulpwood,NC2 Pulpwood,SC1 Pulpwood,SC2 Pulpwood,TN1 Pulpwood,TN2 Pulpwood,TX1 Pulpwood,TX2 Pulpwood,VA1 Pulpwood,VA2 Pulpwood
1977,Oak,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.120415648,3.950721154,2.5,na,3.1875,3.0975,2.875,3.013648469,3.375,3.125,4.843181818,4.75,3.051264045,3,3.184593023,4,1.815642458,1.834170854,2.25,2.375,2.933262712,3.790322581
1978,Oak,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.867359413,4.025841346,3.1875,na,3.3125,3.271590909,2.563235294,3.152296937,3.875,3.75,5.327840909,5,3.20505618,3,3.348837209,4.5,2,1.944723618,2.625,2.625,3.052966102,3.637096774
1979,Oak,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.740831296,3.875600962,3.625,na,4,3.836363636,2.918627451,3.75,3.825,3.9375,5.065056818,5,3.028792135,2.939440994,3.645348837,4.283629442,2,2,3,3,3.058262712,3.813172043
1980,Oak,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.371943765,3.399639423,4,na,4.3375,4.6075,4.209313725,4.644806924,3.733333333,4.025,4.817613636,4.8125,3.28511236,3.197204969,4.308139535,4.817258883,2,2,3.5,3.625,3.281779661,3.744623656
1981,Oak,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4.990831296,5.299278846,4,na,5,5,5.042156863,5.091544607,4.25,4.5,5.593181818,5.75,3.967696629,3.507763975,4.860465116,4.931472081,2.315642458,2.389447236,4,4.5,3.408665254,3.616935484
1982,Oak,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4.680623472,5.099759615,5.4375,na,4.4375,4.396590909,4.644607843,4.204227696,4.625,5,5.011079545,5.25,5.230337079,3.871118012,4.796511628,5.156091371,2.446927374,3.055276382,4.625,4.5,3.042372881,3.744623656
1983,Oak,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5.958435208,7.263221154,6.0625,na,5.6875,5.401136364,4.542156863,4.868841545,4.875,5,5.983806818,6.125,5.230337079,3.742236025,4.709302326,4.74143401,2.631284916,3.055276382,5.0625,2.75,3.542372881,3.989247312
1984,Oak,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5.54492665,7.300480769,6,na,6.5,6.172727273,4.478921569,4.474034621,5,5,6.240340909,7.125,5.230337079,3.742236025,4.709302326,3.908629442,2.631284916,3.055276382,4.5,2.25,3.781779661,4.295698925
1985,Oak,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4.834199267,6.000600962,4.6875,na,4.5,4.663636364,4.166421569,4.319990013,4.375,4.0625,5.424431818,6.75,4.855337079,3.625,4.709302326,3.908629442,2.631284916,3.055276382,3.5,3.875,4.007944915,4.110887097
1986,Oak,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.688264059,5.540564904,3.375,na,4,3.918181818,3.188235294,3.757490013,3.625,3.5,3.874147727,5,4.696629213,3.151397516,3.802325581,3.52284264,2.881284916,3.25,2.75,3.4375,4.021186441,4.5
