year,species,AL1 Sawtimber,AL2 Sawtimber,AR1 Sawtimber,AR2 Sawtimber,FL1 Sawtimber,FL2 Sawtimber,GA1 Sawtimber,GA2 Sawtimber,LA1 Sawtimber,LA2 Sawtimber,MS1 Sawtimber,MS2 Sawtimber,NC1 Sawtimber,NC2 Sawtimber,SC1 Sawtimber,SC2 Sawtimber,TN1 Sawtimber,TN2 Sawtimber,TX1 Sawtimber,TX2 Sawtimber,VA1 Sawtimber,VA2 Sawtimber,AL1 Pulpwood,AL2 Pulpwood,AR1 Pulpwood,AR2 Pulpwood,FL1 Pulpwood,FL2 Pulpwood,GA1 Pulpwood,GA2 Pulpwood,LA1 Pulpwood,LA2 Pulpwood,MS1 Pulpwood,MS2 Pulpwood,NC1 Pulpwood,NC2 Pulpwood,SC1 Pulpwood,SC2 Pulpwood,TN1 Pulpwood,TN2 Pulpwood,TX1 Pulpwood,TX2 Pulpwood,VA1 Pulpwood,VA2 Pulpwood
1977,pine,84.06029831,109.9796917,119.5,na,116.25,95.11146331,66.73400081,104.8685116,119,121.5,101.3048031,116.25,65.43923664,108.0237001,73.75,117.9834,45.86826347,41.6255144,95,102.5,46.08333333,70.6637931,8.469749352,12.18266085,6.625,na,19.95,16.4059047,8.610789902,14.21437605,7,7.655,7.547794118,8.5625,5.996443089,7.557783019,7.5875,13.45089286,5.642857143,5.550925926,6.375,6.25,5.678191489,7.090544872
1978,pine,112.6601788,135.0462436,148.75,na,131.25,123.9071399,88.01444324,115.1406389,144.75,146.75,137.7665457,159.75,79.63091603,112.3563165,87.5,128.88316,59.10928144,51.25,140.75,144.75,70.975,85.46916446,9.094749352,13.78912214,8.5875,na,19.5,17.16125691,9.216001629,15.32504216,7.875,9.1875,9.577205882,10.8125,5.994918699,8.058962264,9.45,14.57372449,6.058035714,6,7.7,7.8,6.186170213,7
1979,pine,143.4841787,167.2988177,185.5,na,162.5,149.1493453,110.2291977,146.8906389,175.5,180,172.8887182,191.25,101.4091603,145.4734142,109.25,160.57368,61.03443114,65.75,178.75,188.25,81.75666667,93.64986737,9.636452031,15.10455289,9.625,na,22.875,19.18698204,11.24837134,18.11340641,8.625,9.375,9.514705882,10.75,6.528455285,7.860849057,9.79375,13.14477041,5.883928571,6,8.875,9.5,6.436170213,7.215544872
1980,pine,108.301164,128.5950614,168,na,120,112.2121181,93.06413205,123.5835261,167.75,158.5,143.7063669,153.5,88.57137405,120.9137899,87,131.1244,58.34730539,59.53600823,183,174,62.15666667,79.04343501,11.0644987,16.46196838,10.875,na,27,22.68232044,12.97394137,21.33357926,10.4375,8.65,10.05882353,12,6.899898374,8.090801887,11.5125,13.32793367,5.511904762,5.709876543,9,9.5,7.507978723,9.068910256
1981,pine,130.6266862,156.3509728,181.25,na,151.75,144.184629,121.1394602,156.544833,194.25,172.25,169.2229824,184.5,97.79068702,156.485625,107.25,149.11776,67.40269461,64.95198903,192.75,196.75,68.21111111,79.83057029,13.58340536,18.40239913,11.625,na,27.75,23.25241713,13.10504886,22.84338111,11.5625,9.3125,10.77205882,12.625,6.774390244,8.79009434,11.175,13.04770408,5.616071429,5.37037037,10.6875,10.25,7.587765957,9.262820513
1982,pine,123.657134,149.2903322,155.75,na,149.5,134.369258,107.8253619,153.3052589,150.75,151.25,131.2499302,143.75,82.21656489,138.6285871,88,147.66728,56.86526946,na,161.5,161.25,60.52333333,84.18070292,12.99254538,18.84282988,16,na,30.5,25.28280387,13.1995114,24.24683811,16.25,14,11.44852941,13.125,6.866869919,8.995283019,11.28125,14.99808673,4.571428571,5.37037037,14.1875,14.25,8.85106383,10.52604167
1983,pine,164.4056117,184.802155,165,na,180,171.9896072,120.7997226,173.9538916,159,157.75,145.9135716,159.5,96.64305344,160.1882114,119.75,173.59904,83.88922156,83.19547325,161,169,69.975,114.3312334,15.50388937,18.44874591,16.875,na,30.375,26.05732044,13.81881107,24.54510961,17.6875,15.1875,12.66176471,14.25,7.427845528,9.879716981,11.875,16.45714286,7.464285714,7,14.4375,15.125,7.950797872,10.52363782
1984,pine,143.6388653,171.6043101,160.25,na,169.5,166.1623363,111.2564606,165.0024322,156,150.75,146.5706507,158.5,99.4659542,158.0244215,103.25,166.7962,78.07185629,82.89437586,155,154.25,67.905,126.9937003,15.07206137,18.18361505,19,na,31.875,29.80611188,13.6767101,23.14165261,18.375,16.5,13.18382353,15.125,7.865853659,10.43396226,11.6125,17.03469388,8.0625,7.12037037,17.875,16.75,8.067819149,11.13581731
1985,pine,125.2783281,151.2659234,128.5,na,160.5,145.146747,100.173116,146.9090586,112.5,114.25,114.3394303,125.75,84.08534351,131.372121,107.5,153.5616,64.77095808,76.25925926,113,108,68.71333333,102.8652232,16.10242005,19.58887677,14,na,27.5,25.97082182,13.15309446,21.42580101,15.25,14.1875,12.24264706,14.625,8.052845528,10.50471698,11.6875,15.62091837,10.08928571,7.87037037,16.125,15.375,9.14893617,11.36217949
1986,pine,125.2950744,153.180874,131,na,153.25,137.6742361,119.0465093,157.3519458,98.25,101.25,106.2323373,117.75,101.099313,149.1099102,113,153.65852,70.85628743,79.4218107,106.5,110.5,78.35833333,113.0749337,15.57211538,19.6806843,12.375,na,25.75,23.95096685,12.1767101,20.83631956,12.625,12,10.00735294,11.375,7.336890244,9.218160377,10.51875,14.79336735,9.669642857,8.75462963,10.75,10.5,9.752659574,11.90745192
1987,pine,118.0313729,142.5554924,118,na,150.5,142.4896072,130.4295089,159.2260189,110.25,105.75,111.7509076,123.75,95.34992366,131.3793085,103.5,142.27084,59.64520958,71.85185185,105.5,105.5,71.68333333,122.9887268,14.25805964,17.51583969,12.625,na,23,21.63993094,12.8786645,21.39919899,12.395,10.75,9.257352941,10.625,9.938719512,11.14504717,11.6825,16.19581633,9.75,8.837962963,14.375,11.4125,8.606382979,11.60336538
1988,pine,135.0374624,159.5159234,127.5,na,159.75,158.1924236,133.5336896,172.9373257,129.75,128,131.1579168,144.25,92.81984733,142.6889328,136.5,168.12772,60.14071856,64.49588477,138.25,131.75,69.30666667,139.2758621,14.55414218,16.31495365,13.375,na,25.0825,22.53506906,13.00936482,21.77576307,15.2175,15.105,10.19485294,13.0625,9.914898374,12.28495283,11.57675,15.74136224,7.764107143,11.15314815,13.4575,13.35,8.103723404,12.79727564
1989,pine,140.6976413,176.5858126,127.75,na,145,151.6753274,126.8542146,176.0429792,131.5,134,153.2708741,180.25,99.25969466,159.2650831,95.25,160.7038,69.83832335,65.93141289,130,126.75,59.85,134.6637931,15.19673509,17.43759269,13.4725,na,33.7075,30.97476865,16.58380293,28.4211425,16.7925,14.5,11.18529412,11.75,11.12833333,11.79113208,13.07975,16.59643367,8.683035714,12.00231481,14.25,15,9.968085106,12.84455128
1990,pine,140.9308949,173.960431,140.75,na,161.25,158.1348472,161.2756731,192.0712464,141.5,149.25,149.4343759,172.5,103.2010687,168.8405119,141.5,167.73792,70.47754491,64.34979424,127.5,127.25,62.56833333,139.1392573,19.9056828,24.82320065,15,na,34.625,32.32223757,21.69258958,31.7811973,17,15.125,12.5,14,12.7050813,13.22169811,12.62,16.44846939,9.071428571,na,14.25,14.5,10.83758865,13.71730769
1991,pine,148.2311339,170.6279557,143,na,161.75,150.4019435,132.5833784,182.0878122,152.25,143.75,151.089919,174.75,100.3061832,156.0201063,98.75,182.57488,72.02844311,65.18518519,133.75,142.75,80.46,125.352122,20.47219101,24.39315703,18.875,na,34,34.80956492,18.78868078,28.33220911,20.125,20,14.08823529,15.5,15.30894309,16.28773585,15.3,19.16403061,10.10357143,9.641975309,17.25,18,9.364361702,11.8661859
1992,pine,182,194.25,185.5,164.25,170,181.75,203,215.75,192.25,177.75,170.75,199.75,94.5,193.25,176.25,207.75,91.75,73,168,172.25,121.75,146.75,20.855,24.975,17.985,17.03,36.6375,35.0625,28.81,35.1475,22.9375,22.22,17.815,18.285,15.535,15.875,20.1075,22.94,11.8175,12.545,21.4625,20.55,12.1875,14.775
1993,pine,211.25,267.5,237.25,213.25,189,199.25,219.75,265,207.75,202,220.75,245.75,108.25,186.5,179.75,216,115.25,139,189.5,219.25,128.75,184.5,25.9375,29.1825,20.9925,19.8225,47.58,41.5475,28.6775,38.8025,23.345,22.0475,24.07,23.7625,18.0325,17.21,21.72,27.0475,13.0825,11.99,22.1125,21.95,13.2725,13.95
1994,pine,228,360.25,314.25,286,237.25,233.75,258.25,296.5,239.25,275.75,284.5,342.25,133.75,222,238.25,274.25,144.75,177.75,275,277.5,143.75,206.75,26.1125,31.72,23.3575,22.2175,35.5575,34.7375,25.0275,32.9125,22.51,22.61,26.44,25.06,16.9275,15.6525,19.22,22.705,15.035,15.4275,20.3825,18.6125,11.7025,13.595
1995,pine,269,316.5,286.75,295.75,272,281,311.5,342.5,296.75,296.75,302.5,349.75,110,230.75,233.5,319,153,185.75,310,318.5,158.25,219.25,28.6425,32.4975,17.6,17.695,39.6675,37.83,31.1025,40.7125,24.8375,24.8775,30.34,29.385,16.9175,15.03,20.25,26.4,13.14,15.895,20.88,21.2,12.235,13.64
1996,pine,249.75,268.5,267.25,193,241.25,239,277.25,317,262,245.75,268.25,273,98,262,256.5,302.25,138,149.5,263.5,269.25,142.5,223,24.7975,29.1375,18.655,14.5425,41.235,34.305,27.335,35.23,22.895,20.0625,28.995,24.3025,13.975,13.51,21.3625,25.695,23.1775,27.42,20.5625,22.105,15.3275,15.645
1997,pine,346,389.5,327.5,206.25,285.25,314.5,320.25,355.25,326,349,345,346.25,145.75,267.25,300.75,332.75,83,203.75,349.25,353.25,146,251,31.7875,33.0125,20.5175,13.2275,44.165,35.675,30.4375,42.7375,29.68,29.605,35.38,30.3075,14.42,14.42,24.4725,29.495,12.51,31.3125,27.5375,23.235,20.1625,18.0325
1998,pine,359,393.75,339.5,259.75,302.25,318.25,344,380.75,315.5,335.25,347.25,369.5,164.75,308.5,316.75,327,151.75,215.25,314.25,312.25,220.75,282,31.3275,34.3975,17.62,14.825,46.375,37.3175,31.1375,42.215,28.4475,27.8175,37.945,33.175,15.625,18.42,23.6075,30.545,21.005,28.6875,31.2775,30.0025,24.1125,22.1825
1999,pine,342.25,366.25,306.25,238.75,290.75,312.5,328.75,368,288.5,304,354.5,369.5,193.75,329,310,324.25,179.25,197.25,279,283.75,192.25,228,25.0325,27.9025,18.21,13.92,37.6825,27.9325,22.625,31.6025,27.98,27.95,25.8125,23.21,14.955,18.08,21.32,23.7275,18.87,27.065,30.24,27.3175,21.5225,21.685
2000,pine,341.25,373.25,304.75,258,279.25,294,297.25,373.25,285.5,305,342,352,219.5,345.25,296.25,324.75,176,236.5,284.5,276.25,206.5,279.75,22.0525,21.8775,14.3725,13.735,31.325,22.7875,17.975,27.47,21.22,22.0675,20.955,19.3475,15.44,19.5625,21.0375,23.47,13.3775,20.6175,19.1775,18.7925,26.9375,30.005
