fips,statecd,priceRegion,unitcd
01001,01,01,03
01003,01,02,01
01005,01,02,03
01007,01,01,04
01009,01,01,05
01011,01,02,03
01013,01,02,03
01015,01,01,05
01017,01,03,03
01019,01,01,05
01021,01,01,03
01023,01,02,02
01025,01,02,02
01027,01,01,05
01029,01,01,05
01031,01,02,03
01033,01,01,06
01035,01,02,02
01037,01,01,05
01039,01,02,01
01041,01,02,03
01043,01,01,05
01045,01,02,03
01047,01,03,03
01049,01,01,06
01051,01,03,03
01053,01,02,01
01055,01,01,05
01057,01,01,04
01059,01,01,06
01061,01,02,03
01063,01,01,04
01065,01,01,04
01067,01,02,03
01069,01,02,03
01071,01,01,06
01073,01,01,05
01075,01,01,04
01077,01,01,06
01079,01,01,06
01081,01,02,03
01083,01,01,06
01085,01,02,03
01087,01,02,03
01089,01,01,06
01091,01,02,02
01093,01,01,04
01095,01,01,06
01097,01,02,01
01099,01,02,02
01101,01,02,03
01103,01,01,06
01105,01,01,04
01107,01,01,04
01109,01,02,03
01111,01,01,05
01113,01,02,03
01115,01,01,05
01117,01,01,05
01119,01,01,02
01121,01,01,05
01123,01,01,03
01125,01,01,04
01127,01,01,05
01129,01,02,01
01131,01,02,02
01133,01,01,05
05001,05,01,01
05003,05,01,03
05005,05,02,05
05007,05,02,05
05009,05,02,05
05011,05,01,03
05013,05,01,03
05015,05,02,05
05017,05,01,01
05019,05,01,03
05021,05,02,02
05023,05,02,05
05025,05,01,03
05027,05,01,03
05029,05,02,05
05031,05,02,02
05033,05,02,05
05035,05,02,02
05037,05,02,02
05039,05,01,03
05041,05,01,01
05043,05,01,03
05045,05,03,05
05047,05,02,05
05049,05,02,05
05051,05,01,04
05053,05,01,03
05055,05,02,02
05057,05,01,03
05059,05,01,03
05061,05,01,03
05063,05,02,05
05065,05,02,05
05067,05,02,02
05069,05,01,01
05071,05,02,05
05073,05,01,03
05075,05,02,02
05077,05,02,01
05079,05,01,01
05081,05,01,03
05083,05,01,04
05085,05,01,01
05087,05,02,05
05089,05,02,05
05091,05,01,03
05093,05,02,02
05095,05,01,01
05097,05,01,04
05099,05,01,03
05101,05,02,05
05103,05,01,03
05105,05,01,04
05107,05,01,01
05109,05,01,03
05111,05,02,02
05113,05,01,04
05115,05,02,05
05117,05,01,01
05119,05,01,04
05121,05,02,05
05123,05,02,02
05125,05,01,04
05127,05,01,04
05129,05,02,05
05131,05,01,04
05133,05,01,03
05135,05,02,05
05137,05,02,05
05139,05,01,03
05141,05,02,05
05143,05,02,05
05145,05,02,05
05147,05,02,02
05149,05,01,04
12001,12,01,01
12003,12,01,01
12005,12,02,02
12007,12,01,01
12009,12,03,03
12011,12,03,04
12013,12,02,02
12015,12,03,04
12017,12,01,03
12019,12,01,01
12021,12,03,04
12023,12,01,01
12025,12,03,04
12027,12,03,03
12029,12,01,01
12031,12,01,01
12033,12,02,02
12035,12,01,01
12037,12,02,02
12039,12,02,02
12041,12,01,01
12043,12,03,04
12045,12,02,02
12047,12,01,01
12049,12,03,03
12051,12,03,04
12053,12,01,03
12055,12,03,03
12057,12,03,03
12059,12,02,02
12061,12,03,03
12063,12,02,02
12065,12,02,02
12067,12,01,01
12069,12,01,03
12071,12,03,04
12073,12,02,02
12075,12,01,01
12077,12,02,02
12079,12,02,01
12081,12,03,03
12083,12,01,01
12085,12,03,04
12087,12,03,04
12089,12,01,01
12091,12,02,02
12093,12,03,03
12095,12,01,03
12097,12,03,03
