"county_fips","state_abbr","state_fips","state_name","county_name","region","region_name","subregion","subregion_name","mer100"
1001,"AL",1,"Alabama","Autauga","SO","South","SC","South Central","east"
1003,"AL",1,"Alabama","Baldwin","SO","South","SC","South Central","east"
1005,"AL",1,"Alabama","Barbour","SO","South","SC","South Central","east"
1007,"AL",1,"Alabama","Bibb","SO","South","SC","South Central","east"
1009,"AL",1,"Alabama","Blount","SO","South","SC","South Central","east"
1011,"AL",1,"Alabama","Bullock","SO","South","SC","South Central","east"
1013,"AL",1,"Alabama","Butler","SO","South","SC","South Central","east"
1015,"AL",1,"Alabama","Calhoun","SO","South","SC","South Central","east"
1017,"AL",1,"Alabama","Chambers","SO","South","SC","South Central","east"
1019,"AL",1,"Alabama","Cherokee","SO","South","SC","South Central","east"
1021,"AL",1,"Alabama","Chilton","SO","South","SC","South Central","east"
1023,"AL",1,"Alabama","Choctaw","SO","South","SC","South Central","east"
1025,"AL",1,"Alabama","Clarke","SO","South","SC","South Central","east"
1027,"AL",1,"Alabama","Clay","SO","South","SC","South Central","east"
1029,"AL",1,"Alabama","Cleburne","SO","South","SC","South Central","east"
1031,"AL",1,"Alabama","Coffee","SO","South","SC","South Central","east"
1033,"AL",1,"Alabama","Colbert","SO","South","SC","South Central","east"
1035,"AL",1,"Alabama","Conecuh","SO","South","SC","South Central","east"
1037,"AL",1,"Alabama","Coosa","SO","South","SC","South Central","east"
1039,"AL",1,"Alabama","Covington","SO","South","SC","South Central","east"
1041,"AL",1,"Alabama","Crenshaw","SO","South","SC","South Central","east"
1043,"AL",1,"Alabama","Cullman","SO","South","SC","South Central","east"
1045,"AL",1,"Alabama","Dale","SO","South","SC","South Central","east"
1047,"AL",1,"Alabama","Dallas","SO","South","SC","South Central","east"
1049,"AL",1,"Alabama","DeKalb","SO","South","SC","South Central","east"
1051,"AL",1,"Alabama","Elmore","SO","South","SC","South Central","east"
1053,"AL",1,"Alabama","Escambia","SO","South","SC","South Central","east"
1055,"AL",1,"Alabama","Etowah","SO","South","SC","South Central","east"
1057,"AL",1,"Alabama","Fayette","SO","South","SC","South Central","east"
1059,"AL",1,"Alabama","Franklin","SO","South","SC","South Central","east"
1061,"AL",1,"Alabama","Geneva","SO","South","SC","South Central","east"
1063,"AL",1,"Alabama","Greene","SO","South","SC","South Central","east"
1065,"AL",1,"Alabama","Hale","SO","South","SC","South Central","east"
1067,"AL",1,"Alabama","Henry","SO","South","SC","South Central","east"
1069,"AL",1,"Alabama","Houston","SO","South","SC","South Central","east"
1071,"AL",1,"Alabama","Jackson","SO","South","SC","South Central","east"
1073,"AL",1,"Alabama","Jefferson","SO","South","SC","South Central","east"
1075,"AL",1,"Alabama","Lamar","SO","South","SC","South Central","east"
1077,"AL",1,"Alabama","Lauderdale","SO","South","SC","South Central","east"
1079,"AL",1,"Alabama","Lawrence","SO","South","SC","South Central","east"
1081,"AL",1,"Alabama","Lee","SO","South","SC","South Central","east"
1083,"AL",1,"Alabama","Limestone","SO","South","SC","South Central","east"
1085,"AL",1,"Alabama","Lowndes","SO","South","SC","South Central","east"
1087,"AL",1,"Alabama","Macon","SO","South","SC","South Central","east"
1089,"AL",1,"Alabama","Madison","SO","South","SC","South Central","east"
1091,"AL",1,"Alabama","Marengo","SO","South","SC","South Central","east"
1093,"AL",1,"Alabama","Marion","SO","South","SC","South Central","east"
1095,"AL",1,"Alabama","Marshall","SO","South","SC","South Central","east"
1097,"AL",1,"Alabama","Mobile","SO","South","SC","South Central","east"
1099,"AL",1,"Alabama","Monroe","SO","South","SC","South Central","east"
1101,"AL",1,"Alabama","Montgomery","SO","South","SC","South Central","east"
1103,"AL",1,"Alabama","Morgan","SO","South","SC","South Central","east"
1105,"AL",1,"Alabama","Perry","SO","South","SC","South Central","east"
1107,"AL",1,"Alabama","Pickens","SO","South","SC","South Central","east"
1109,"AL",1,"Alabama","Pike","SO","South","SC","South Central","east"
1111,"AL",1,"Alabama","Randolph","SO","South","SC","South Central","east"
1113,"AL",1,"Alabama","Russell","SO","South","SC","South Central","east"
1115,"AL",1,"Alabama","St. Clair","SO","South","SC","South Central","east"
1117,"AL",1,"Alabama","Shelby","SO","South","SC","South Central","east"
1119,"AL",1,"Alabama","Sumter","SO","South","SC","South Central","east"
1121,"AL",1,"Alabama","Talladega","SO","South","SC","South Central","east"
1123,"AL",1,"Alabama","Tallapoosa","SO","South","SC","South Central","east"
1125,"AL",1,"Alabama","Tuscaloosa","SO","South","SC","South Central","east"
1127,"AL",1,"Alabama","Walker","SO","South","SC","South Central","east"
1129,"AL",1,"Alabama","Washington","SO","South","SC","South Central","east"
1131,"AL",1,"Alabama","Wilcox","SO","South","SC","South Central","east"
1133,"AL",1,"Alabama","Winston","SO","South","SC","South Central","east"
4001,"AZ",4,"Arizona","Apache","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4003,"AZ",4,"Arizona","Cochise","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4005,"AZ",4,"Arizona","Coconino","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4007,"AZ",4,"Arizona","Gila","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4009,"AZ",4,"Arizona","Graham","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4011,"AZ",4,"Arizona","Greenlee","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4012,"AZ",4,"Arizona","La Paz","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4013,"AZ",4,"Arizona","Maricopa","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4015,"AZ",4,"Arizona","Mohave","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4017,"AZ",4,"Arizona","Navajo","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4019,"AZ",4,"Arizona","Pima","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4021,"AZ",4,"Arizona","Pinal","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4023,"AZ",4,"Arizona","Santa Cruz","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4025,"AZ",4,"Arizona","Yavapai","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
4027,"AZ",4,"Arizona","Yuma","RM","Rocky Mountain","RMS","Rocky Mountain South","west"
5001,"AR",5,"Arkansas","Arkansas","SO","South","SC","South Central","east"
5003,"AR",5,"Arkansas","Ashley","SO","South","SC","South Central","east"
5005,"AR",5,"Arkansas","Baxter","SO","South","SC","South Central","east"
5007,"AR",5,"Arkansas","Benton","SO","South","SC","South Central","east"
5009,"AR",5,"Arkansas","Boone","SO","South","SC","South Central","east"
5011,"AR",5,"Arkansas","Bradley","SO","South","SC","South Central","east"
5013,"AR",5,"Arkansas","Calhoun","SO","South","SC","South Central","east"
5015,"AR",5,"Arkansas","Carroll","SO","South","SC","South Central","east"
5017,"AR",5,"Arkansas","Chicot","SO","South","SC","South Central","east"
5019,"AR",5,"Arkansas","Clark","SO","South","SC","South Central","east"
5021,"AR",5,"Arkansas","Clay","SO","South","SC","South Central","east"
5023,"AR",5,"Arkansas","Cleburne","SO","South","SC","South Central","east"
5025,"AR",5,"Arkansas","Cleveland","SO","South","SC","South Central","east"
5027,"AR",5,"Arkansas","Columbia","SO","South","SC","South Central","east"
5029,"AR",5,"Arkansas","Conway","SO","South","SC","South Central","east"
5031,"AR",5,"Arkansas","Craighead","SO","South","SC","South Central","east"
5033,"AR",5,"Arkansas","Crawford","SO","South","SC","South Central","east"
5035,"AR",5,"Arkansas","Crittenden","SO","South","SC","South Central","east"
5037,"AR",5,"Arkansas","Cross","SO","South","SC","South Central","east"
5039,"AR",5,"Arkansas","Dallas","SO","South","SC","South Central","east"
5041,"AR",5,"Arkansas","Desha","SO","South","SC","South Central","east"
5043,"AR",5,"Arkansas","Drew","SO","South","SC","South Central","east"
5045,"AR",5,"Arkansas","Faulkner","SO","South","SC","South Central","east"
5047,"AR",5,"Arkansas","Franklin","SO","South","SC","South Central","east"
5049,"AR",5,"Arkansas","Fulton","SO","South","SC","South Central","east"
5051,"AR",5,"Arkansas","Garland","SO","South","SC","South Central","east"
5053,"AR",5,"Arkansas","Grant","SO","South","SC","South Central","east"
5055,"AR",5,"Arkansas","Greene","SO","South","SC","South Central","east"
5057,"AR",5,"Arkansas","Hempstead","SO","South","SC","South Central","east"
