statecd,fortypcd,spgrpcd,trtcd1,trtcd2,trtcd3,harvest_type1_srs,harvest_type2_srs,harvest_type3_srs,totvol,vol20,vol40,vol60,vol80,vol100,vol100plus
1,105,2,0,0,0,,,,1374900.8712825016763747291270248181537547,0,0,1127704.3927771160510801800137448181537547,247196.47850538562529454911328,0,0
1,105,3,0,0,0,,,,7241526.13849362477339374882744371794703788,0,2346885.84752833602768494593328371794703788,4894640.29096528874570880289416,0,0,0
1,105,7,0,0,0,,,,17720420.87801358351406401939115205635837172,0,7428701.54670139133551337497037288259617538,5943994.85319965336001454329985917376219634,4347724.47811253881853610112092,0,0
1,105,25,0,0,0,,,,4744841.92763251476685374629950002543144422,0,514697.38129526009302135566327826082791098,4230144.54633725467383239063622176460353324,0,0,0
1,105,26,0,0,0,,,,,,,,,,
1,105,27,0,0,0,,,,2883791.11203115294144489883410001766911014,0,0,1638480.36469527960472277006314001766911014,1245310.74733587333672212877096,0,0
1,105,28,0,0,0,,,,,,,,,,
1,105,29,0,0,0,,,,1897353.1515111567074001602822789653592473,0,0,1897353.1515111567074001602822789653592473,0,0,0
1,105,32,0,0,0,,,,1525585.82422110169765336883940891123923382,0,1525585.82422110169765336883940891123923382,0,0,0,0
1,105,33,0,0,0,,,,239375.51030573614836894946708658421599844,0,0,239375.51030573614836894946708658421599844,0,0,0
1,105,35,0,0,0,,,,,,,,,,
1,105,36,0,0,0,,,,,,,,,,
1,105,39,0,0,0,,,,4970629.43242859564795461057464075799055156,0,140772.90995723398231116213232075799055156,3167683.8319614607945757754416,1662172.69050990087106767300072,0,0
1,105,41,0,0,0,,,,180725.4104777077248245656032,0,0,180725.4104777077248245656032,0,0,0
1,105,42,0,0,0,,,,,,,,,,
1,105,43,0,0,0,,,,1753354.85231082922088370205365615525465902,0,763153.47667930314169188434436507930195864,935855.36853859746939684296595107595270038,54346.00709292860979497474334,0,0
1,141,1,20,30,40,,,,,,,,,,
1,141,1,30,0,0,,,,,,,,,,
1,141,1,0,0,0,,,,791436343.2864530489045462993180336115183750144,121447176.2112646686547600218181725024354736748,192329146.0304439938502165911286080228847082896,147202330.975274662331837006148120665762380146,220907796.571889292782361968574863563271939768,103395252.3034233516181617649073399284189830644,6154641.1941570796672089467409289287448900716
1,141,1,20,30,0,,,,4069314.3013929950657150168687,4069314.3013929950657150168687,0,0,0,0,0
1,141,1,10,0,0,12,,,19741198.05544693974671846938094,0,0,0,0,19741198.05544693974671846938094,0
1,141,1,10,20,30,11,,,641172.36401624418500535380172,641172.36401624418500535380172,0,0,0,0,0
1,141,1,10,30,40,11,,,,,,,,,
1,141,1,50,0,0,,,,22075172.7718591762826938504961847631872747008,10567259.50311762508378803668312,11507913.2687415511989058138130647631872747008,0,0,0,0
1,141,1,10,0,0,14,,,55385307.3367941351366161581903365054663960752,797280.513275136370401330138,0,25467399.1136469328904595822282565054663960752,16140455.88362676083629127663264,12980171.82624530503946396919144,0
1,141,1,10,30,20,11,,,2049284.6914427987541215199216,2049284.6914427987541215199216,0,0,0,0,0
1,141,1,10,30,0,11,,,9509724.0375685710874616961422287273306955448,9509724.0375685710874616961422287273306955448,0,0,0,0,0
1,141,1,10,50,0,12,,,16035907.4378918281759427821151666256510829668,0,0,16035907.4378918281759427821151666256510829668,0,0,0
1,141,1,40,0,0,,,,16757870.4934777414803564744000258509540181484,2871745.7720379816654317624104,7613004.2254408415060936734616252699872641084,0,0,6273120.49599891830883103852800058096675404,0
1,141,2,50,0,0,,,,,,,,,,
1,141,2,40,0,0,,,,11690348.1786455370997310402562824474922474,1618924.82797721509048967497536,0,0,0,10071423.3506683220092413652809224474922474,0
1,141,2,20,30,0,,,,1417798.2943452583212814573244,1417798.2943452583212814573244,0,0,0,0,0
1,141,2,10,20,30,11,,,75520796.7001802809235594745326077398419883666,75520796.7001802809235594745326077398419883666,0,0,0,0,0
