countyname,FIPS,state,market
Autauga County,1001,AL,17
Autauga County,1001,AL,17
Autauga County,1001,AL,17
Autauga County,1001,AL,17
Autauga County,1001,AL,17
Autauga County,1001,AL,17
Baldwin County,1003,AL,16
Baldwin County,1003,AL,16
Baldwin County,1003,AL,16
Baldwin County,1003,AL,16
Baldwin County,1003,AL,16
Baldwin County,1003,AL,16
Barbour County,1005,AL,17
Barbour County,1005,AL,17
Barbour County,1005,AL,17
Barbour County,1005,AL,17
Barbour County,1005,AL,17
Barbour County,1005,AL,17
Bibb County,1007,AL,22
Bibb County,1007,AL,22
Bibb County,1007,AL,22
Bibb County,1007,AL,22
Bibb County,1007,AL,22
Bibb County,1007,AL,22
Blount County,1009,AL,19
Blount County,1009,AL,19
Blount County,1009,AL,19
Blount County,1009,AL,19
Blount County,1009,AL,19
Blount County,1009,AL,19
Bullock County,1011,AL,17
Bullock County,1011,AL,17
Bullock County,1011,AL,17
Bullock County,1011,AL,17
Bullock County,1011,AL,17
Bullock County,1011,AL,17
Butler County,1013,AL,17
Butler County,1013,AL,17
Butler County,1013,AL,17
Butler County,1013,AL,17
Butler County,1013,AL,17
Butler County,1013,AL,17
Calhoun County,1015,AL,18
Calhoun County,1015,AL,18
Calhoun County,1015,AL,18
Calhoun County,1015,AL,18
Calhoun County,1015,AL,18
Calhoun County,1015,AL,18
Chambers County,1017,AL,12
Chambers County,1017,AL,12
Chambers County,1017,AL,12
Chambers County,1017,AL,12
Chambers County,1017,AL,12
Chambers County,1017,AL,12
Cherokee County,1019,AL,18
Cherokee County,1019,AL,18
Cherokee County,1019,AL,18
Cherokee County,1019,AL,18
Cherokee County,1019,AL,18
Cherokee County,1019,AL,18
Chilton County,1021,AL,18
Chilton County,1021,AL,18
Chilton County,1021,AL,18
Chilton County,1021,AL,18
Chilton County,1021,AL,18
Chilton County,1021,AL,18
Choctaw County,1023,AL,23
Choctaw County,1023,AL,23
Choctaw County,1023,AL,23
Choctaw County,1023,AL,23
Choctaw County,1023,AL,23
Choctaw County,1023,AL,23
Clarke County,1025,AL,23
Clarke County,1025,AL,23
Clarke County,1025,AL,23
Clarke County,1025,AL,23
Clarke County,1025,AL,23
Clarke County,1025,AL,23
Clay County,1027,AL,18
Clay County,1027,AL,18
Clay County,1027,AL,18
Clay County,1027,AL,18
Clay County,1027,AL,18
Clay County,1027,AL,18
Cleburne County,1029,AL,18
Cleburne County,1029,AL,18
Cleburne County,1029,AL,18
Cleburne County,1029,AL,18
Cleburne County,1029,AL,18
Cleburne County,1029,AL,18
Coffee County,1031,AL,15
Coffee County,1031,AL,15
Coffee County,1031,AL,15
Coffee County,1031,AL,15
Coffee County,1031,AL,15
Coffee County,1031,AL,15
Colbert County,1033,AL,20
Colbert County,1033,AL,20
Colbert County,1033,AL,20
Colbert County,1033,AL,20
Colbert County,1033,AL,20
Colbert County,1033,AL,20
Conecuh County,1035,AL,17
Conecuh County,1035,AL,17
Conecuh County,1035,AL,17
Conecuh County,1035,AL,17
Conecuh County,1035,AL,17
Conecuh County,1035,AL,17
Coosa County,1037,AL,18
Coosa County,1037,AL,18
Coosa County,1037,AL,18
Coosa County,1037,AL,18
Coosa County,1037,AL,18
Coosa County,1037,AL,18
Covington County,1039,AL,15
Covington County,1039,AL,15
Covington County,1039,AL,15
Covington County,1039,AL,15
Covington County,1039,AL,15
Covington County,1039,AL,15
Crenshaw County,1041,AL,17
Crenshaw County,1041,AL,17
Crenshaw County,1041,AL,17
Crenshaw County,1041,AL,17
Crenshaw County,1041,AL,17
Crenshaw County,1041,AL,17
Cullman County,1043,AL,19
Cullman County,1043,AL,19
Cullman County,1043,AL,19
Cullman County,1043,AL,19
Cullman County,1043,AL,19
Cullman County,1043,AL,19
Dale County,1045,AL,15
Dale County,1045,AL,15
Dale County,1045,AL,15
Dale County,1045,AL,15
Dale County,1045,AL,15
Dale County,1045,AL,15
Dallas County,1047,AL,17
Dallas County,1047,AL,17
Dallas County,1047,AL,17
Dallas County,1047,AL,17
Dallas County,1047,AL,17
Dallas County,1047,AL,17
DeKalb County,1049,AL,19
DeKalb County,1049,AL,19
DeKalb County,1049,AL,19
DeKalb County,1049,AL,19
DeKalb County,1049,AL,19
DeKalb County,1049,AL,19
Elmore County,1051,AL,17
Elmore County,1051,AL,17
Elmore County,1051,AL,17
Elmore County,1051,AL,17
Elmore County,1051,AL,17
Elmore County,1051,AL,17
Escambia County,1053,AL,16
Escambia County,1053,AL,16
Escambia County,1053,AL,16
Escambia County,1053,AL,16
Escambia County,1053,AL,16
Escambia County,1053,AL,16
Etowah County,1055,AL,18
Etowah County,1055,AL,18
Etowah County,1055,AL,18
Etowah County,1055,AL,18
Etowah County,1055,AL,18
Etowah County,1055,AL,18
Fayette County,1057,AL,22
Fayette County,1057,AL,22
Fayette County,1057,AL,22
Fayette County,1057,AL,22
Fayette County,1057,AL,22
Fayette County,1057,AL,22
Franklin County,1059,AL,20
Franklin County,1059,AL,20
Franklin County,1059,AL,20
Franklin County,1059,AL,20
Franklin County,1059,AL,20
Franklin County,1059,AL,20
Geneva County,1061,AL,15
Geneva County,1061,AL,15
Geneva County,1061,AL,15
Geneva County,1061,AL,15
Geneva County,1061,AL,15
Geneva County,1061,AL,15
Greene County,1063,AL,22
Greene County,1063,AL,22
Greene County,1063,AL,22
Greene County,1063,AL,22
Greene County,1063,AL,22
Greene County,1063,AL,22
Hale County,1065,AL,22
Hale County,1065,AL,22
Hale County,1065,AL,22
Hale County,1065,AL,22
Hale County,1065,AL,22
Hale County,1065,AL,22
Henry County,1067,AL,15
Henry County,1067,AL,15
Henry County,1067,AL,15
Henry County,1067,AL,15
Henry County,1067,AL,15
Henry County,1067,AL,15
Houston County,1069,AL,15
Houston County,1069,AL,15
Houston County,1069,AL,15
Houston County,1069,AL,15
Houston County,1069,AL,15
Houston County,1069,AL,15
Jackson County,1071,AL,19
Jackson County,1071,AL,19
Jackson County,1071,AL,19
Jackson County,1071,AL,19
Jackson County,1071,AL,19
Jackson County,1071,AL,19
Jefferson County,1073,AL,18
Jefferson County,1073,AL,18
Jefferson County,1073,AL,18
Jefferson County,1073,AL,18
Jefferson County,1073,AL,18
Jefferson County,1073,AL,18
Lamar County,1075,AL,22
Lamar County,1075,AL,22
Lamar County,1075,AL,22
Lamar County,1075,AL,22
Lamar County,1075,AL,22
Lamar County,1075,AL,22
Lauderdale County,1077,AL,20
Lauderdale County,1077,AL,20
Lauderdale County,1077,AL,20
Lauderdale County,1077,AL,20
Lauderdale County,1077,AL,20
Lauderdale County,1077,AL,20
Lawrence County,1079,AL,19
Lawrence County,1079,AL,19
Lawrence County,1079,AL,19
Lawrence County,1079,AL,19
Lawrence County,1079,AL,19
Lawrence County,1079,AL,19
Lee County,1081,AL,12
Lee County,1081,AL,12
Lee County,1081,AL,12
Lee County,1081,AL,12
Lee County,1081,AL,12
Lee County,1081,AL,12
Limestone County,1083,AL,19
Limestone County,1083,AL,19
Limestone County,1083,AL,19
Limestone County,1083,AL,19
Limestone County,1083,AL,19
Limestone County,1083,AL,19
Lowndes County,1085,AL,17
Lowndes County,1085,AL,17
Lowndes County,1085,AL,17
Lowndes County,1085,AL,17
Lowndes County,1085,AL,17
Lowndes County,1085,AL,17
Macon County,1087,AL,17
Macon County,1087,AL,17
Macon County,1087,AL,17
Macon County,1087,AL,17
Macon County,1087,AL,17
Macon County,1087,AL,17
Madison County,1089,AL,19
Madison County,1089,AL,19
Madison County,1089,AL,19
Madison County,1089,AL,19
Madison County,1089,AL,19
Madison County,1089,AL,19
Marengo County,1091,AL,22
Marengo County,1091,AL,22
Marengo County,1091,AL,22
Marengo County,1091,AL,22
Marengo County,1091,AL,22
Marengo County,1091,AL,22
Marion County,1093,AL,20
Marion County,1093,AL,20
Marion County,1093,AL,20
Marion County,1093,AL,20
Marion County,1093,AL,20
Marion County,1093,AL,20
Marshall County,1095,AL,19
Marshall County,1095,AL,19
Marshall County,1095,AL,19
Marshall County,1095,AL,19
Marshall County,1095,AL,19
Marshall County,1095,AL,19
Mobile County,1097,AL,23
Mobile County,1097,AL,23
Mobile County,1097,AL,23
Mobile County,1097,AL,23
Mobile County,1097,AL,23
Mobile County,1097,AL,23
Monroe County,1099,AL,17
Monroe County,1099,AL,17
Monroe County,1099,AL,17
Monroe County,1099,AL,17
Monroe County,1099,AL,17
Monroe County,1099,AL,17
Montgomery County,1101,AL,17
Montgomery County,1101,AL,17
Montgomery County,1101,AL,17
Montgomery County,1101,AL,17
Montgomery County,1101,AL,17
Montgomery County,1101,AL,17
Morgan County,1103,AL,19
Morgan County,1103,AL,19
Morgan County,1103,AL,19
Morgan County,1103,AL,19
Morgan County,1103,AL,19
Morgan County,1103,AL,19
Perry County,1105,AL,22
Perry County,1105,AL,22
Perry County,1105,AL,22
Perry County,1105,AL,22
Perry County,1105,AL,22
Perry County,1105,AL,22
Pickens County,1107,AL,22
Pickens County,1107,AL,22
Pickens County,1107,AL,22
Pickens County,1107,AL,22
Pickens County,1107,AL,22
Pickens County,1107,AL,22
Pike County,1109,AL,17
Pike County,1109,AL,17
Pike County,1109,AL,17
Pike County,1109,AL,17
Pike County,1109,AL,17
Pike County,1109,AL,17
Randolph County,1111,AL,18
Randolph County,1111,AL,18
Randolph County,1111,AL,18
Randolph County,1111,AL,18
Randolph County,1111,AL,18
Randolph County,1111,AL,18
Russell County,1113,AL,12
Russell County,1113,AL,12
Russell County,1113,AL,12
Russell County,1113,AL,12
Russell County,1113,AL,12
Russell County,1113,AL,12
St. Clair County,1115,AL,18
St. Clair County,1115,AL,18
St. Clair County,1115,AL,18
St. Clair County,1115,AL,18
St. Clair County,1115,AL,18
St. Clair County,1115,AL,18
Shelby County,1117,AL,18
Shelby County,1117,AL,18
Shelby County,1117,AL,18
Shelby County,1117,AL,18
Shelby County,1117,AL,18
Shelby County,1117,AL,18
Sumter County,1119,AL,22
Sumter County,1119,AL,22
Sumter County,1119,AL,22
Sumter County,1119,AL,22
Sumter County,1119,AL,22
Sumter County,1119,AL,22
Talladega County,1121,AL,18
Talladega County,1121,AL,18
Talladega County,1121,AL,18
Talladega County,1121,AL,18
Talladega County,1121,AL,18
