spcd,spname
318,sugar maple
402,bitternut hickory
403,pignut hickory
404,pecan
405,shelbark hickory
407,shagbark hickory
409,mockernut hickory
541,white ash
544,green ash
546,blue ash
601,butternut
602,black walnut
611,sweetgum
621,yellow-poplar
651,cucumbertree
652,southern magnolia
653,sweetbay
762,black cherry
802,white oak
804,swamp white oak
812,southern red oak
822,overcup oak
823,bur oak
830,pin oak
832,chestnut oak
837,black oak
68,eastern redcedar
110,shortleaf pine
111,slash pine
121,longleaf pine
129,eastern white pine
131,loblolly pine
132,Virginia pine
221,baldcypress
