 State,ST,County,Stfip,FIPS Code,Old TMS Area,New TMS Area,OldTMS,NewTMS,STTMS
 Alabama,AL,Autauga,1,1001,2,1,2,1,1001
 Alabama,AL,Baldwin,1,1003,3,2,3,2,1002
 Alabama,AL,Barbour,1,1005,2,2,2,2,1002
 Alabama,AL,Bibb,1,1007,2,1,2,1,1001
 Alabama,AL,Blount,1,1009,1,1,1,1,1001
 Alabama,AL,Bullock,1,1011,2,2,2,2,1002
 Alabama,AL,Butler,1,1013,2,2,2,2,1002
 Alabama,AL,Calhoun,1,1015,1,1,1,1,1001
 Alabama,AL,Chambers,1,1017,2,1&2,2,3,1003
 Alabama,AL,Cherokee,1,1019,1,1,1,1,1001
 Alabama,AL,Chilton,1,1021,2,1,2,1,1001
 Alabama,AL,Choctaw,1,1023,3,2,3,2,1002
 Alabama,AL,Clarke,1,1025,3,2,3,2,1002
 Alabama,AL,Clay,1,1027,1,1,1,1,1001
 Alabama,AL,Cleburne,1,1029,1,1,1,1,1001
 Alabama,AL,Coffee,1,1031,2,2,2,2,1002
 Alabama,AL,Colbert,1,1033,1,1,1,1,1001
 Alabama,AL,Conecuh,1,1035,3,2,3,2,1002
 Alabama,AL,Coosa,1,1037,2,1,2,1,1001
 Alabama,AL,Covington,1,1039,3,2,3,2,1002
 Alabama,AL,Crenshaw,1,1041,2,2,2,2,1002
 Alabama,AL,Cullman,1,1043,1,1,1,1,1001
 Alabama,AL,Dale,1,1045,2,2,2,2,1002
 Alabama,AL,Dallas,1,1047,2,1&2,2,3,1003
 Alabama,AL,De Kalb,1,1049,1,1,1,1,1001
 Alabama,AL,Elmore,1,1051,2,1&2,2,3,1003
 Alabama,AL,Escambia,1,1053,3,2,3,2,1002
 Alabama,AL,Etowah,1,1055,1,1,1,1,1001
 Alabama,AL,Fayette,1,1057,1,1,1,1,1001
 Alabama,AL,Franklin,1,1059,1,1,1,1,1001
 Alabama,AL,Geneva,1,1061,2,2,2,2,1002
 Alabama,AL,Greene,1,1063,2,1,2,1,1001
 Alabama,AL,Hale,1,1065,2,1,2,1,1001
 Alabama,AL,Henry,1,1067,2,2,2,2,1002
 Alabama,AL,Houston,1,1069,2,2,2,2,1002
 Alabama,AL,Jackson,1,1071,1,1,1,1,1001
 Alabama,AL,Jefferson,1,1073,1,1,1,1,1001
 Alabama,AL,Lamar,1,1075,1,1,1,1,1001
 Alabama,AL,Lauderdale,1,1077,1,1,1,1,1001
