   ,GRP1,GRP2,ESTIMATE
1,`0002 SPCD 100 - pine spp. (Pinus spp.),`0047 51 Virginia,
2,`0009 SPCD 107 - sand pine (Pinus clausa),`0001 01 Alabama,0
3,`0009 SPCD 107 - sand pine (Pinus clausa),`0011 13 Georgia,3358064.798
4,`0013 SPCD 110 - shortleaf pine (Pinus echinata),`0001 01 Alabama,22245824.12
5,`0013 SPCD 110 - shortleaf pine (Pinus echinata),`0004 05 Arkansas,52468762.25
6,`0013 SPCD 110 - shortleaf pine (Pinus echinata),`0011 13 Georgia,13917805.41
7,`0013 SPCD 110 - shortleaf pine (Pinus echinata),`0018 21 Kentucky,3355138.225
8,`0013 SPCD 110 - shortleaf pine (Pinus echinata),`0025 28 Mississippi,23600126.59
9,`0013 SPCD 110 - shortleaf pine (Pinus echinata),`0034 37 North Carolina,9538213.626
10,`0013 SPCD 110 - shortleaf pine (Pinus echinata),`0037 40 Oklahoma,10383537.14
11,`0013 SPCD 110 - shortleaf pine (Pinus echinata),`0041 45 South Carolina,3285458.719
12,`0013 SPCD 110 - shortleaf pine (Pinus echinata),`0043 47 Tennessee,3950575.224
13,`0013 SPCD 110 - shortleaf pine (Pinus echinata),`0047 51 Virginia,2168421.923
14,`0014 SPCD 111 - slash pine (Pinus elliottii),`0001 01 Alabama,18510710.64
15,`0014 SPCD 111 - slash pine (Pinus elliottii),`0011 13 Georgia,272850058.1
16,`0014 SPCD 111 - slash pine (Pinus elliottii),`0025 28 Mississippi,16493159.32
17,`0014 SPCD 111 - slash pine (Pinus elliottii),`0034 37 North Carolina,4551995.665
18,`0014 SPCD 111 - slash pine (Pinus elliottii),`0041 45 South Carolina,5210218.815
19,`0018 SPCD 115 - spruce pine (Pinus glabra),`0001 01 Alabama,2540126.058
20,`0018 SPCD 115 - spruce pine (Pinus glabra),`0011 13 Georgia,
21,`0018 SPCD 115 - spruce pine (Pinus glabra),`0025 28 Mississippi,1900851.21
22,`0018 SPCD 115 - spruce pine (Pinus glabra),`0041 45 South Carolina,638927.2518
23,`0025 SPCD 121 - longleaf pine (Pinus palustris),`0001 01 Alabama,25375676.31
24,`0025 SPCD 121 - longleaf pine (Pinus palustris),`0011 13 Georgia,26210818.85
25,`0025 SPCD 121 - longleaf pine (Pinus palustris),`0025 28 Mississippi,5287543.737
26,`0025 SPCD 121 - longleaf pine (Pinus palustris),`0034 37 North Carolina,6169439.158
27,`0025 SPCD 121 - longleaf pine (Pinus palustris),`0041 45 South Carolina,9396374.917
28,`0025 SPCD 121 - longleaf pine (Pinus palustris),`0047 51 Virginia,
29,`0027 SPCD 123 - Table Mountain pine (Pinus pungens),`0011 13 Georgia,
30,`0027 SPCD 123 - Table Mountain pine (Pinus pungens),`0034 37 North Carolina,
31,`0027 SPCD 123 - Table Mountain pine (Pinus pungens),`0043 47 Tennessee,
32,`0027 SPCD 123 - Table Mountain pine (Pinus pungens),`0047 51 Virginia,16863.80355
33,`0030 SPCD 126 - pitch pine (Pinus rigida),`0011 13 Georgia,
34,`0030 SPCD 126 - pitch pine (Pinus rigida),`0018 21 Kentucky,0
35,`0030 SPCD 126 - pitch pine (Pinus rigida),`0034 37 North Carolina,0
36,`0030 SPCD 126 - pitch pine (Pinus rigida),`0041 45 South Carolina,21157.2006
37,`0030 SPCD 126 - pitch pine (Pinus rigida),`0043 47 Tennessee,
38,`0030 SPCD 126 - pitch pine (Pinus rigida),`0047 51 Virginia,210901.7704
39,`0032 SPCD 128 - pond pine (Pinus serotina),`0011 13 Georgia,2216348.491
40,`0032 SPCD 128 - pond pine (Pinus serotina),`0034 37 North Carolina,7854003.433
41,`0032 SPCD 128 - pond pine (Pinus serotina),`0041 45 South Carolina,529384.3634
42,`0032 SPCD 128 - pond pine (Pinus serotina),`0047 51 Virginia,360779.3395
43,`0033 SPCD 129 - eastern white pine (Pinus strobus),`0011 13 Georgia,13186.33606
44,`0033 SPCD 129 - eastern white pine (Pinus strobus),`0018 21 Kentucky,100698.8029
45,`0033 SPCD 129 - eastern white pine (Pinus strobus),`0034 37 North Carolina,18628506.26
46,`0033 SPCD 129 - eastern white pine (Pinus strobus),`0041 45 South Carolina,31114.27215
47,`0033 SPCD 129 - eastern white pine (Pinus strobus),`0043 47 Tennessee,2857921.774
48,`0033 SPCD 129 - eastern white pine (Pinus strobus),`0047 51 Virginia,7429079.34
49,`0034 SPCD 130 - Scotch pine (Pinus sylvestris),`0037 40 Oklahoma,
50,`0034 SPCD 130 - Scotch pine (Pinus sylvestris),`0047 51 Virginia,
51,`0035 SPCD 131 - loblolly pine (Pinus taeda),`0001 01 Alabama,835535248.7
52,`0035 SPCD 131 - loblolly pine (Pinus taeda),`0004 05 Arkansas,559243974.9
53,`0035 SPCD 131 - loblolly pine (Pinus taeda),`0011 13 Georgia,720416834.4
54,`0035 SPCD 131 - loblolly pine (Pinus taeda),`0018 21 Kentucky,5462740.36
55,`0035 SPCD 131 - loblolly pine (Pinus taeda),`0025 28 Mississippi,780731872.5
56,`0035 SPCD 131 - loblolly pine (Pinus taeda),`0034 37 North Carolina,514490588.9
