stateAbbr,statecd,unitcd,priceRegion,spcd,spgrpcd,species,spclass,sizerange,product,volume,value
MI,26,01,02,12,6,balsim fir,Coniferous,05.0-06.9,Pulpwood,5094942878.140456,552087239.8377631
MI,26,01,02,12,6,balsim fir,Coniferous,07.0-08.9,Pulpwood,3867986123.971164,419134391.4916287
MI,26,01,02,12,6,balsim fir,Coniferous,09.0-10.9,Pulpwood,1906562686.560358,206594844.41265225
MI,26,01,02,12,6,balsim fir,Coniferous,11.0-12.9,Pulpwood,591096693.7616622,64051148.352660134
MI,26,01,02,12,6,balsim fir,Coniferous,13.0-14.9,Sawtimber,304443284.8452619,857338566.4791994
MI,26,01,02,12,6,balsim fir,Coniferous,15.0-16.9,Sawtimber,132789787.909192,373947503.77564585
MI,26,01,02,12,6,balsim fir,Coniferous,17.0-18.9,Sawtimber,29438525.3174946,82901428.1191666
MI,26,01,02,12,6,balsim fir,Coniferous,19.0-20.9,Sawtimber,0.0,0.0
MI,26,01,02,12,6,balsim fir,Coniferous,21.0-22.9,Sawtimber,0.0,0.0
MI,26,01,02,12,6,balsim fir,Coniferous,23.0-24.9,Sawtimber,0.0,0.0
MI,26,01,02,12,6,balsim fir,Coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,12,6,balsim fir,Coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,71,9,tamarack,Coniferous,05.0-06.9,Pulpwood,1315951266.1643898,268987493.45216405
MI,26,01,02,71,9,tamarack,Coniferous,07.0-08.9,Pulpwood,1330436491.9230936,271948351.2507048
MI,26,01,02,71,9,tamarack,Coniferous,09.0-10.9,Pulpwood,703350712.907687,143768656.2924719
MI,26,01,02,71,9,tamarack,Coniferous,11.0-12.9,Pulpwood,338192604.4309658,69128381.35343282
MI,26,01,02,71,9,tamarack,Coniferous,13.0-14.9,Sawtimber,121086028.2660029,0.0
MI,26,01,02,71,9,tamarack,Coniferous,15.0-16.9,Sawtimber,23292811.6667352,0.0
MI,26,01,02,71,9,tamarack,Coniferous,17.0-18.9,Sawtimber,25408582.769565,0.0
MI,26,01,02,71,9,tamarack,Coniferous,19.0-20.9,Sawtimber,0.0,0.0
MI,26,01,02,71,9,tamarack,Coniferous,21.0-22.9,Sawtimber,0.0,0.0
MI,26,01,02,71,9,tamarack,Coniferous,23.0-24.9,Sawtimber,0.0,0.0
MI,26,01,02,71,9,tamarack,Coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,71,9,tamarack,Coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,94,6,white spruce,Coniferous,05.0-06.9,Pulpwood,1036049847.0927577,0.0
MI,26,01,02,94,6,white spruce,Coniferous,07.0-08.9,Pulpwood,1794063850.4699543,0.0
MI,26,01,02,94,6,white spruce,Coniferous,09.0-10.9,Pulpwood,2085077931.276177,0.0
MI,26,01,02,94,6,white spruce,Coniferous,11.0-12.9,Pulpwood,1856506803.2033415,0.0
MI,26,01,02,94,6,white spruce,Coniferous,13.0-14.9,Sawtimber,1386010091.8254747,0.0
MI,26,01,02,94,6,white spruce,Coniferous,15.0-16.9,Sawtimber,919842944.3006182,0.0
MI,26,01,02,94,6,white spruce,Coniferous,17.0-18.9,Sawtimber,751738867.8744483,0.0
MI,26,01,02,94,6,white spruce,Coniferous,19.0-20.9,Sawtimber,231126211.2518003,0.0
MI,26,01,02,94,6,white spruce,Coniferous,21.0-22.9,Sawtimber,218405117.6753531,0.0
MI,26,01,02,94,6,white spruce,Coniferous,23.0-24.9,Sawtimber,0.0,0.0
MI,26,01,02,94,6,white spruce,Coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,94,6,white spruce,Coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,95,6,black spruce,Coniferous,05.0-06.9,Pulpwood,2506662092.182144,271621525.2611202
MI,26,01,02,95,6,black spruce,Coniferous,07.0-08.9,Pulpwood,2632493449.390478,285256592.10048455
MI,26,01,02,95,6,black spruce,Coniferous,09.0-10.9,Pulpwood,1490256316.5496042,161483949.11052448
