"SPCLASS","SPGRPCD","SPGRPNM","COUNTYCD","STATECD","UNITCD","AREATOT"
"Hardwood","36","Ash","1","27","2","115923.018088176"
"Hardwood","36","Ash","61","27","2","684872.194137046"
"Hardwood","36","Ash","33","37","3","125222.902560221"
"Hardwood","36","Ash","123","37","3","128916.267556793"
"Hardwood","36","Ash","93","55","4","422758.624809203"
"Hardwood","33","Beech","127","22","5","218044.418357154"
"Hardwood","37","Cottonwood and aspen (East)","119","1","2","185348.565504242"
"Hardwood","37","Cottonwood and aspen (East)","41","26","1","223154.648688901"
"Hardwood","37","Cottonwood and aspen (East)","57","27","2","90679.1463065134"
"Hardwood","37","Cottonwood and aspen (East)","61","27","2","1369744.38827409"
"Hardwood","37","Cottonwood and aspen (East)","93","55","4","704597.708015338"
"Hardwood","43","Eastern noncommercial hardwoods","3","1","1","285706.605163639"
"Hardwood","43","Eastern noncommercial hardwoods","23","1","2","140269.528511168"
"Hardwood","43","Eastern noncommercial hardwoods","11","1","3","148001.698585728"
"Hardwood","43","Eastern noncommercial hardwoods","45","1","3","128234.58039837"
"Hardwood","43","Eastern noncommercial hardwoods","63","1","4","595888.041270282"
"Hardwood","43","Eastern noncommercial hardwoods","107","1","4","432465.733674187"
"Hardwood","43","Eastern noncommercial hardwoods","125","1","4","140387.987534959"
"Hardwood","43","Eastern noncommercial hardwoods","3","22","3","122679.330690812"
"Hardwood","43","Eastern noncommercial hardwoods","11","22","3","81246.0202470932"
"Hardwood","43","Eastern noncommercial hardwoods","39","22","3","122679.330690812"
"Hardwood","43","Eastern noncommercial hardwoods","37","22","4","85540.9552931129"
"Hardwood","43","Eastern noncommercial hardwoods","127","22","5","116737.238950564"
"Hardwood","43","Eastern noncommercial hardwoods","131","28","4","59982.6498721566"
"Hardwood","43","Eastern noncommercial hardwoods","5","48","1","35399.9689210762"
"Hardwood","43","Eastern noncommercial hardwoods","199","48","1","538682.625688326"
"Hardwood","31","Hard maple","153","26","1","747231.048690102"
"Hardwood","31","Hard maple","75","27","1","183179.309099155"
"Hardwood","31","Hard maple","93","55","4","422758.624809203"
"Hardwood","29","Hickory","11","1","3","145856.05037316"
"Hardwood","29","Hickory","17","1","3","291712.100746321"
"Hardwood","29","Hickory","113","1","3","145856.05037316"
"Hardwood","29","Hickory","107","1","4","732537.880590301"
"Hardwood","29","Hickory","73","1","5","278794.534698431"
"Hardwood","29","Hickory","111","1","5","145338.600088431"
"Hardwood","29","Hickory","59","5","3","139124.099060668"
"Hardwood","29","Hickory","133","5","3","695620.495303338"
"Hardwood","29","Hickory","137","5","5","587215.302079655"
"Hardwood","29","Hickory","201","13","2","112646.383593585"
"Hardwood","29","Hickory","61","22","5","87557.6792129231"
"Hardwood","29","Hickory","3","28","2","42768.2031547771"
"Hardwood","29","Hickory","127","28","3","453939.509455648"
"Hardwood","29","Hickory","9","45","1","596653.59834458"
"Hardwood","29","Hickory","59","45","3","140088.276941789"
"Hardwood","42","Other eastern hard hardwoods","129","1","1","138741.4342496"
"Hardwood","42","Other eastern hard hardwoods","23","1","2","141703.01391114"
"Hardwood","42","Other eastern hard hardwoods","119","1","2","92674.2827521208"
"Hardwood","42","Other eastern hard hardwoods","47","1","3","109398.03777987"
"Hardwood","42","Other eastern hard hardwoods","57","1","4","129939.880403222"
"Hardwood","42","Other eastern hard hardwoods","65","1","4","254092.325966687"
"Hardwood","42","Other eastern hard hardwoods","93","1","4","115265.551532813"
"Hardwood","42","Other eastern hard hardwoods","39","5","3","139124.099060668"
"Hardwood","42","Other eastern hard hardwoods","59","5","3","139124.099060668"
"Hardwood","42","Other eastern hard hardwoods","175","13","1","111302.137605903"
"Hardwood","42","Other eastern hard hardwoods","87","13","2","121600.247384026"
"Hardwood","42","Other eastern hard hardwoods","21","22","5","88526.2071597348"
"Hardwood","42","Other eastern hard hardwoods","49","22","5","105981.65323127"
"Hardwood","42","Other eastern hard hardwoods","127","28","3","90787.9018911297"
"Hardwood","42","Other eastern hard hardwoods","195","37","2","211550.611114955"
"Hardwood","42","Other eastern hard hardwoods","25","45","2","137889.10667669"
"Hardwood","42","Other eastern hard hardwoods","59","45","3","280176.553883578"
"Hardwood","41","Other eastern soft hardwoods","23","1","2","141703.01391114"
"Hardwood","41","Other eastern soft hardwoods","91","1","2","124668.017748972"
"Hardwood","41","Other eastern soft hardwoods","119","1","2","310043.899152768"
"Hardwood","41","Other eastern soft hardwoods","131","1","2","104934.334541907"
"Hardwood","41","Other eastern soft hardwoods","5","1","3","41384.1569665839"
"Hardwood","41","Other eastern soft hardwoods","11","1","3","583424.201492641"
"Hardwood","41","Other eastern soft hardwoods","45","1","3","128234.58039837"
"Hardwood","41","Other eastern soft hardwoods","47","1","3","146711.056203564"
"Hardwood","41","Other eastern soft hardwoods","51","1","3","291712.100746321"
"Hardwood","41","Other eastern soft hardwoods","57","1","4","129325.618808673"
"Hardwood","41","Other eastern soft hardwoods","125","1","4","280775.975069917"
"Hardwood","41","Other eastern soft hardwoods","73","1","5","278794.534698431"
"Hardwood","41","Other eastern soft hardwoods","111","1","5","145338.600088431"
"Hardwood","41","Other eastern soft hardwoods","59","1","6","180559.210893194"
"Hardwood","41","Other eastern soft hardwoods","59","5","3","139124.099060668"
"Hardwood","41","Other eastern soft hardwoods","61","5","3","557715.441135491"
"Hardwood","41","Other eastern soft hardwoods","133","5","3","139124.099060668"
"Hardwood","41","Other eastern soft hardwoods","49","13","1","290754.024620932"
"Hardwood","41","Other eastern soft hardwoods","65","13","1","115021.002050292"
"Hardwood","41","Other eastern soft hardwoods","161","13","1","100289.135217637"
"Hardwood","41","Other eastern soft hardwoods","201","13","2","225292.76718717"
"Hardwood","41","Other eastern soft hardwoods","23","13","3","405563.441962156"
"Hardwood","41","Other eastern soft hardwoods","95","13","3","302773.486951269"
"Hardwood","41","Other eastern soft hardwoods","261","13","3","112904.636693646"
"Hardwood","41","Other eastern soft hardwoods","15","13","5","42432.6202165089"
"Hardwood","41","Other eastern soft hardwoods","67","22","1","112934.387148085"
"Hardwood","41","Other eastern soft hardwoods","11","22","3","41920.6275862962"
"Hardwood","41","Other eastern soft hardwoods","69","22","3","189062.08952371"
"Hardwood","41","Other eastern soft hardwoods","21","22","5","88526.2071597348"
"Hardwood","41","Other eastern soft hardwoods","27","22","5","309442.567978549"
"Hardwood","41","Other eastern soft hardwoods","127","22","5","548981.208135211"
"Hardwood","41","Other eastern soft hardwoods","75","27","1","91589.6545495774"
"Hardwood","41","Other eastern soft hardwoods","137","27","1","89006.1856729337"
"Hardwood","41","Other eastern soft hardwoods","61","27","2","410923.316482228"
"Hardwood","41","Other eastern soft hardwoods","161","28","2","94083.5233003523"
"Hardwood","41","Other eastern soft hardwoods","47","28","4","182713.669085454"
"Hardwood","41","Other eastern soft hardwoods","9","45","1","238661.439337832"
"Hardwood","41","Other eastern soft hardwoods","53","45","1","139293.478898142"
"Hardwood","41","Other eastern soft hardwoods","63","45","1","380771.685761579"
