stateAbbr,statecd,unitcd,priceRegion,spcd,spgrpcd,spclass,sizerange,volume,value,product
AL,01,01,02,110,2,Softwood,1.0-1.9,855900.6803056333,262249.4668510493,Pre-merchantable
AL,01,01,02,110,2,Softwood,2.0-2.9,1469839.78014849,496862.8061066474,Pre-merchantable
AL,01,01,02,110,2,Softwood,3.0-3.9,1904631.2834101534,812312.6655289965,Pre-merchantable
AL,01,01,02,110,2,Softwood,4.0-4.9,4829527.1726627005,2598739.491279889,Pre-merchantable
AL,01,01,02,111,1,Softwood,1.0-1.9,3724420.435396051,1141168.9416615346,Pre-merchantable
AL,01,01,02,111,1,Softwood,2.0-2.9,18933125.107701965,6400129.998135351,Pre-merchantable
AL,01,01,02,111,1,Softwood,3.0-3.9,14342214.59052694,6116859.816961724,Pre-merchantable
AL,01,01,02,111,1,Softwood,4.0-4.9,52342551.20250107,28165211.628633134,Pre-merchantable
AL,01,01,02,121,1,Softwood,1.0-1.9,10089411.367111156,3091413.306180546,Pre-merchantable
AL,01,01,02,121,1,Softwood,2.0-2.9,26706290.16198486,9027761.018443532,Pre-merchantable
AL,01,01,02,121,1,Softwood,3.0-3.9,67190920.18264875,28656483.776319403,Pre-merchantable
AL,01,01,02,121,1,Softwood,4.0-4.9,160292290.80209076,86252316.50274561,Pre-merchantable
AL,01,01,02,131,2,Softwood,1.0-1.9,16762067.307455093,5135926.767965402,Pre-merchantable
AL,01,01,02,131,2,Softwood,2.0-2.9,53549509.05569281,18101809.2545821,Pre-merchantable
AL,01,01,02,131,2,Softwood,3.0-3.9,119560335.0576384,50991693.40971901,Pre-merchantable
AL,01,01,02,131,2,Softwood,4.0-4.9,204861744.4988721,110234871.16818252,Pre-merchantable
AL,01,02,01,110,2,Softwood,1.0-1.9,334286.255796542,82468.8407839585,Pre-merchantable
AL,01,02,01,110,2,Softwood,2.0-2.9,9164396.10026484,2494310.237681182,Pre-merchantable
AL,01,02,01,110,2,Softwood,3.0-3.9,3652526.836076595,1254255.0366059341,Pre-merchantable
AL,01,02,01,110,2,Softwood,4.0-4.9,0.0,0.0,Pre-merchantable
AL,01,02,01,111,1,Softwood,1.0-1.9,0.0,0.0,Pre-merchantable
AL,01,02,01,111,1,Softwood,2.0-2.9,0.0,0.0,Pre-merchantable
AL,01,02,01,111,1,Softwood,3.0-3.9,0.0,0.0,Pre-merchantable
AL,01,02,01,111,1,Softwood,4.0-4.9,17460168.5862886,7564612.59774001,Pre-merchantable
AL,01,02,01,121,1,Softwood,1.0-1.9,580753.243680224,143272.55744843365,Pre-merchantable
AL,01,02,01,121,1,Softwood,2.0-2.9,925972.8286474,252025.71790224852,Pre-merchantable
AL,01,02,01,121,1,Softwood,3.0-3.9,0.0,0.0,Pre-merchantable
AL,01,02,01,121,1,Softwood,4.0-4.9,27438757.61270325,11887833.183145117,Pre-merchantable
AL,01,02,01,131,2,Softwood,1.0-1.9,35976241.299399115,8875384.088573435,Pre-merchantable
AL,01,02,01,131,2,Softwood,2.0-2.9,113458151.03370643,30880357.480791714,Pre-merchantable
AL,01,02,01,131,2,Softwood,3.0-3.9,262648219.6240085,90191767.80993979,Pre-merchantable
AL,01,02,01,131,2,Softwood,4.0-4.9,423575160.39757043,183513806.21544728,Pre-merchantable
AL,01,02,02,110,2,Softwood,1.0-1.9,334286.255796542,102425.89400322924,Pre-merchantable
AL,01,02,02,110,2,Softwood,2.0-2.9,9164396.10026484,3097921.0279574785,Pre-merchantable
AL,01,02,02,110,2,Softwood,3.0-3.9,3652526.836076595,1557778.5768683306,Pre-merchantable
AL,01,02,02,110,2,Softwood,4.0-4.9,0.0,0.0,Pre-merchantable
AL,01,02,02,111,1,Softwood,1.0-1.9,0.0,0.0,Pre-merchantable
AL,01,02,02,111,1,Softwood,2.0-2.9,0.0,0.0,Pre-merchantable
AL,01,02,02,111,1,Softwood,3.0-3.9,0.0,0.0,Pre-merchantable
AL,01,02,02,111,1,Softwood,4.0-4.9,17460168.5862886,9395211.582291627,Pre-merchantable
AL,01,02,02,121,1,Softwood,1.0-1.9,580753.243680224,177943.81057480953,Pre-merchantable
AL,01,02,02,121,1,Softwood,2.0-2.9,925972.8286474,313014.7001285932,Pre-merchantable
AL,01,02,02,121,1,Softwood,3.0-3.9,0.0,0.0,Pre-merchantable
AL,01,02,02,121,1,Softwood,4.0-4.9,27438757.61270325,14764630.25271164,Pre-merchantable
AL,01,02,02,131,2,Softwood,1.0-1.9,35976241.299399115,11023183.316904323,Pre-merchantable
AL,01,02,02,131,2,Softwood,2.0-2.9,113458151.03370643,38353251.87115573,Pre-merchantable
AL,01,02,02,131,2,Softwood,3.0-3.9,262648219.6240085,112017731.32552248,Pre-merchantable
AL,01,02,02,131,2,Softwood,4.0-4.9,423575160.39757043,227923243.31068793,Pre-merchantable
AL,01,03,01,110,2,Softwood,1.0-1.9,539858.0857073104,133183.67041457453,Pre-merchantable
AL,01,03,01,110,2,Softwood,2.0-2.9,5029764.504520145,1368971.0657953182,Pre-merchantable
AL,01,03,01,110,2,Softwood,3.0-3.9,7787238.417088717,2674089.320689641,Pre-merchantable
AL,01,03,01,110,2,Softwood,4.0-4.9,11230470.564849114,4865597.871725026,Pre-merchantable
AL,01,03,01,111,1,Softwood,1.0-1.9,691201.0328140216,170520.16628389567,Pre-merchantable
AL,01,03,01,111,1,Softwood,2.0-2.9,3142908.6260609413,855417.9758613615,Pre-merchantable
AL,01,03,01,111,1,Softwood,3.0-3.9,7725308.051416038,2652822.8176494488,Pre-merchantable
AL,01,03,01,111,1,Softwood,4.0-4.9,10573407.988644557,4580925.7153883595,Pre-merchantable
AL,01,03,01,121,1,Softwood,1.0-1.9,361402.1792123266,89158.37327926813,Pre-merchantable
AL,01,03,01,121,1,Softwood,2.0-2.9,2055092.4721894788,559342.7146405873,Pre-merchantable
AL,01,03,01,121,1,Softwood,3.0-3.9,8250255.966674098,2833086.6722951974,Pre-merchantable
AL,01,03,01,121,1,Softwood,4.0-4.9,12634658.894435931,5473962.027838241,Pre-merchantable
AL,01,03,01,131,2,Softwood,1.0-1.9,12614296.406786276,3111962.828068142,Pre-merchantable
AL,01,03,01,131,2,Softwood,2.0-2.9,33213025.172732424,9039721.527348127,Pre-merchantable
AL,01,03,01,131,2,Softwood,3.0-3.9,73145830.96945187,25117824.185162924,Pre-merchantable
AL,01,03,01,131,2,Softwood,4.0-4.9,142100326.79096067,61564922.29004104,Pre-merchantable
AL,01,03,02,110,2,Softwood,1.0-1.9,539858.0857073104,165413.4625777074,Pre-merchantable
AL,01,03,02,110,2,Softwood,2.0-2.9,5029764.504520145,1700255.3200179543,Pre-merchantable
AL,01,03,02,110,2,Softwood,3.0-3.9,7787238.417088717,3321205.7634427375,Pre-merchantable
AL,01,03,02,110,2,Softwood,4.0-4.9,11230470.564849114,6043048.588220062,Pre-merchantable
AL,01,03,02,111,1,Softwood,1.0-1.9,691201.0328140216,211785.20652377928,Pre-merchantable
AL,01,03,02,111,1,Softwood,2.0-2.9,3142908.6260609413,1062424.9121381568,Pre-merchantable
AL,01,03,02,111,1,Softwood,3.0-3.9,7725308.051416038,3294792.8714279183,Pre-merchantable
AL,01,03,02,111,1,Softwood,4.0-4.9,10573407.988644557,5689487.172375815,Pre-merchantable
AL,01,03,02,121,1,Softwood,1.0-1.9,361402.1792123266,110734.26040904176,Pre-merchantable
AL,01,03,02,121,1,Softwood,2.0-2.9,2055092.4721894788,694700.8962007789,Pre-merchantable
AL,01,03,02,121,1,Softwood,3.0-3.9,8250255.966674098,3518679.6908986536,Pre-merchantable
AL,01,03,02,121,1,Softwood,4.0-4.9,12634658.894435931,6798633.873244911,Pre-merchantable
AL,01,03,02,131,2,Softwood,1.0-1.9,12614296.406786276,3865042.502594485,Pre-merchantable
AL,01,03,02,131,2,Softwood,2.0-2.9,33213025.172732424,11227289.606318459,Pre-merchantable
AL,01,03,02,131,2,Softwood,3.0-3.9,73145830.96945187,31196213.904848292,Pre-merchantable
AL,01,03,02,131,2,Softwood,4.0-4.9,142100326.79096067,76463330.20875172,Pre-merchantable
AL,01,04,01,110,2,Softwood,1.0-1.9,157606.5571689976,38881.73636904987,Pre-merchantable
AL,01,04,01,110,2,Softwood,2.0-2.9,845309.961828988,230071.38372631036,Pre-merchantable
AL,01,04,01,110,2,Softwood,3.0-3.9,2649384.118335994,909782.0559468183,Pre-merchantable
AL,01,04,01,110,2,Softwood,4.0-4.9,7669982.895157052,3323017.6986216875,Pre-merchantable
AL,01,04,01,121,1,Softwood,1.0-1.9,958578.8101063564,236482.6010604868,Pre-merchantable
AL,01,04,01,121,1,Softwood,2.0-2.9,3748823.989979422,1020332.3770783178,Pre-merchantable
AL,01,04,01,121,1,Softwood,3.0-3.9,24175600.63578644,8301751.149617808,Pre-merchantable
AL,01,04,01,121,1,Softwood,4.0-4.9,28229970.838088643,12230626.066425122,Pre-merchantable
AL,01,04,01,131,2,Softwood,1.0-1.9,23908874.014650565,5898349.364497973,Pre-merchantable
AL,01,04,01,131,2,Softwood,2.0-2.9,87875358.03864108,23917386.67748632,Pre-merchantable
AL,01,04,01,131,2,Softwood,3.0-3.9,146623840.6680491,50349716.48338357,Pre-merchantable
AL,01,04,01,131,2,Softwood,4.0-4.9,257985485.91767693,111772131.3607183,Pre-merchantable
AL,01,05,01,110,2,Softwood,1.0-1.9,1290805.2805157846,318443.2901924001,Pre-merchantable
AL,01,05,01,110,2,Softwood,2.0-2.9,2256967.419054199,614287.8240822738,Pre-merchantable
AL,01,05,01,110,2,Softwood,3.0-3.9,6526774.2726703845,2241253.7598437495,Pre-merchantable
AL,01,05,01,110,2,Softwood,4.0-4.9,4213463.258288025,1825481.6433324802,Pre-merchantable
AL,01,05,01,111,1,Softwood,1.0-1.9,1761079.20828965,434460.461110831,Pre-merchantable
AL,01,05,01,111,1,Softwood,2.0-2.9,0.0,0.0,Pre-merchantable
AL,01,05,01,111,1,Softwood,3.0-3.9,0.0,0.0,Pre-merchantable
AL,01,05,01,111,1,Softwood,4.0-4.9,0.0,0.0,Pre-merchantable
AL,01,05,01,121,1,Softwood,1.0-1.9,1585464.0812987294,391135.9878609239,Pre-merchantable
AL,01,05,01,121,1,Softwood,2.0-2.9,1977888.421876827,538329.7803480882,Pre-merchantable
AL,01,05,01,121,1,Softwood,3.0-3.9,7177239.962399028,2464619.6388903377,Pre-merchantable
AL,01,05,01,121,1,Softwood,4.0-4.9,14295903.179690244,6193695.596621015,Pre-merchantable
AL,01,05,01,131,2,Softwood,1.0-1.9,15683727.029981023,3869195.2328479523,Pre-merchantable
AL,01,05,01,131,2,Softwood,2.0-2.9,43848676.337802626,11934469.123938125,Pre-merchantable
AL,01,05,01,131,2,Softwood,3.0-3.9,84175684.17646512,28905407.290994592,Pre-merchantable
AL,01,05,01,131,2,Softwood,4.0-4.9,133504975.9350719,57840989.21086608,Pre-merchantable
AL,01,06,01,110,2,Softwood,1.0-1.9,0.0,0.0,Pre-merchantable
AL,01,06,01,110,2,Softwood,2.0-2.9,3886632.1631767,1057840.1772084518,Pre-merchantable
AL,01,06,01,110,2,Softwood,3.0-3.9,0.0,0.0,Pre-merchantable
AL,01,06,01,110,2,Softwood,4.0-4.9,10433659.9354323,4520379.914893097,Pre-merchantable
AL,01,06,01,131,2,Softwood,1.0-1.9,3125270.5766956373,771008.1917133034,Pre-merchantable
AL,01,06,01,131,2,Softwood,2.0-2.9,7565000.627090316,2058996.3927541976,Pre-merchantable
AL,01,06,01,131,2,Softwood,3.0-3.9,15153614.694461878,5203657.195775886,Pre-merchantable
AL,01,06,01,131,2,Softwood,4.0-4.9,33562145.65289019,14540789.14291886,Pre-merchantable
AR,05,01,01,131,2,Softwood,1.0-1.9,1769303.096327526,464441.8217058298,Pre-merchantable
AR,05,01,01,131,2,Softwood,2.0-2.9,3160850.643563294,915394.5147098316,Pre-merchantable
AR,05,01,01,131,2,Softwood,3.0-3.9,17016996.36184188,6217747.154351172,Pre-merchantable
AR,05,01,01,131,2,Softwood,4.0-4.9,22480553.37062464,10363416.906380124,Pre-merchantable
AR,05,01,02,131,2,Softwood,1.0-1.9,1769303.096327526,394560.5290880545,Pre-merchantable
AR,05,01,02,131,2,Softwood,2.0-2.9,3160850.643563294,777661.5437465466,Pre-merchantable
AR,05,01,02,131,2,Softwood,3.0-3.9,17016996.36184188,5282206.494552963,Pre-merchantable
AR,05,01,02,131,2,Softwood,4.0-4.9,22480553.37062464,8804106.492225707,Pre-merchantable
AR,05,02,02,131,2,Softwood,1.0-1.9,0.0,0.0,Pre-merchantable
AR,05,02,02,131,2,Softwood,2.0-2.9,0.0,0.0,Pre-merchantable
AR,05,02,02,131,2,Softwood,3.0-3.9,2347476.05365832,728674.6140609392,Pre-merchantable
AR,05,02,02,131,2,Softwood,4.0-4.9,6172084.64384814,2417186.5161680463,Pre-merchantable
AR,05,03,01,110,2,Softwood,1.0-1.9,2828078.2903345325,742370.1658670095,Pre-merchantable
AR,05,03,01,110,2,Softwood,2.0-2.9,2491622.2430172823,721583.3935816131,Pre-merchantable
AR,05,03,01,110,2,Softwood,3.0-3.9,9279878.204765126,3390723.901768439,Pre-merchantable
AR,05,03,01,110,2,Softwood,4.0-4.9,6123643.819694763,2822967.604196103,Pre-merchantable
AR,05,03,01,131,2,Softwood,1.0-1.9,18476674.63401324,4850124.573849988,Pre-merchantable
AR,05,03,01,131,2,Softwood,2.0-2.9,52520779.31314529,15210219.878450286,Pre-merchantable
AR,05,03,01,131,2,Softwood,3.0-3.9,118030173.86540836,43126399.164357774,Pre-merchantable
AR,05,03,01,131,2,Softwood,4.0-4.9,245288406.25777906,113076665.61591724,Pre-merchantable
AR,05,04,01,110,2,Softwood,1.0-1.9,18626430.96645404,4889435.590710332,Pre-merchantable
AR,05,04,01,110,2,Softwood,2.0-2.9,46869565.432045065,13573606.582992747,Pre-merchantable
AR,05,04,01,110,2,Softwood,3.0-3.9,88399265.58024532,32299723.777387675,Pre-merchantable
AR,05,04,01,110,2,Softwood,4.0-4.9,90510455.68398854,41724844.18756783,Pre-merchantable
AR,05,04,01,131,2,Softwood,1.0-1.9,3929894.8676359835,1031596.867278286,Pre-merchantable
AR,05,04,01,131,2,Softwood,2.0-2.9,10907981.645055477,3158993.4768897803,Pre-merchantable
AR,05,04,01,131,2,Softwood,3.0-3.9,18604777.951243855,6797897.978228222,Pre-merchantable
AR,05,04,01,131,2,Softwood,4.0-4.9,40230511.78366459,18546054.40967265,Pre-merchantable
AR,05,05,02,110,2,Softwood,1.0-1.9,1058373.4773824576,236020.83785167558,Pre-merchantable
AR,05,05,02,110,2,Softwood,2.0-2.9,4633506.038129693,1139977.7670319804,Pre-merchantable
AR,05,05,02,110,2,Softwood,3.0-3.9,9687980.911504168,3007223.75451654,Pre-merchantable
AR,05,05,02,110,2,Softwood,4.0-4.9,19532945.296743162,7649728.530439986,Pre-merchantable
AR,05,05,02,131,2,Softwood,1.0-1.9,669756.4643752797,149357.93957099164,Pre-merchantable
