   ,STATENM,STATECD,COUNTYNM,COUNTYCD,SPCD,SCIENTIFIC_NAME,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0001 1.0-1.9','`0002 2.0-2.9','`0003 3.0-3.9','`0004 4.0-4.9'
1,Alabama,1,Autauga,1,68,Juniperus virginiana,9,Other eastern softwoods,Softwood,3,0,12301,443329.9252,,,
2,Alabama,1,Autauga,1,110,Pinus echinata,2,Loblolly and shortleaf pines,Softwood,3,0,12301,,3512633.997,23995128.75,8465197.603
3,Alabama,1,Autauga,1,111,Pinus elliottii,1,Longleaf and slash pines,Softwood,3,0,12301,,,,22265710.06
4,Alabama,1,Autauga,1,121,Pinus palustris,1,Longleaf and slash pines,Softwood,3,0,12301,2564704.722,,14461198.71,
5,Alabama,1,Autauga,1,131,Pinus taeda,2,Loblolly and shortleaf pines,Softwood,3,0,12301,9397528.311,38415402.43,36674740.73,109559387.7
6,Alabama,1,Autauga,1,221,Taxodium distichum,8,Cypress,Softwood,3,0,12301,443054.282,3380803.123,6528874.72,
7,Alabama,1,Autauga,1,311,Acer barbatum,31,Hard maple,Hardwood,3,0,12301,,,,28283851.66
8,Alabama,1,Autauga,1,316,Acer rubrum,32,Soft maple,Hardwood,3,0,12301,15008332.46,3788775.393,20051126.92,
9,Alabama,1,Autauga,1,391,Carpinus caroliniana,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,476421.6466,4313298.358,,
10,Alabama,1,Autauga,1,403,Carya glabra,29,Hickory,Hardwood,3,0,12301,5864282.777,6157536.696,9138578.12,
11,Alabama,1,Autauga,1,404,Carya illinoinensis,29,Hickory,Hardwood,3,0,12301,2658177.532,9231806.661,,
12,Alabama,1,Autauga,1,409,Carya alba,29,Hickory,Hardwood,3,0,12301,3901612.317,3131941.215,,
13,Alabama,1,Autauga,1,491,Cornus florida,42,Other eastern hard hardwoods,Hardwood,3,0,12301,3268261.46,4471884.789,,
14,Alabama,1,Autauga,1,521,Diospyros virginiana,42,Other eastern hard hardwoods,Hardwood,3,0,12301,5263960.179,14828405.85,8500629.55,
15,Alabama,1,Autauga,1,531,Fagus grandifolia,33,Beech,Hardwood,3,0,12301,970483.7028,,5530653.507,
16,Alabama,1,Autauga,1,582,Halesia diptera,41,Other eastern soft hardwoods,Hardwood,3,0,12301,,4837077.054,9239244.152,
17,Alabama,1,Autauga,1,591,Ilex opaca,42,Other eastern hard hardwoods,Hardwood,3,0,12301,10472194.5,16040172.75,8315531.455,18712722.81
18,Alabama,1,Autauga,1,611,Liquidambar styraciflua,34,Sweetgum,Hardwood,3,0,12301,12211774.5,53026901.48,104702036.8,75708562.23
19,Alabama,1,Autauga,1,621,Liriodendron tulipifera,39,Yellow-poplar,Hardwood,3,0,12301,,,13644513.35,
20,Alabama,1,Autauga,1,653,Magnolia virginiana,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,,,15435534.24,16825873.32
