spcd,species
12,balsim fir
68,eastern redcedar
71,tamarack
91,Norway spruce
94,white spruce
95,black spruce
105,jack pine
110,shortlead
111,slash
121,longleaf
125,red pine
129,eastern white pine
130,Scotch pine
131,loblolly
132,Virginia pine
221,baldcypress
313,boxelder
316,red maple
318,sugar maple
371,yellow birch
375,paper birch
402,butternut hickory
403,pignut hickory
404,pecan
405,shelbark hickory
407,shagbark hickory
409,mockernut hickory
462,hackberry
531,American beech
541,white ash
543,black ash
544,green ash
546,blue ash
601,butternut
602,black walnut
611,sweetgum
621,yellow-poplar
651,cucumber tree
652,southern magnolia
653,sweetbay
742,eastern cottonwood
743,bigtooth aspen
762,black cherry
746,quaking aspen
802,white oak
809,northern pin oak
812,southern red oak
822,overcup oak
830,pin oak
833,northern red oak
951,American basswood
972,American elm
