statecd,spclass,species,pwVolume,pwValue,stVolume,stValue
26,Hardwood,ash,18439166618.10344,0.0,8566027584.446103,76799622413.29471
26,Hardwood,aspen,370097087007.6874,85880464840.55745,244035054595.59222,1614028426999.044
26,Hardwood,basswood,62792581546.28471,6629144788.430188,79060018423.15776,900487788838.5276
26,Hardwood,beech,29939687019.94222,0.0,53969228758.68394,355946857829.6462
26,Hardwood,black ash,12541809799.989784,0.0,2556184103.3694267,0.0
26,Hardwood,black cherry,90998793547.56723,0.0,89961586059.51852,1593864056823.7454
26,Hardwood,black walnut,1614831361.9547613,0.0,3099053056.171807,0.0
26,Hardwood,elm,9958647344.053413,0.0,4687995055.726857,34476296972.3246
26,Hardwood,hard maple,602054417811.1079,0.0,518372353907.38776,25447478163580.613
26,Hardwood,hardwood,5471523206.563614,690346483.3843223,60434889778.51596,624592176875.4657
26,Hardwood,hickory,7358129201.226835,0.0,14030224392.11742,0.0
26,Hardwood,oak,84244330349.07896,9772845520.3511,218573326832.69696,966316666283.9263
26,Hardwood,red oak,116952969751.65787,0.0,290378882574.83203,7574440332575.273
26,Hardwood,soft maple,505730411191.249,0.0,363484896639.3586,5632625391433.061
26,Hardwood,white ash,14729523335.546114,0.0,16478922598.982895,207098859762.71753
26,Hardwood,white birch,23859676996.08487,0.0,5626292400.643389,0.0
26,Hardwood,white oak,59413825503.16127,0.0,111222244007.46503,1058051537779.3789
26,Hardwood,yellow birch,55648755542.504,0.0,55623495122.996895,1034199433305.9612
26,Softwood,jack pine,58858723393.15007,20295317682.327686,7308974592.523991,53301520085.61419
26,Softwood,pine,59676411745.789215,7315638743.126247,10085773846.942295,28061208106.998222
26,Softwood,red pine,187202072636.60837,94787856311.88051,139752776585.95193,2155680477228.9165
26,Softwood,spruce,146781556401.8321,12156224157.700686,8402550625.016376,28300505294.71282
26,Softwood,white pine,74153142552.41455,0.0,153599976728.66534,1374439158317.7815
26,Softwood,white spruce,33465297760.59907,0.0,24331775954.3155,119000250405.93988
27,Hardwood,ash,32426210385.51864,0.0,22023049468.699406,133040307162.84909
27,Hardwood,aspen,433423001173.43933,104214148285.78665,167273846861.14468,813737900247.3928
27,Hardwood,basswood,54119394868.34672,4037726294.8089924,54626774895.19018,403569032086.88824
27,Hardwood,black ash,54423094376.852295,0.0,15841651540.8785,0.0
27,Hardwood,black cherry,2018091450.5771742,0.0,764067108.6787622,8966030383.136343
27,Hardwood,black walnut,1102642740.6441054,0.0,2347568989.9888697,409016112184.97174
27,Hardwood,elm,11099874555.648054,0.0,5268864751.74817,18967385375.448887
27,Hardwood,hard maple,58738728004.50629,0.0,37135827673.8878,648319171498.1765
27,Hardwood,hardwood,2117793563.089949,133397992.54856837,7865818883.515578,32353071974.481636
27,Hardwood,hickory,2912718234.0749445,0.0,1449497179.913024,12920522593.80064
27,Hardwood,oak,66698190958.77446,3461636940.2105803,110827057419.23967,998863345618.5894
27,Hardwood,red oak,31893643559.807686,0.0,93645637072.57065,1930750671712.3633
27,Hardwood,soft maple,65693983121.23037,0.0,22408768860.436237,186499434096.77234
27,Hardwood,white ash,84896906.8157954,0.0,78972221.5699804,845660872.6452067
27,Hardwood,white birch,43891121542.57243,0.0,10889176734.060564,0.0
27,Hardwood,white oak,2039433136.5494142,0.0,9881091641.688358,126759244668.27911
27,Hardwood,yellow birch,2853006980.837703,0.0,4929260036.206133,49068925407.640625
27,Softwood,jack pine,26754471108.873135,5734568942.156511,6307777246.35736,36562603719.42605
27,Softwood,pine,58642389462.09282,4510854949.343628,8094616509.220836,25099850579.421898
27,Softwood,red pine,61103051496.63523,17020467173.537603,56295405412.74862,512975595795.63226
27,Softwood,spruce,130976289858.47784,7619186196.173659,5508214741.446079,14579955795.719177
27,Softwood,white pine,7980168484.297467,0.0,30857120003.79369,194011386923.8525
27,Softwood,white spruce,26271520931.134,0.0,20014075951.732964,72153106578.85275
55,Hardwood,ash,52937530729.40829,0.0,22811707351.123203,291687658179.57446
55,Hardwood,aspen,438564718738.53015,101350378144.11115,189562019331.53003,1715545490537.8655
55,Hardwood,basswood,109465912607.82568,6361772206.860637,138575464946.46512,1870152019526.6794
55,Hardwood,beech,4198060735.20279,0.0,5041342472.355496,35839939911.92787
55,Hardwood,black ash,85625529674.35957,0.0,19306434105.13421,213175209910.85687
55,Hardwood,black cherry,31032402115.512302,0.0,12987066155.651789,326027154163.55206
55,Hardwood,black walnut,3763847409.627954,0.0,5991734828.468298,0.0
55,Hardwood,elm,16088262025.453245,0.0,6899177389.877433,0.0
55,Hardwood,hard maple,378216854882.4933,0.0,297144929158.3854,10104777180496.271
55,Hardwood,hardwood,1349098293.513958,178840530.2356177,9605776556.15951,87565458101.6238
55,Hardwood,hickory,19038815674.952576,0.0,10744974572.565472,308918018961.2573
55,Hardwood,oak,115825905434.28033,9180556896.036406,243568703370.68076,2967337514653.7905
55,Hardwood,red oak,128322418784.85387,0.0,423620798538.53723,12520417142102.818
55,Hardwood,soft maple,364087928391.211,0.0,211394684625.71664,3439064881720.3354
55,Hardwood,white ash,26448611256.609543,0.0,34985426092.84162,690546713398.7697
55,Hardwood,white birch,29285677966.500835,0.0,5638798059.753147,0.0
55,Hardwood,white oak,51571364888.01402,0.0,131323300516.70473,2209069566015.454
55,Hardwood,yellow birch,45861754984.04657,0.0,36623721005.27885,611448685416.4668
55,Softwood,jack pine,44829952745.94088,13676372958.151821,4928829192.851777,33819145538.92454
55,Softwood,pine,56073209737.94974,7115101998.04343,7603990705.833254,65261693945.62033
55,Softwood,red pine,152261352722.33182,61207934682.34178,126805722367.55865,1268650370023.868
55,Softwood,spruce,103250856406.79187,9805082671.121832,3517514378.043892,11606390588.72405
55,Softwood,white pine,70100067662.66983,0.0,185251935869.0982,1894287079195.795
55,Softwood,white spruce,9196817441.85242,0.0,8053601657.761792,84339106249.33876
