stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,Product,size_class_code,size_class_range,cuftPrice,value
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,0003,5.0-6.9,0.614939024390244,5272917.284345611
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,0004,7.0-8.9,0.614939024390244,6601035.8298623925
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,0005,9.0-10.9,0.614939024390244,6087475.221192618
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,0006,11.0-12.9,0.614939024390244,9860571.21320894
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0007,13.0-14.9,6.220426829268293,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0008,15.0-16.9,6.220426829268293,127168193.47302367
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0009,17.0-18.9,6.220426829268293,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0010,19.0-20.9,6.220426829268293,218901338.10863313
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0011,21.0-22.9,6.220426829268293,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0012,23.0-24.9,6.220426829268293,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0013,25.0-26.9,6.220426829268293,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0014,27.0-28.9,6.220426829268293,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0015,29.0-30.9,6.220426829268293,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,0003,5.0-6.9,0.614939024390244,9516952.181568816
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,0004,7.0-8.9,0.614939024390244,37907826.317917146
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,0005,9.0-10.9,0.614939024390244,37084974.94176459
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,0006,11.0-12.9,0.614939024390244,65827752.789737694
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0007,13.0-14.9,6.220426829268293,267572118.11023095
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0008,15.0-16.9,6.220426829268293,230083313.17652816
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0009,17.0-18.9,6.220426829268293,284555652.4861945
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0010,19.0-20.9,6.220426829268293,329422591.4801703
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0011,21.0-22.9,6.220426829268293,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0012,23.0-24.9,6.220426829268293,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0013,25.0-26.9,6.220426829268293,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0014,27.0-28.9,6.220426829268293,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0015,29.0-30.9,6.220426829268293,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0
AL,01,01,02,111,slash pine,1,Coniferous,Pulpwood,0003,5.0-6.9,0.614939024390244,597386951.29022
AL,01,01,02,111,slash pine,1,Coniferous,Pulpwood,0004,7.0-8.9,0.614939024390244,1339773537.777636
AL,01,01,02,111,slash pine,1,Coniferous,Pulpwood,0005,9.0-10.9,0.614939024390244,1988256462.740134
AL,01,01,02,111,slash pine,1,Coniferous,Pulpwood,0006,11.0-12.9,0.614939024390244,2259805176.992328
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0007,13.0-14.9,6.220426829268293,18291566522.172134
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0008,15.0-16.9,6.220426829268293,15250036718.975882
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0009,17.0-18.9,6.220426829268293,12086813464.941233
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0010,19.0-20.9,6.220426829268293,8111681941.37156
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0011,21.0-22.9,6.220426829268293,1934908362.9529312
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0012,23.0-24.9,6.220426829268293,2977374113.07347
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0013,25.0-26.9,6.220426829268293,0.0
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0014,27.0-28.9,6.220426829268293,0.0
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0015,29.0-30.9,6.220426829268293,0.0
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0
AL,01,01,02,111,slash pine,1,Coniferous,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0
AL,01,01,02,121,longleaf pine,1,Coniferous,Pulpwood,0003,5.0-6.9,0.614939024390244,796574189.2940493
AL,01,01,02,121,longleaf pine,1,Coniferous,Pulpwood,0004,7.0-8.9,0.614939024390244,1404088126.504221
AL,01,01,02,121,longleaf pine,1,Coniferous,Pulpwood,0005,9.0-10.9,0.614939024390244,1167320235.617856
AL,01,01,02,121,longleaf pine,1,Coniferous,Pulpwood,0006,11.0-12.9,0.614939024390244,1014527220.2074286
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0007,13.0-14.9,6.220426829268293,11699000865.37786
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0008,15.0-16.9,6.220426829268293,10469856361.060911
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0009,17.0-18.9,6.220426829268293,5678693744.557116
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0010,19.0-20.9,6.220426829268293,5048489547.210901
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0011,21.0-22.9,6.220426829268293,862839976.7584783
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0012,23.0-24.9,6.220426829268293,0.0
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0013,25.0-26.9,6.220426829268293,0.0
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0014,27.0-28.9,6.220426829268293,0.0
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0015,29.0-30.9,6.220426829268293,610399432.5568058
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,0003,5.0-6.9,0.614939024390244,1781683336.2617583
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,0004,7.0-8.9,0.614939024390244,3095757094.3058343
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,0005,9.0-10.9,0.614939024390244,4035736973.9555354
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,0006,11.0-12.9,0.614939024390244,3616109853.9526367
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0007,13.0-14.9,6.220426829268293,27522037899.607452
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0008,15.0-16.9,6.220426829268293,18466285016.32239
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0009,17.0-18.9,6.220426829268293,11672104137.410107
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0010,19.0-20.9,6.220426829268293,10672006389.165462
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0011,21.0-22.9,6.220426829268293,1959694956.5889583
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0012,23.0-24.9,6.220426829268293,3377885968.036583
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0013,25.0-26.9,6.220426829268293,1119204310.288498
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0014,27.0-28.9,6.220426829268293,0.0
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0015,29.0-30.9,6.220426829268293,639623113.1793013
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,0003,5.0-6.9,0.614939024390244,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,0004,7.0-8.9,0.614939024390244,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,0005,9.0-10.9,0.614939024390244,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,0006,11.0-12.9,0.614939024390244,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0007,13.0-14.9,6.220426829268293,102516630.64944951
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0008,15.0-16.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0009,17.0-18.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0010,19.0-20.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0011,21.0-22.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0012,23.0-24.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0013,25.0-26.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0014,27.0-28.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0015,29.0-30.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,0003,5.0-6.9,0.614939024390244,24385204.535470463
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,0004,7.0-8.9,0.614939024390244,50503160.297194086
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,0005,9.0-10.9,0.614939024390244,78846218.29341912
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,0006,11.0-12.9,0.614939024390244,143247651.0799647
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0007,13.0-14.9,6.220426829268293,1878409245.4112036
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0008,15.0-16.9,6.220426829268293,680310904.3682956
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0009,17.0-18.9,6.220426829268293,1392518121.1265855
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0010,19.0-20.9,6.220426829268293,1582481283.3450933
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0011,21.0-22.9,6.220426829268293,754962822.4787059
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0012,23.0-24.9,6.220426829268293,952136427.7143562
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0013,25.0-26.9,6.220426829268293,282166446.9640072
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0014,27.0-28.9,6.220426829268293,886400547.4656303
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0015,29.0-30.9,6.220426829268293,489163172.785361
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,0003,5.0-6.9,0.811253125,5878385.97542488
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,0004,7.0-8.9,0.811253125,3867337.6363135907
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,0005,9.0-10.9,0.811253125,13304259.99425831
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,0006,11.0-12.9,0.811253125,42297384.73841751
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0007,13.0-14.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0008,15.0-16.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0009,17.0-18.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0010,19.0-20.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0011,21.0-22.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0012,23.0-24.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0013,25.0-26.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0014,27.0-28.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0015,29.0-30.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0016,31.0-32.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0017,33.0-34.9,8.860184375,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0018,35.0-36.9,8.860184375,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,0003,5.0-6.9,0.811253125,11847897.236733383
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,0004,7.0-8.9,0.811253125,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,0005,9.0-10.9,0.811253125,15481969.541660124
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,0006,11.0-12.9,0.811253125,34663308.21541806
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0007,13.0-14.9,8.860184375,466923942.6549255
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0008,15.0-16.9,8.860184375,899494192.643026
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0009,17.0-18.9,8.860184375,348825250.1353582
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0010,19.0-20.9,8.860184375,533794541.0474131
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0011,21.0-22.9,8.860184375,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0012,23.0-24.9,8.860184375,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0013,25.0-26.9,8.860184375,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0014,27.0-28.9,8.860184375,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0015,29.0-30.9,8.860184375,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0016,31.0-32.9,8.860184375,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0017,33.0-34.9,8.860184375,1100322514.3633542
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0018,35.0-36.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,0003,5.0-6.9,0.811253125,2072020.510299262
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,0004,7.0-8.9,0.811253125,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,0005,9.0-10.9,0.811253125,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,0006,11.0-12.9,0.811253125,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0007,13.0-14.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0008,15.0-16.9,8.860184375,354866782.5308959
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0009,17.0-18.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0010,19.0-20.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0011,21.0-22.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0012,23.0-24.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0013,25.0-26.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0014,27.0-28.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0015,29.0-30.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0016,31.0-32.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0017,33.0-34.9,8.860184375,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0018,35.0-36.9,8.860184375,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,0003,5.0-6.9,0.811253125,11634102.57406761
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,0004,7.0-8.9,0.811253125,19830048.001467425
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,0005,9.0-10.9,0.811253125,7192232.101972062
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,0006,11.0-12.9,0.811253125,11295482.651410794
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0007,13.0-14.9,8.860184375,228863775.88971555
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0008,15.0-16.9,8.860184375,458676112.0761407
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0009,17.0-18.9,8.860184375,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0010,19.0-20.9,8.860184375,542688783.752491
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0011,21.0-22.9,8.860184375,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0012,23.0-24.9,8.860184375,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0013,25.0-26.9,8.860184375,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0014,27.0-28.9,8.860184375,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0015,29.0-30.9,8.860184375,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0016,31.0-32.9,8.860184375,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0017,33.0-34.9,8.860184375,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0018,35.0-36.9,8.860184375,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,0003,5.0-6.9,0.811253125,82230989.21316507
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,0004,7.0-8.9,0.811253125,55228805.88448292
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,0005,9.0-10.9,0.811253125,23895376.13151222
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,0006,11.0-12.9,0.811253125,86286599.79587422
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0007,13.0-14.9,8.860184375,953181228.2738522
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0008,15.0-16.9,8.860184375,209972847.09591615
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0009,17.0-18.9,8.860184375,566995006.0966362
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0010,19.0-20.9,8.860184375,281872871.1083706
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0011,21.0-22.9,8.860184375,470512688.83136845
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0012,23.0-24.9,8.860184375,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0013,25.0-26.9,8.860184375,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0014,27.0-28.9,8.860184375,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0015,29.0-30.9,8.860184375,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0016,31.0-32.9,8.860184375,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0017,33.0-34.9,8.860184375,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0018,35.0-36.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,0003,5.0-6.9,0.811253125,3277263.497006117
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,0004,7.0-8.9,0.811253125,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,0005,9.0-10.9,0.811253125,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,0006,11.0-12.9,0.811253125,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0007,13.0-14.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0008,15.0-16.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0009,17.0-18.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0010,19.0-20.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0011,21.0-22.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0012,23.0-24.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0013,25.0-26.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0014,27.0-28.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0015,29.0-30.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0016,31.0-32.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0017,33.0-34.9,8.860184375,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0018,35.0-36.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,0003,5.0-6.9,0.811253125,267930974.62910846
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,0004,7.0-8.9,0.811253125,303221180.15048426
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,0005,9.0-10.9,0.811253125,270124150.34584457
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,0006,11.0-12.9,0.811253125,250222427.89420033
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0007,13.0-14.9,8.860184375,2959705709.3736186
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0008,15.0-16.9,8.860184375,3550021611.4610553
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0009,17.0-18.9,8.860184375,1881567511.995865
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0010,19.0-20.9,8.860184375,1373969777.6502538
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0011,21.0-22.9,8.860184375,1080450902.2182705
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0012,23.0-24.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0013,25.0-26.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0014,27.0-28.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0015,29.0-30.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0016,31.0-32.9,8.860184375,0.0
