stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,Product,size_class_code,size_class_range,volume
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,0003,5.0-6.9,8574699.401414776
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,0004,7.0-8.9,10734455.8859438
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,0005,9.0-10.9,9899315.18369449
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,0006,11.0-12.9,16035038.95851528
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0007,13.0-14.9,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0008,15.0-16.9,20443644.2969915
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0009,17.0-18.9,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0010,19.0-20.9,35190726.3145771
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0011,21.0-22.9,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,0003,5.0-6.9,15476253.423671648
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,0004,7.0-8.9,61644853.903206855
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,0005,9.0-10.9,60306751.5166028
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,0006,11.0-12.9,107047609.8910955
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0007,13.0-14.9,43015073.6363063
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0008,15.0-16.9,36988348.1458125
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0009,17.0-18.9,45745358.0431661
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0010,19.0-20.9,52958197.3266166
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0011,21.0-22.9,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,0018,35.0-36.9,0.0
