stateAbbr,statecd,unitcd,priceRegion,spcd,spgrpcd,priceSpecies,Product,size_class_code,size_class_range,cuftPrice,volume,value
AL,01,01,02,68,9,Pine,Pulpwood,0003,5.0-6.9,0.614939024390244,8574699.401414776,5272917.284345611
AL,01,01,02,68,9,Pine,Pulpwood,0004,7.0-8.9,0.614939024390244,10734455.8859438,6601035.8298623925
AL,01,01,02,68,9,Pine,Pulpwood,0005,9.0-10.9,0.614939024390244,9899315.18369449,6087475.221192618
AL,01,01,02,68,9,Pine,Pulpwood,0006,11.0-12.9,0.614939024390244,16035038.95851528,9860571.21320894
AL,01,01,02,68,9,Pine,Sawtimber,0007,13.0-14.9,6.220426829268293,0.0,0.0
AL,01,01,02,68,9,Pine,Sawtimber,0008,15.0-16.9,6.220426829268293,20443644.2969915,127168193.47302367
AL,01,01,02,68,9,Pine,Sawtimber,0009,17.0-18.9,6.220426829268293,0.0,0.0
AL,01,01,02,68,9,Pine,Sawtimber,0010,19.0-20.9,6.220426829268293,35190726.3145771,218901338.10863313
AL,01,01,02,68,9,Pine,Sawtimber,0011,21.0-22.9,6.220426829268293,0.0,0.0
AL,01,01,02,68,9,Pine,Sawtimber,0012,23.0-24.9,6.220426829268293,0.0,0.0
AL,01,01,02,68,9,Pine,Sawtimber,0013,25.0-26.9,6.220426829268293,0.0,0.0
AL,01,01,02,68,9,Pine,Sawtimber,0014,27.0-28.9,6.220426829268293,0.0,0.0
AL,01,01,02,68,9,Pine,Sawtimber,0015,29.0-30.9,6.220426829268293,0.0,0.0
AL,01,01,02,68,9,Pine,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0,0.0
AL,01,01,02,68,9,Pine,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0,0.0
AL,01,01,02,68,9,Pine,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0,0.0
AL,01,01,02,110,2,Pine,Pulpwood,0003,5.0-6.9,0.614939024390244,15476253.423671648,9516952.181568816
AL,01,01,02,110,2,Pine,Pulpwood,0004,7.0-8.9,0.614939024390244,61644853.903206855,37907826.317917146
AL,01,01,02,110,2,Pine,Pulpwood,0005,9.0-10.9,0.614939024390244,60306751.5166028,37084974.94176459
AL,01,01,02,110,2,Pine,Pulpwood,0006,11.0-12.9,0.614939024390244,107047609.8910955,65827752.789737694
AL,01,01,02,110,2,Pine,Sawtimber,0007,13.0-14.9,6.220426829268293,43015073.6363063,267572118.11023095
AL,01,01,02,110,2,Pine,Sawtimber,0008,15.0-16.9,6.220426829268293,36988348.1458125,230083313.17652816
AL,01,01,02,110,2,Pine,Sawtimber,0009,17.0-18.9,6.220426829268293,45745358.0431661,284555652.4861945
AL,01,01,02,110,2,Pine,Sawtimber,0010,19.0-20.9,6.220426829268293,52958197.3266166,329422591.4801703
