stateAbbr,spclass,species,pwVolume,pwValue,stVolume,stValue
AL,Coniferous,Virginia pine,7360749157.518759,3671616274.409676,2784438415.8943124,16083979055.324831
AL,Coniferous,baldcypress,2255025158.031709,1276016127.4685817,5622782930.203746,33858597343.393703
AL,Coniferous,eastern redcedar,4507829280.08003,2394107881.6843505,2060383079.5454953,12206626771.79483
AL,Coniferous,loblolly pine,324960774117.1284,176208723963.287,229336664600.30002,1362760643399.8906
AL,Coniferous,longleaf pine,16170397081.120964,9268554667.98613,11173856562.626041,67397940748.099014
AL,Coniferous,shortleaf pine,8313732176.080915,4442310579.945469,9979711950.390873,59124794780.468834
AL,Coniferous,slash pine,12901096343.0976,7762677696.7038555,12496852585.632484,77040345153.7821
AL,Non-coniferous,bitternut hickory,661465726.2222741,529749638.53225225,397631947.3077215,3548519473.1124477
AL,Non-coniferous,black cherry,5460807343.349763,4358080001.769692,958874655.5446498,8565234858.850397
AL,Non-coniferous,black oak,2420528830.2603774,1926972029.5999417,3908322758.423369,34946038221.09343
AL,Non-coniferous,black walnut,569258545.6218946,454296054.2933841,656947898.8317876,5867635743.970089
AL,Non-coniferous,butternut,7894269.75014747,6265879.2574358005,19122759.0746842,171157239.20138508
AL,Non-coniferous,chestnut oak,7239764026.1125145,5749894143.781001,15550044421.697641,139163522451.04825
AL,Non-coniferous,cucumbertree,288480074.0963474,230833387.1885351,68525974.87541181,611436646.2819281
AL,Non-coniferous,green ash,4987859171.46727,3993739924.706295,4654599786.573723,41493148296.08206
AL,Non-coniferous,mockernut hickory,9190888668.432571,7328458337.079844,9718075779.98464,86787830520.17696
AL,Non-coniferous,overcup oak,876801319.607766,703352854.8981888,2765329219.437307,24646842605.650066
AL,Non-coniferous,pecan,467413885.5548657,375354911.2388308,787527574.9681271,7005262233.808502
AL,Non-coniferous,pignut hickory,10207589698.004694,8140211173.348299,14362520368.157728,128303879170.69687
AL,Non-coniferous,shagbark hickory,3374694926.313155,2690855442.734245,4917608222.329314,43921817990.1953
AL,Non-coniferous,shelbark hickory,133849824.39659922,106239951.86919072,265788663.41983402,2378927311.91648
AL,Non-coniferous,southern magnolia,2228460332.1631184,1789558355.960462,1814789243.0730093,16157320267.469732
AL,Non-coniferous,southern red oak,8981779732.455038,7172393168.206724,20898748979.59327,186576050322.9563
AL,Non-coniferous,sugar maple,188818861.77444306,149870251.0619198,95684632.1962305,856420217.2262757
AL,Non-coniferous,swamp white oak,0.0,0.0,172898926.5248766,1539719511.9277105
AL,Non-coniferous,sweetbay,10228369646.0414,8226516788.306999,6570553269.28688,58485847901.92851
AL,Non-coniferous,sweetgum,54065300016.29009,43242098325.35989,43168942176.65302,385108241841.13464
AL,Non-coniferous,white ash,1249012315.0523162,993935701.8870734,1621562171.7200177,14484491844.439917
AL,Non-coniferous,white oak,16795860136.661991,13389833539.948174,35688722139.09946,318844588715.14105
AL,Non-coniferous,yellow-poplar,25358843070.700935,20257032558.854237,45849773642.23413,409103365234.7033
AL,Softwood,loblolly pine,3441208812.9783664,1425891428.7405,,
AL,Softwood,longleaf pine,450922168.82814664,206021966.5323087,,
AL,Softwood,shortleaf pine,124467566.30676194,48110528.590766035,,
AL,Softwood,slash pine,170289379.114864,77735831.86418295,,
AR,Coniferous,Virginia pine,101345188.6750347,53391611.59465243,0.0,0.0
AR,Coniferous,baldcypress,950442187.1717036,482866043.08970004,4434148689.296642,23715894232.39137
AR,Coniferous,eastern redcedar,8876716588.835976,4115237858.5330415,1905734182.8240008,9807838100.497967
AR,Coniferous,loblolly pine,95325062553.25775,49666942376.55891,85902204101.37636,489423840963.97485
AR,Coniferous,shortleaf pine,30281594620.829163,15067627056.988503,48426688932.07811,267503501432.95175
AR,Non-coniferous,bitternut hickory,1986817902.8310266,1259975268.4130697,1311596314.3723571,10943903629.419361
AR,Non-coniferous,black cherry,2514896980.241921,1681485657.274951,1134602791.8031828,9752564965.824001
