stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,product,sizerange,volume,value
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,05.0-06.9,8574699.401414776,5272917.284345611
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,07.0-08.9,10734455.8859438,6601035.8298623925
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,09.0-10.9,9899315.18369449,6087475.221192618
AL,01,01,02,68,eastern redcedar,9,Coniferous,Pulpwood,11.0-12.9,16035038.95851528,9860571.21320894
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,13.0-14.9,0.0,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,15.0-16.9,20443644.2969915,127168193.47302367
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,17.0-18.9,0.0,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,19.0-20.9,35190726.3145771,218901338.10863313
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,21.0-22.9,0.0,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,68,eastern redcedar,9,Coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,05.0-06.9,15476253.423671648,9516952.181568816
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,07.0-08.9,61644853.903206855,37907826.317917146
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,09.0-10.9,60306751.5166028,37084974.94176459
AL,01,01,02,110,shortleaf pine,2,Coniferous,Pulpwood,11.0-12.9,107047609.8910955,65827752.789737694
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,13.0-14.9,43015073.6363063,267572118.11023095
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,15.0-16.9,36988348.1458125,230083313.17652816
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,17.0-18.9,45745358.0431661,284555652.4861945
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,19.0-20.9,52958197.3266166,329422591.4801703
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,21.0-22.9,0.0,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,110,shortleaf pine,2,Coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,110,shortleaf pine,2,Softwood,Pre-merchantable,01.0-01.9,855900.6803056333,262249.4668510493
